NODE=[HOST_f0845cc956] | JOB=hb1-blk-s2 4890965 | AUGMENT=1
ARGS: --optimizer HF --alg-base SGDm --momentum-param-base 0.99 --weight-decay-base 0.1 --alg-meta Lion --momentum-param-meta 0.99 --Lion-beta2-meta 0.9 --weight-decay-meta 0 --dataset CIFAR100 --NN-name ResNet18_c100 --batch-size 100 --max-time 999:00:00 --gamma 1 --meta-stepsize 1e-3 --alpha0 1e-6 --num-epochs 100 --stepsize-groups resnet18_blocks --seed 2 --save-directory cluster/Account2/metaopt/runs/hb1 --run-name hb1-blk-s2
ENV: AUGMENT=1 BETA_CLIP=-15:-2.3026 HIER=none LAM=na ETA_RATIO=na COS_TOTAL=default COS_WARMUP=default SCHED=none SCHED_TOTAL=none SCHED_WARMUP=none SCHED_MIN=none PROBE=0 PROBE_DIR=none EB_RHO=na EB_LOG=0
NVIDIA L4, 23034 MiB

args_base includes unnecessary attributes {'normalizer_param'} 

Files already downloaded and verified
Files already downloaded and verified
cluster/Account2/metaopt/envs/mo/lib/python3.10/site-packages/torch/nn/modules/conv.py:459: UserWarning: Applied workaround for CuDNN issue, install nvrtc.so (Triggered internally at ../aten/src/ATen/native/cudnn/Conv_v8.cpp:80.)
  return F.conv2d(input, weight, bias, self.stride,
Epoch 0, Train Accuracy: 1.01 %, Test Accuracy: 1.07 %
Epoch 1, Train Accuracy: 1.04 %, Test Accuracy: 0.98 %
Epoch 2, Train Accuracy: 1.05 %, Test Accuracy: 0.99 %
Epoch 3, Train Accuracy: 1.09 %, Test Accuracy: 1.05 %
Epoch 4, Train Accuracy: 1.08 %, Test Accuracy: 1.10 %
Epoch 5, Train Accuracy: 1.19 %, Test Accuracy: 1.05 %
Epoch 6, Train Accuracy: 1.17 %, Test Accuracy: 1.30 %
Epoch 7, Train Accuracy: 1.44 %, Test Accuracy: 1.60 %
Epoch 8, Train Accuracy: 1.86 %, Test Accuracy: 2.16 %
Epoch 9, Train Accuracy: 2.41 %, Test Accuracy: 2.81 %
Epoch 10, Train Accuracy: 3.19 %, Test Accuracy: 4.14 %
Epoch 11, Train Accuracy: 4.66 %, Test Accuracy: 5.53 %
Epoch 12, Train Accuracy: 6.05 %, Test Accuracy: 6.99 %
Epoch 13, Train Accuracy: 7.64 %, Test Accuracy: 8.63 %
Epoch 14, Train Accuracy: 9.55 %, Test Accuracy: 11.15 %
Epoch 15, Train Accuracy: 11.54 %, Test Accuracy: 12.57 %
Epoch 16, Train Accuracy: 13.47 %, Test Accuracy: 15.17 %
Epoch 17, Train Accuracy: 15.42 %, Test Accuracy: 16.40 %
Epoch 18, Train Accuracy: 17.00 %, Test Accuracy: 17.85 %
Epoch 19, Train Accuracy: 19.09 %, Test Accuracy: 19.29 %
Epoch 20, Train Accuracy: 20.88 %, Test Accuracy: 22.29 %
Epoch 21, Train Accuracy: 22.89 %, Test Accuracy: 24.65 %
Epoch 22, Train Accuracy: 25.05 %, Test Accuracy: 25.66 %
Epoch 23, Train Accuracy: 26.83 %, Test Accuracy: 28.19 %
Epoch 24, Train Accuracy: 28.85 %, Test Accuracy: 28.39 %
Epoch 25, Train Accuracy: 29.99 %, Test Accuracy: 30.70 %
Epoch 26, Train Accuracy: 32.01 %, Test Accuracy: 31.05 %
Epoch 27, Train Accuracy: 32.94 %, Test Accuracy: 34.28 %
Epoch 28, Train Accuracy: 35.21 %, Test Accuracy: 34.93 %
Epoch 29, Train Accuracy: 36.16 %, Test Accuracy: 35.14 %
Epoch 30, Train Accuracy: 37.83 %, Test Accuracy: 37.34 %
Epoch 31, Train Accuracy: 39.16 %, Test Accuracy: 38.64 %
Epoch 32, Train Accuracy: 41.06 %, Test Accuracy: 39.20 %
Epoch 33, Train Accuracy: 42.18 %, Test Accuracy: 41.32 %
Epoch 34, Train Accuracy: 43.97 %, Test Accuracy: 42.86 %
Epoch 35, Train Accuracy: 45.20 %, Test Accuracy: 43.23 %
Epoch 36, Train Accuracy: 46.51 %, Test Accuracy: 45.26 %
Epoch 37, Train Accuracy: 47.49 %, Test Accuracy: 45.30 %
Epoch 38, Train Accuracy: 48.33 %, Test Accuracy: 46.07 %
Epoch 39, Train Accuracy: 49.45 %, Test Accuracy: 46.11 %
Epoch 40, Train Accuracy: 49.95 %, Test Accuracy: 46.32 %
Epoch 41, Train Accuracy: 50.06 %, Test Accuracy: 46.71 %
Epoch 42, Train Accuracy: 51.21 %, Test Accuracy: 47.41 %
Epoch 43, Train Accuracy: 51.43 %, Test Accuracy: 47.92 %
Epoch 44, Train Accuracy: 51.47 %, Test Accuracy: 47.92 %
Epoch 45, Train Accuracy: 52.20 %, Test Accuracy: 48.61 %
Epoch 46, Train Accuracy: 52.22 %, Test Accuracy: 48.30 %
Epoch 47, Train Accuracy: 52.65 %, Test Accuracy: 48.67 %
Epoch 48, Train Accuracy: 52.99 %, Test Accuracy: 49.11 %
Epoch 49, Train Accuracy: 52.96 %, Test Accuracy: 49.16 %
Epoch 50, Train Accuracy: 53.46 %, Test Accuracy: 49.41 %
Epoch 51, Train Accuracy: 53.46 %, Test Accuracy: 49.34 %
Epoch 52, Train Accuracy: 53.98 %, Test Accuracy: 49.38 %
Epoch 53, Train Accuracy: 54.40 %, Test Accuracy: 49.54 %
Epoch 54, Train Accuracy: 54.54 %, Test Accuracy: 49.48 %
Epoch 55, Train Accuracy: 54.31 %, Test Accuracy: 49.81 %
Epoch 56, Train Accuracy: 55.30 %, Test Accuracy: 49.52 %
Epoch 57, Train Accuracy: 54.74 %, Test Accuracy: 50.33 %
Epoch 58, Train Accuracy: 55.32 %, Test Accuracy: 50.22 %
Epoch 59, Train Accuracy: 55.47 %, Test Accuracy: 50.55 %
Epoch 60, Train Accuracy: 55.55 %, Test Accuracy: 49.24 %
Epoch 61, Train Accuracy: 55.43 %, Test Accuracy: 50.76 %
Epoch 62, Train Accuracy: 56.46 %, Test Accuracy: 50.09 %
Epoch 63, Train Accuracy: 56.13 %, Test Accuracy: 50.57 %
Epoch 64, Train Accuracy: 56.59 %, Test Accuracy: 50.77 %
Epoch 65, Train Accuracy: 56.96 %, Test Accuracy: 50.38 %
Epoch 66, Train Accuracy: 56.88 %, Test Accuracy: 50.81 %
Epoch 67, Train Accuracy: 57.13 %, Test Accuracy: 50.53 %
Epoch 68, Train Accuracy: 57.33 %, Test Accuracy: 51.12 %
Epoch 69, Train Accuracy: 57.70 %, Test Accuracy: 51.46 %
Epoch 70, Train Accuracy: 58.14 %, Test Accuracy: 50.67 %
Epoch 71, Train Accuracy: 57.93 %, Test Accuracy: 51.46 %
Epoch 72, Train Accuracy: 57.89 %, Test Accuracy: 50.98 %
Epoch 73, Train Accuracy: 58.35 %, Test Accuracy: 50.93 %
Epoch 74, Train Accuracy: 58.55 %, Test Accuracy: 51.42 %
Epoch 75, Train Accuracy: 58.57 %, Test Accuracy: 51.83 %
Epoch 76, Train Accuracy: 59.04 %, Test Accuracy: 51.27 %
Epoch 77, Train Accuracy: 59.14 %, Test Accuracy: 51.88 %
Epoch 78, Train Accuracy: 59.10 %, Test Accuracy: 52.15 %
Epoch 79, Train Accuracy: 59.81 %, Test Accuracy: 51.46 %
Epoch 80, Train Accuracy: 59.75 %, Test Accuracy: 51.00 %
Epoch 81, Train Accuracy: 59.55 %, Test Accuracy: 51.54 %
Epoch 82, Train Accuracy: 59.80 %, Test Accuracy: 51.86 %
Epoch 83, Train Accuracy: 60.51 %, Test Accuracy: 52.19 %
Epoch 84, Train Accuracy: 60.47 %, Test Accuracy: 52.01 %
Epoch 85, Train Accuracy: 60.77 %, Test Accuracy: 52.46 %
Epoch 86, Train Accuracy: 61.01 %, Test Accuracy: 52.46 %
Epoch 87, Train Accuracy: 61.26 %, Test Accuracy: 52.50 %
Epoch 88, Train Accuracy: 61.43 %, Test Accuracy: 52.96 %
Epoch 89, Train Accuracy: 61.87 %, Test Accuracy: 52.22 %
Epoch 90, Train Accuracy: 62.04 %, Test Accuracy: 51.95 %
Epoch 91, Train Accuracy: 61.94 %, Test Accuracy: 52.44 %
Epoch 92, Train Accuracy: 62.23 %, Test Accuracy: 52.18 %
Epoch 93, Train Accuracy: 62.65 %, Test Accuracy: 53.23 %
Epoch 94, Train Accuracy: 62.82 %, Test Accuracy: 52.92 %
Epoch 95, Train Accuracy: 62.78 %, Test Accuracy: 52.88 %
Epoch 96, Train Accuracy: 63.45 %, Test Accuracy: 52.90 %
Epoch 97, Train Accuracy: 63.67 %, Test Accuracy: 53.00 %
Epoch 98, Train Accuracy: 63.47 %, Test Accuracy: 53.29 %
Epoch 99, Train Accuracy: 64.09 %, Test Accuracy: 53.17 %
43  minutes
RUN_DONE
