NODE=[HOST_f0845cc956] | JOB=cwd5-CARW2-s147 5052160 | AUGMENT=1
ARGS: --optimizer HF --alg-base SGDm --momentum-param-base 0.99 --weight-decay-base 1e-2 --alg-meta Lion --momentum-param-meta 0.99 --Lion-beta2-meta 0.9 --weight-decay-meta 0 --dataset CIFAR100 --NN-name ResNet18_c100 --batch-size 100 --max-time 999:00:00 --gamma 1 --meta-stepsize 1e-3 --alpha0 1e-6 --num-epochs 100 --stepsize-groups scalar --seed 147 --save-directory cluster/Account2/metaopt/runs/cwd5 --run-name cwd5-CARW2-s147
ENV: AUGMENT=1 BETA_CLIP=-15:-2.3026 HIER=none LAM=na ETA_RATIO=na COS_TOTAL=default COS_WARMUP=default SCHED=none SCHED_TOTAL=none SCHED_WARMUP=none SCHED_MIN=none PROBE=100 PROBE_DIR=cluster/Account2/metaopt/runs/cwd5/probe_cwd5-CARW2-s147 EB_RHO=na EB_LOG=0
NVIDIA L4, 23034 MiB

args_base includes unnecessary attributes {'normalizer_param'} 

VOTE_W: off
BETA_HOLD: off
GROUP_HOLD: off
REST_HOLD: off
DECAY_MASK: on base=SGDm wd=0.01 spec=layer4.0.bn2.weight+layer4.0.shortcut.1.weight+layer4.1.bn2.weight masked=3 of=62 numel=1536 idx=50,53,59 names=layer4.0.bn2.weight,layer4.0.shortcut.1.weight,layer4.1.bn2.weight
Files already downloaded and verified
Files already downloaded and verified
cluster/Account2/metaopt/envs/mo/lib/python3.10/site-packages/torch/nn/modules/conv.py:459: UserWarning: Applied workaround for CuDNN issue, install nvrtc.so (Triggered internally at ../aten/src/ATen/native/cudnn/Conv_v8.cpp:80.)
  return F.conv2d(input, weight, bias, self.stride,
PROBE_TENSOR: on every=100 type=scalar tensors=62 meta_alg=Lion momentum_param=0.99 Lion_beta2=0.9 dir=cluster/Account2/metaopt/runs/cwd5/probe_cwd5-CARW2-s147
Epoch 0, Train Accuracy: 0.95 %, Test Accuracy: 1.01 %
Epoch 1, Train Accuracy: 0.94 %, Test Accuracy: 1.01 %
Epoch 2, Train Accuracy: 0.97 %, Test Accuracy: 1.02 %
Epoch 3, Train Accuracy: 1.01 %, Test Accuracy: 1.01 %
Epoch 4, Train Accuracy: 0.97 %, Test Accuracy: 1.05 %
Epoch 5, Train Accuracy: 0.94 %, Test Accuracy: 1.07 %
Epoch 6, Train Accuracy: 1.07 %, Test Accuracy: 1.14 %
Epoch 7, Train Accuracy: 1.13 %, Test Accuracy: 1.28 %
Epoch 8, Train Accuracy: 1.54 %, Test Accuracy: 2.12 %
Epoch 9, Train Accuracy: 2.52 %, Test Accuracy: 3.25 %
Epoch 10, Train Accuracy: 3.38 %, Test Accuracy: 4.12 %
Epoch 11, Train Accuracy: 4.61 %, Test Accuracy: 5.77 %
Epoch 12, Train Accuracy: 6.24 %, Test Accuracy: 7.23 %
Epoch 13, Train Accuracy: 8.18 %, Test Accuracy: 9.68 %
Epoch 14, Train Accuracy: 10.27 %, Test Accuracy: 11.68 %
Epoch 15, Train Accuracy: 12.35 %, Test Accuracy: 14.19 %
Epoch 16, Train Accuracy: 14.97 %, Test Accuracy: 16.66 %
Epoch 17, Train Accuracy: 18.45 %, Test Accuracy: 20.62 %
Epoch 18, Train Accuracy: 22.02 %, Test Accuracy: 23.83 %
Epoch 19, Train Accuracy: 26.56 %, Test Accuracy: 30.33 %
Epoch 20, Train Accuracy: 32.83 %, Test Accuracy: 32.80 %
Epoch 21, Train Accuracy: 37.60 %, Test Accuracy: 40.23 %
Epoch 22, Train Accuracy: 41.85 %, Test Accuracy: 43.13 %
Epoch 23, Train Accuracy: 46.36 %, Test Accuracy: 45.25 %
Epoch 24, Train Accuracy: 49.95 %, Test Accuracy: 48.85 %
Epoch 25, Train Accuracy: 53.14 %, Test Accuracy: 52.89 %
Epoch 26, Train Accuracy: 56.13 %, Test Accuracy: 54.75 %
