NODE=[HOST_03eb56b6d1] | JOB=pp-scal-s2 4683699
ARGS: --optimizer HF --alg-base AdamW --normalizer-param-base 0.999 --momentum-param-base 0.9 --weight-decay-base 0.1 --alg-meta Adam --normalizer-param-meta 0.999 --momentum-param-meta 0.9 --weight-decay-meta 0 --meta-stepsize 1e-3 --dataset CIFAR10 --NN-name ResNet18 --batch-size 100 --max-time 999:00:00 --gamma 1 --num-epochs 100 --alpha0 1e-6 --stepsize-groups scalar --seed 2 --save-directory cluster/Account1/metaopt/runs/pp --run-name pp_scal_s2
ENV: AUGMENT=0 BETA_CLIP=-15:-2.3026 HIER=none LAM=na ETA_RATIO=na COS_TOTAL=default COS_WARMUP=default
NVIDIA L4, 23034 MiB

args_meta includes unnecessary attributes {'Lion_beta2'} 

Files already downloaded and verified
Files already downloaded and verified
cluster/Account1/metaopt/envs/mo/lib/python3.10/site-packages/torch/nn/modules/conv.py:459: UserWarning: Applied workaround for CuDNN issue, install nvrtc.so (Triggered internally at ../aten/src/ATen/native/cudnn/Conv_v8.cpp:80.)
  return F.conv2d(input, weight, bias, self.stride,
Epoch 0, Train Accuracy: 46.33 %, Test Accuracy: 57.27 %
Epoch 1, Train Accuracy: 69.56 %, Test Accuracy: 61.50 %
Epoch 2, Train Accuracy: 82.60 %, Test Accuracy: 72.80 %
Epoch 3, Train Accuracy: 91.09 %, Test Accuracy: 72.17 %
Epoch 4, Train Accuracy: 96.70 %, Test Accuracy: 72.23 %
Epoch 5, Train Accuracy: 98.54 %, Test Accuracy: 72.22 %
Epoch 6, Train Accuracy: 99.22 %, Test Accuracy: 71.63 %
Epoch 7, Train Accuracy: 99.61 %, Test Accuracy: 70.18 %
Epoch 8, Train Accuracy: 99.51 %, Test Accuracy: 72.89 %
Epoch 9, Train Accuracy: 99.87 %, Test Accuracy: 72.85 %
Epoch 10, Train Accuracy: 99.61 %, Test Accuracy: 73.22 %
Epoch 11, Train Accuracy: 99.94 %, Test Accuracy: 73.81 %
Epoch 12, Train Accuracy: 100.00 %, Test Accuracy: 73.79 %
Epoch 13, Train Accuracy: 99.77 %, Test Accuracy: 73.44 %
Epoch 14, Train Accuracy: 100.00 %, Test Accuracy: 73.96 %
Epoch 15, Train Accuracy: 99.79 %, Test Accuracy: 73.34 %
Epoch 16, Train Accuracy: 99.97 %, Test Accuracy: 74.14 %
