NODE=[HOST_e8d809bd94] | JOB=c100f-node-s0 4683758 | AUGMENT=1
ARGS: --optimizer HF --alg-base SGDm --momentum-param-base 0.99 --weight-decay-base 0.1 --alg-meta Lion --momentum-param-meta 0.99 --Lion-beta2-meta 0.9 --weight-decay-meta 0 --dataset CIFAR100 --NN-name ResNet18_c100 --batch-size 100 --max-time 999:00:00 --gamma 1 --meta-stepsize 1e-3 --alpha0 1e-3 --num-epochs 100 --stepsize-groups nodewise --seed 0 --save-directory cluster/Account2/metaopt/runs/c100b --run-name c100f-node-s0
ENV: AUGMENT=1 BETA_CLIP=-15:-2.3026 HIER=none LAM=na ETA_RATIO=na
NVIDIA L4, 23034 MiB

args_base includes unnecessary attributes {'normalizer_param'} 

Files already downloaded and verified
Files already downloaded and verified
cluster/Account2/metaopt/envs/mo/lib/python3.10/site-packages/torch/nn/modules/conv.py:459: UserWarning: Applied workaround for CuDNN issue, install nvrtc.so (Triggered internally at ../aten/src/ATen/native/cudnn/Conv_v8.cpp:80.)
  return F.conv2d(input, weight, bias, self.stride,
Epoch 0, Train Accuracy: 3.09 %, Test Accuracy: 5.66 %
Epoch 1, Train Accuracy: 7.30 %, Test Accuracy: 8.78 %
Epoch 2, Train Accuracy: 10.19 %, Test Accuracy: 11.68 %
Epoch 3, Train Accuracy: 13.07 %, Test Accuracy: 14.48 %
Epoch 4, Train Accuracy: 16.65 %, Test Accuracy: 18.82 %
Epoch 5, Train Accuracy: 20.46 %, Test Accuracy: 23.01 %
Epoch 6, Train Accuracy: 25.24 %, Test Accuracy: 27.84 %
Epoch 7, Train Accuracy: 29.50 %, Test Accuracy: 31.19 %
Epoch 8, Train Accuracy: 34.65 %, Test Accuracy: 36.54 %
Epoch 9, Train Accuracy: 38.07 %, Test Accuracy: 39.41 %
Epoch 10, Train Accuracy: 43.03 %, Test Accuracy: 42.73 %
Epoch 11, Train Accuracy: 46.58 %, Test Accuracy: 47.02 %
Epoch 12, Train Accuracy: 49.85 %, Test Accuracy: 49.26 %
Epoch 13, Train Accuracy: 52.86 %, Test Accuracy: 49.92 %
Epoch 14, Train Accuracy: 55.24 %, Test Accuracy: 51.56 %
Epoch 15, Train Accuracy: 57.87 %, Test Accuracy: 54.53 %
Epoch 16, Train Accuracy: 59.79 %, Test Accuracy: 56.57 %
Epoch 17, Train Accuracy: 61.93 %, Test Accuracy: 57.75 %
Epoch 18, Train Accuracy: 63.76 %, Test Accuracy: 59.09 %
Epoch 19, Train Accuracy: 65.43 %, Test Accuracy: 59.88 %
Epoch 20, Train Accuracy: 67.33 %, Test Accuracy: 60.26 %
Epoch 21, Train Accuracy: 68.57 %, Test Accuracy: 61.97 %
Epoch 22, Train Accuracy: 69.69 %, Test Accuracy: 64.01 %
Epoch 23, Train Accuracy: 71.11 %, Test Accuracy: 63.51 %
Epoch 24, Train Accuracy: 72.83 %, Test Accuracy: 64.87 %
Epoch 25, Train Accuracy: 73.62 %, Test Accuracy: 64.97 %
Epoch 26, Train Accuracy: 74.60 %, Test Accuracy: 65.44 %
Epoch 27, Train Accuracy: 76.13 %, Test Accuracy: 65.64 %
Epoch 28, Train Accuracy: 77.31 %, Test Accuracy: 65.78 %
Epoch 29, Train Accuracy: 77.80 %, Test Accuracy: 66.17 %
Epoch 30, Train Accuracy: 79.04 %, Test Accuracy: 67.76 %
Epoch 31, Train Accuracy: 80.10 %, Test Accuracy: 67.06 %
Epoch 32, Train Accuracy: 80.84 %, Test Accuracy: 68.24 %
Epoch 33, Train Accuracy: 81.50 %, Test Accuracy: 67.46 %
Epoch 34, Train Accuracy: 82.40 %, Test Accuracy: 67.62 %
Epoch 35, Train Accuracy: 83.13 %, Test Accuracy: 68.52 %
Epoch 36, Train Accuracy: 83.94 %, Test Accuracy: 69.34 %
Epoch 37, Train Accuracy: 85.36 %, Test Accuracy: 68.26 %
Epoch 38, Train Accuracy: 85.82 %, Test Accuracy: 69.02 %
Epoch 39, Train Accuracy: 86.55 %, Test Accuracy: 69.06 %
Epoch 40, Train Accuracy: 86.83 %, Test Accuracy: 69.25 %
Epoch 41, Train Accuracy: 87.70 %, Test Accuracy: 69.15 %
Epoch 42, Train Accuracy: 88.35 %, Test Accuracy: 69.87 %
Epoch 43, Train Accuracy: 88.95 %, Test Accuracy: 69.31 %
Epoch 44, Train Accuracy: 89.37 %, Test Accuracy: 69.50 %
Epoch 45, Train Accuracy: 89.71 %, Test Accuracy: 69.91 %
Epoch 46, Train Accuracy: 90.45 %, Test Accuracy: 68.88 %
Epoch 47, Train Accuracy: 91.02 %, Test Accuracy: 69.68 %
Epoch 48, Train Accuracy: 91.50 %, Test Accuracy: 70.21 %
Epoch 49, Train Accuracy: 91.86 %, Test Accuracy: 69.74 %
Epoch 50, Train Accuracy: 92.34 %, Test Accuracy: 70.47 %
Epoch 51, Train Accuracy: 92.48 %, Test Accuracy: 69.67 %
Epoch 52, Train Accuracy: 92.75 %, Test Accuracy: 70.29 %
Epoch 53, Train Accuracy: 93.42 %, Test Accuracy: 70.09 %
Epoch 54, Train Accuracy: 94.09 %, Test Accuracy: 70.71 %
Epoch 55, Train Accuracy: 94.14 %, Test Accuracy: 69.58 %
Epoch 56, Train Accuracy: 94.35 %, Test Accuracy: 70.54 %
Epoch 57, Train Accuracy: 95.02 %, Test Accuracy: 70.19 %
Epoch 58, Train Accuracy: 95.00 %, Test Accuracy: 70.71 %
Epoch 59, Train Accuracy: 95.43 %, Test Accuracy: 70.67 %
Epoch 60, Train Accuracy: 95.81 %, Test Accuracy: 70.27 %
Epoch 61, Train Accuracy: 95.66 %, Test Accuracy: 70.40 %
Epoch 62, Train Accuracy: 96.06 %, Test Accuracy: 69.37 %
Epoch 63, Train Accuracy: 96.24 %, Test Accuracy: 70.85 %
Epoch 64, Train Accuracy: 96.61 %, Test Accuracy: 70.67 %
Epoch 65, Train Accuracy: 96.63 %, Test Accuracy: 70.28 %
Epoch 66, Train Accuracy: 96.82 %, Test Accuracy: 70.59 %
Epoch 67, Train Accuracy: 96.93 %, Test Accuracy: 70.68 %
Epoch 68, Train Accuracy: 97.12 %, Test Accuracy: 71.31 %
Epoch 69, Train Accuracy: 97.26 %, Test Accuracy: 70.22 %
Epoch 70, Train Accuracy: 97.40 %, Test Accuracy: 69.96 %
Epoch 71, Train Accuracy: 97.43 %, Test Accuracy: 70.52 %
Epoch 72, Train Accuracy: 97.79 %, Test Accuracy: 70.79 %
Epoch 73, Train Accuracy: 97.84 %, Test Accuracy: 70.84 %
Epoch 74, Train Accuracy: 97.98 %, Test Accuracy: 71.22 %
Epoch 75, Train Accuracy: 97.98 %, Test Accuracy: 70.65 %
Epoch 76, Train Accuracy: 98.00 %, Test Accuracy: 70.66 %
Epoch 77, Train Accuracy: 98.06 %, Test Accuracy: 70.71 %
Epoch 78, Train Accuracy: 98.06 %, Test Accuracy: 70.55 %
Epoch 79, Train Accuracy: 98.34 %, Test Accuracy: 71.07 %
Epoch 80, Train Accuracy: 98.58 %, Test Accuracy: 71.10 %
Epoch 81, Train Accuracy: 98.48 %, Test Accuracy: 70.52 %
Epoch 82, Train Accuracy: 98.52 %, Test Accuracy: 71.07 %
Epoch 83, Train Accuracy: 98.53 %, Test Accuracy: 71.29 %
Epoch 84, Train Accuracy: 98.61 %, Test Accuracy: 70.99 %
Epoch 85, Train Accuracy: 98.68 %, Test Accuracy: 71.62 %
Epoch 86, Train Accuracy: 98.79 %, Test Accuracy: 71.54 %
Epoch 87, Train Accuracy: 98.85 %, Test Accuracy: 71.25 %
