NODE=[HOST_e8d809bd94] | JOB=cdn1-lr005-s0 4920414 | AUGMENT=1
ARGS: --optimizer SGD --dataset CIFAR100 --NN-name ResNet18_c100 --batch-size 100 --max-time 999:00:00 --num-epochs 100 --alpha0 0.05 --seed 0 --save-directory cluster/Account2/metaopt/runs/cdn1 --run-name cdn1-lr005-s0
ENV: AUGMENT=1 BETA_CLIP=none HIER=none LAM=na ETA_RATIO=na COS_TOTAL=50000 COS_WARMUP=1000 SCHED=none SCHED_TOTAL=none SCHED_WARMUP=none SCHED_MIN=none PROBE=0 PROBE_DIR=none EB_RHO=na EB_LOG=0
NVIDIA L4, 23034 MiB
Files already downloaded and verified
Files already downloaded and verified
cluster/Account2/metaopt/envs/mo/lib/python3.10/site-packages/torch/nn/modules/conv.py:459: UserWarning: Applied workaround for CuDNN issue, install nvrtc.so (Triggered internally at ../aten/src/ATen/native/cudnn/Conv_v8.cpp:80.)
  return F.conv2d(input, weight, bias, self.stride,
Epoch 0, Train Accuracy: 10.91 %, Test Accuracy: 14.41 %
Epoch 1, Train Accuracy: 22.40 %, Test Accuracy: 24.28 %
Epoch 2, Train Accuracy: 34.72 %, Test Accuracy: 37.92 %
Epoch 3, Train Accuracy: 43.53 %, Test Accuracy: 43.65 %
Epoch 4, Train Accuracy: 49.14 %, Test Accuracy: 48.22 %
Epoch 5, Train Accuracy: 53.35 %, Test Accuracy: 49.56 %
Epoch 6, Train Accuracy: 56.43 %, Test Accuracy: 52.69 %
Epoch 7, Train Accuracy: 58.81 %, Test Accuracy: 51.24 %
Epoch 8, Train Accuracy: 60.96 %, Test Accuracy: 56.23 %
Epoch 9, Train Accuracy: 62.80 %, Test Accuracy: 54.64 %
Epoch 10, Train Accuracy: 64.03 %, Test Accuracy: 56.22 %
Epoch 11, Train Accuracy: 64.92 %, Test Accuracy: 55.48 %
Epoch 12, Train Accuracy: 66.15 %, Test Accuracy: 58.58 %
Epoch 13, Train Accuracy: 67.18 %, Test Accuracy: 56.41 %
Epoch 14, Train Accuracy: 67.99 %, Test Accuracy: 59.52 %
Epoch 15, Train Accuracy: 68.85 %, Test Accuracy: 59.15 %
Epoch 16, Train Accuracy: 69.98 %, Test Accuracy: 60.03 %
Epoch 17, Train Accuracy: 70.32 %, Test Accuracy: 57.43 %
Epoch 18, Train Accuracy: 71.10 %, Test Accuracy: 61.76 %
Epoch 19, Train Accuracy: 71.91 %, Test Accuracy: 61.73 %
Epoch 20, Train Accuracy: 72.29 %, Test Accuracy: 59.90 %
Epoch 21, Train Accuracy: 72.90 %, Test Accuracy: 60.09 %
Epoch 22, Train Accuracy: 73.42 %, Test Accuracy: 62.11 %
Epoch 23, Train Accuracy: 74.23 %, Test Accuracy: 59.58 %
Epoch 24, Train Accuracy: 74.69 %, Test Accuracy: 58.26 %
Epoch 25, Train Accuracy: 75.58 %, Test Accuracy: 62.26 %
Epoch 26, Train Accuracy: 75.54 %, Test Accuracy: 62.16 %
Epoch 27, Train Accuracy: 76.13 %, Test Accuracy: 61.06 %
Epoch 28, Train Accuracy: 76.67 %, Test Accuracy: 61.20 %
Epoch 29, Train Accuracy: 77.31 %, Test Accuracy: 62.81 %
Epoch 30, Train Accuracy: 78.13 %, Test Accuracy: 62.50 %
Epoch 31, Train Accuracy: 78.19 %, Test Accuracy: 63.32 %
Epoch 32, Train Accuracy: 78.74 %, Test Accuracy: 64.05 %
