NODE=[HOST_725a8a8fc9] | JOB=rl3-c23-m3e4-s2 4782169 | AUGMENT=1
ARGS: --optimizer HF --alg-base SGDm --momentum-param-base 0.99 --weight-decay-base 0.1 --alg-meta Lion --momentum-param-meta 0.99 --Lion-beta2-meta 0.9 --weight-decay-meta 0 --dataset CIFAR10 --NN-name ResNet18 --batch-size 100 --max-time 999:00:00 --gamma 1 --meta-stepsize 3e-4 --alpha0 1e-3 --num-epochs 100 --stepsize-groups chunk2325 --seed 2 --save-directory cluster/Account2/metaopt/runs/rl3 --run-name rl3-c23-m3e4-s2
ENV: AUGMENT=1 BETA_CLIP=-30:9.0 HIER=none LAM=na ETA_RATIO=na COS_TOTAL=default COS_WARMUP=default SCHED=none SCHED_TOTAL=none SCHED_WARMUP=none SCHED_MIN=none PROBE=5 PROBE_DIR=cluster/Account2/metaopt/runs/rl3/probe_c23_m3e4_rl3_s2
NVIDIA A100 80GB PCIe, 81920 MiB

args_base includes unnecessary attributes {'normalizer_param'} 

Files already downloaded and verified
Files already downloaded and verified
cluster/Account2/metaopt/envs/mo/lib/python3.10/site-packages/torch/nn/modules/conv.py:459: UserWarning: Applied workaround for CuDNN issue, install nvrtc.so (Triggered internally at ../aten/src/ATen/native/cudnn/Conv_v8.cpp:80.)
  return F.conv2d(input, weight, bias, self.stride,
Epoch 0, Train Accuracy: 21.59 %, Test Accuracy: 30.34 %
Epoch 1, Train Accuracy: 35.30 %, Test Accuracy: 39.82 %
Epoch 2, Train Accuracy: 42.35 %, Test Accuracy: 46.20 %
Epoch 3, Train Accuracy: 47.80 %, Test Accuracy: 50.64 %
Epoch 4, Train Accuracy: 53.10 %, Test Accuracy: 55.22 %
Epoch 5, Train Accuracy: 57.20 %, Test Accuracy: 59.45 %
Epoch 6, Train Accuracy: 61.42 %, Test Accuracy: 63.99 %
Epoch 7, Train Accuracy: 65.29 %, Test Accuracy: 66.60 %
Epoch 8, Train Accuracy: 68.70 %, Test Accuracy: 68.14 %
Epoch 9, Train Accuracy: 71.43 %, Test Accuracy: 71.17 %
Epoch 10, Train Accuracy: 74.46 %, Test Accuracy: 72.87 %
Epoch 11, Train Accuracy: 76.83 %, Test Accuracy: 77.35 %
Epoch 12, Train Accuracy: 79.10 %, Test Accuracy: 77.49 %
Epoch 13, Train Accuracy: 80.04 %, Test Accuracy: 78.24 %
Epoch 14, Train Accuracy: 82.11 %, Test Accuracy: 80.53 %
Epoch 15, Train Accuracy: 83.63 %, Test Accuracy: 83.10 %
Epoch 16, Train Accuracy: 84.16 %, Test Accuracy: 83.13 %
Epoch 17, Train Accuracy: 85.73 %, Test Accuracy: 83.83 %
Epoch 18, Train Accuracy: 86.55 %, Test Accuracy: 84.76 %
Epoch 19, Train Accuracy: 86.75 %, Test Accuracy: 85.55 %
Epoch 20, Train Accuracy: 87.81 %, Test Accuracy: 85.05 %
Epoch 21, Train Accuracy: 88.66 %, Test Accuracy: 85.89 %
Epoch 22, Train Accuracy: 89.43 %, Test Accuracy: 86.44 %
Epoch 23, Train Accuracy: 90.15 %, Test Accuracy: 88.08 %
Epoch 24, Train Accuracy: 90.92 %, Test Accuracy: 87.81 %
Epoch 25, Train Accuracy: 91.08 %, Test Accuracy: 87.88 %
Epoch 26, Train Accuracy: 91.66 %, Test Accuracy: 89.36 %
Epoch 27, Train Accuracy: 92.48 %, Test Accuracy: 87.88 %
Epoch 28, Train Accuracy: 92.48 %, Test Accuracy: 88.75 %
Epoch 29, Train Accuracy: 93.28 %, Test Accuracy: 88.31 %
Epoch 30, Train Accuracy: 93.61 %, Test Accuracy: 88.82 %
Epoch 31, Train Accuracy: 93.97 %, Test Accuracy: 89.11 %
Epoch 32, Train Accuracy: 94.39 %, Test Accuracy: 89.02 %
Epoch 33, Train Accuracy: 94.79 %, Test Accuracy: 88.73 %
Epoch 34, Train Accuracy: 94.93 %, Test Accuracy: 89.75 %
Epoch 35, Train Accuracy: 95.47 %, Test Accuracy: 90.28 %
Epoch 36, Train Accuracy: 95.80 %, Test Accuracy: 91.00 %
Epoch 37, Train Accuracy: 96.03 %, Test Accuracy: 89.57 %
Epoch 38, Train Accuracy: 96.37 %, Test Accuracy: 90.57 %
Epoch 39, Train Accuracy: 96.60 %, Test Accuracy: 90.81 %
Epoch 40, Train Accuracy: 96.97 %, Test Accuracy: 90.83 %
Epoch 41, Train Accuracy: 96.99 %, Test Accuracy: 90.74 %
Epoch 42, Train Accuracy: 96.96 %, Test Accuracy: 91.58 %
Epoch 43, Train Accuracy: 97.51 %, Test Accuracy: 91.38 %
Epoch 44, Train Accuracy: 97.62 %, Test Accuracy: 91.30 %
Epoch 45, Train Accuracy: 97.90 %, Test Accuracy: 91.68 %
Epoch 46, Train Accuracy: 97.93 %, Test Accuracy: 91.41 %
Epoch 47, Train Accuracy: 98.13 %, Test Accuracy: 91.37 %
Epoch 48, Train Accuracy: 98.29 %, Test Accuracy: 91.55 %
Epoch 49, Train Accuracy: 98.40 %, Test Accuracy: 91.84 %
Epoch 50, Train Accuracy: 98.56 %, Test Accuracy: 91.64 %
Epoch 51, Train Accuracy: 98.71 %, Test Accuracy: 91.86 %
Epoch 52, Train Accuracy: 98.84 %, Test Accuracy: 92.13 %
Epoch 53, Train Accuracy: 98.92 %, Test Accuracy: 92.06 %
Epoch 54, Train Accuracy: 99.12 %, Test Accuracy: 92.10 %
Epoch 55, Train Accuracy: 99.01 %, Test Accuracy: 91.68 %
Epoch 56, Train Accuracy: 99.07 %, Test Accuracy: 92.34 %
Epoch 57, Train Accuracy: 99.05 %, Test Accuracy: 92.02 %
Epoch 58, Train Accuracy: 98.95 %, Test Accuracy: 92.33 %
Epoch 59, Train Accuracy: 99.28 %, Test Accuracy: 92.22 %
Epoch 60, Train Accuracy: 99.35 %, Test Accuracy: 92.48 %
Epoch 61, Train Accuracy: 99.41 %, Test Accuracy: 92.81 %
Epoch 62, Train Accuracy: 99.46 %, Test Accuracy: 92.01 %
Epoch 63, Train Accuracy: 99.44 %, Test Accuracy: 92.29 %
Epoch 64, Train Accuracy: 99.44 %, Test Accuracy: 92.25 %
Epoch 65, Train Accuracy: 99.52 %, Test Accuracy: 92.78 %
Epoch 66, Train Accuracy: 99.50 %, Test Accuracy: 92.65 %
Epoch 67, Train Accuracy: 99.58 %, Test Accuracy: 92.30 %
Epoch 68, Train Accuracy: 99.57 %, Test Accuracy: 92.75 %
Epoch 69, Train Accuracy: 99.60 %, Test Accuracy: 92.53 %
Epoch 70, Train Accuracy: 99.62 %, Test Accuracy: 92.47 %
Epoch 71, Train Accuracy: 99.72 %, Test Accuracy: 92.80 %
Epoch 72, Train Accuracy: 99.73 %, Test Accuracy: 92.19 %
Epoch 73, Train Accuracy: 99.70 %, Test Accuracy: 92.52 %
Epoch 74, Train Accuracy: 99.67 %, Test Accuracy: 92.67 %
Epoch 75, Train Accuracy: 99.70 %, Test Accuracy: 92.95 %
Epoch 76, Train Accuracy: 99.82 %, Test Accuracy: 93.01 %
