NODE=[HOST_e8d809bd94] | JOB=fz3-c100-lay-s1 4701806
ARGS: --optimizer HF --alg-base SGDm --momentum-param-base 0.99 --weight-decay-base 0.1 --alg-meta fixed --dataset CIFAR100 --NN-name ResNet18_c100 --batch-size 100 --max-time 999:00:00 --gamma 1 --meta-stepsize 1e-3 --alpha0 1e-3 --num-epochs 20 --stepsize-groups layerwise --seed 1 --save-directory cluster/Account1/metaopt/runs/fz3 --run-name fz3-c100-lay-s1
ENV: AUGMENT=1 BETA_CLIP=-15:-2.3026 HIER=none LAM=na ETA_RATIO=na COS_TOTAL=default COS_WARMUP=default SCHED=none SCHED_TOTAL=none SCHED_WARMUP=none SCHED_MIN=none PROBE=5 PROBE_DIR=cluster/Account1/metaopt/runs/fz3/probe_c100_lay_s1
NVIDIA L4, 23034 MiB

args_base includes unnecessary attributes {'normalizer_param'} 


args_meta includes unnecessary attributes {'weight_decay', 'momentum_param', 'meta_stepsize', 'Lion_beta2'} 

Files already downloaded and verified
Files already downloaded and verified
cluster/Account1/metaopt/envs/mo/lib/python3.10/site-packages/torch/nn/modules/conv.py:459: UserWarning: Applied workaround for CuDNN issue, install nvrtc.so (Triggered internally at ../aten/src/ATen/native/cudnn/Conv_v8.cpp:80.)
  return F.conv2d(input, weight, bias, self.stride,
Epoch 0, Train Accuracy: 2.83 %, Test Accuracy: 6.23 %
Epoch 1, Train Accuracy: 6.51 %, Test Accuracy: 7.71 %
Epoch 2, Train Accuracy: 8.41 %, Test Accuracy: 9.73 %
Epoch 3, Train Accuracy: 10.27 %, Test Accuracy: 10.90 %
Epoch 4, Train Accuracy: 11.43 %, Test Accuracy: 11.72 %
Epoch 5, Train Accuracy: 12.50 %, Test Accuracy: 12.93 %
Epoch 6, Train Accuracy: 13.17 %, Test Accuracy: 13.58 %
Epoch 7, Train Accuracy: 13.96 %, Test Accuracy: 14.40 %
Epoch 8, Train Accuracy: 14.69 %, Test Accuracy: 15.20 %
Epoch 9, Train Accuracy: 15.50 %, Test Accuracy: 15.57 %
Epoch 10, Train Accuracy: 15.89 %, Test Accuracy: 15.63 %
Epoch 11, Train Accuracy: 16.39 %, Test Accuracy: 16.70 %
Epoch 12, Train Accuracy: 16.98 %, Test Accuracy: 17.63 %
Epoch 13, Train Accuracy: 17.87 %, Test Accuracy: 17.98 %
Epoch 14, Train Accuracy: 18.21 %, Test Accuracy: 18.28 %
Epoch 15, Train Accuracy: 19.13 %, Test Accuracy: 20.10 %
Epoch 16, Train Accuracy: 19.65 %, Test Accuracy: 19.67 %
Epoch 17, Train Accuracy: 20.37 %, Test Accuracy: 20.58 %
Epoch 18, Train Accuracy: 21.14 %, Test Accuracy: 21.56 %
Epoch 19, Train Accuracy: 21.66 %, Test Accuracy: 22.21 %
6  minutes
RUN_DONE
