NODE=[HOST_89e2c8be67] | JOB=g3m-node-s0 4776250
ARGS: --optimizer HF --alg-base SGDm --momentum-param-base 0.99 --weight-decay-base 0.1 --alg-meta Lion --momentum-param-meta 0.99 --Lion-beta2-meta 0.9 --weight-decay-meta 0 --dataset CIFAR10 --NN-name ResNet34 --batch-size 100 --max-time 999:00:00 --gamma 1 --meta-stepsize 1e-4 --alpha0 1e-3 --num-epochs 100 --stepsize-groups nodewise --seed 0 --save-directory cluster/Account1/metaopt/runs/g3m --run-name g3m-node-s0
ENV: AUGMENT=1 BETA_CLIP=-15:-2.3026 HIER=none LAM=na ETA_RATIO=na COS_TOTAL=default COS_WARMUP=default SCHED=none SCHED_TOTAL=none SCHED_WARMUP=none SCHED_MIN=none PROBE=5 PROBE_DIR=cluster/Account1/metaopt/runs/g3m/probe_node_g3m_s0
NVIDIA A100 80GB PCIe, 81920 MiB

args_base includes unnecessary attributes {'normalizer_param'} 

Files already downloaded and verified
Files already downloaded and verified
cluster/Account1/metaopt/envs/mo/lib/python3.10/site-packages/torch/nn/modules/conv.py:459: UserWarning: Applied workaround for CuDNN issue, install nvrtc.so (Triggered internally at ../aten/src/ATen/native/cudnn/Conv_v8.cpp:80.)
  return F.conv2d(input, weight, bias, self.stride,
Epoch 0, Train Accuracy: 20.24 %, Test Accuracy: 30.67 %
Epoch 1, Train Accuracy: 33.64 %, Test Accuracy: 37.32 %
Epoch 2, Train Accuracy: 39.93 %, Test Accuracy: 44.43 %
Epoch 3, Train Accuracy: 45.49 %, Test Accuracy: 49.13 %
Epoch 4, Train Accuracy: 50.76 %, Test Accuracy: 54.53 %
Epoch 5, Train Accuracy: 55.50 %, Test Accuracy: 57.93 %
Epoch 6, Train Accuracy: 59.17 %, Test Accuracy: 61.52 %
Epoch 7, Train Accuracy: 63.27 %, Test Accuracy: 65.25 %
Epoch 8, Train Accuracy: 66.41 %, Test Accuracy: 67.72 %
Epoch 9, Train Accuracy: 69.22 %, Test Accuracy: 69.44 %
Epoch 10, Train Accuracy: 71.84 %, Test Accuracy: 69.34 %
Epoch 11, Train Accuracy: 73.63 %, Test Accuracy: 73.63 %
Epoch 12, Train Accuracy: 76.30 %, Test Accuracy: 73.09 %
Epoch 13, Train Accuracy: 77.51 %, Test Accuracy: 76.91 %
Epoch 14, Train Accuracy: 79.62 %, Test Accuracy: 79.10 %
Epoch 15, Train Accuracy: 80.44 %, Test Accuracy: 79.82 %
Epoch 16, Train Accuracy: 82.15 %, Test Accuracy: 81.73 %
Epoch 17, Train Accuracy: 83.15 %, Test Accuracy: 82.28 %
Epoch 18, Train Accuracy: 83.85 %, Test Accuracy: 82.64 %
Epoch 19, Train Accuracy: 84.74 %, Test Accuracy: 81.36 %
Epoch 20, Train Accuracy: 85.55 %, Test Accuracy: 82.09 %
Epoch 21, Train Accuracy: 85.95 %, Test Accuracy: 82.75 %
Epoch 22, Train Accuracy: 86.42 %, Test Accuracy: 85.22 %
Epoch 23, Train Accuracy: 87.01 %, Test Accuracy: 85.32 %
Epoch 24, Train Accuracy: 87.63 %, Test Accuracy: 84.41 %
Epoch 25, Train Accuracy: 87.71 %, Test Accuracy: 84.58 %
Epoch 26, Train Accuracy: 88.58 %, Test Accuracy: 85.00 %
Epoch 27, Train Accuracy: 88.46 %, Test Accuracy: 85.38 %
Epoch 28, Train Accuracy: 89.29 %, Test Accuracy: 85.45 %
Epoch 29, Train Accuracy: 89.77 %, Test Accuracy: 87.64 %
Epoch 30, Train Accuracy: 90.29 %, Test Accuracy: 86.97 %
Epoch 31, Train Accuracy: 90.02 %, Test Accuracy: 86.99 %
Epoch 32, Train Accuracy: 90.39 %, Test Accuracy: 85.93 %
Epoch 33, Train Accuracy: 90.59 %, Test Accuracy: 86.52 %
Epoch 34, Train Accuracy: 90.85 %, Test Accuracy: 86.56 %
Epoch 35, Train Accuracy: 91.29 %, Test Accuracy: 88.24 %
Epoch 36, Train Accuracy: 91.60 %, Test Accuracy: 86.99 %
Epoch 37, Train Accuracy: 91.11 %, Test Accuracy: 87.93 %
Epoch 38, Train Accuracy: 91.94 %, Test Accuracy: 88.39 %
Epoch 39, Train Accuracy: 92.07 %, Test Accuracy: 88.82 %
Epoch 40, Train Accuracy: 92.72 %, Test Accuracy: 87.97 %
Epoch 41, Train Accuracy: 92.27 %, Test Accuracy: 89.34 %
Epoch 42, Train Accuracy: 92.83 %, Test Accuracy: 88.49 %
Epoch 43, Train Accuracy: 92.57 %, Test Accuracy: 87.51 %
Epoch 44, Train Accuracy: 92.78 %, Test Accuracy: 88.94 %
Epoch 45, Train Accuracy: 93.14 %, Test Accuracy: 87.15 %
Epoch 46, Train Accuracy: 93.28 %, Test Accuracy: 89.60 %
Epoch 47, Train Accuracy: 93.50 %, Test Accuracy: 89.63 %
Epoch 48, Train Accuracy: 93.66 %, Test Accuracy: 90.12 %
Epoch 49, Train Accuracy: 93.66 %, Test Accuracy: 89.48 %
Epoch 50, Train Accuracy: 94.18 %, Test Accuracy: 90.30 %
Epoch 51, Train Accuracy: 94.09 %, Test Accuracy: 89.22 %
Epoch 52, Train Accuracy: 94.75 %, Test Accuracy: 90.78 %
Epoch 53, Train Accuracy: 94.45 %, Test Accuracy: 89.73 %
Epoch 54, Train Accuracy: 94.83 %, Test Accuracy: 89.75 %
Epoch 55, Train Accuracy: 94.94 %, Test Accuracy: 90.30 %
Epoch 56, Train Accuracy: 94.90 %, Test Accuracy: 90.39 %
Epoch 57, Train Accuracy: 94.81 %, Test Accuracy: 89.15 %
Epoch 58, Train Accuracy: 95.15 %, Test Accuracy: 90.38 %
Epoch 59, Train Accuracy: 95.04 %, Test Accuracy: 90.48 %
Epoch 60, Train Accuracy: 95.34 %, Test Accuracy: 90.70 %
Epoch 61, Train Accuracy: 95.50 %, Test Accuracy: 88.81 %
Epoch 62, Train Accuracy: 95.61 %, Test Accuracy: 91.22 %
Epoch 63, Train Accuracy: 95.71 %, Test Accuracy: 89.97 %
Epoch 64, Train Accuracy: 95.86 %, Test Accuracy: 89.89 %
Epoch 65, Train Accuracy: 96.21 %, Test Accuracy: 90.41 %
Epoch 66, Train Accuracy: 95.99 %, Test Accuracy: 90.07 %
Epoch 67, Train Accuracy: 95.87 %, Test Accuracy: 91.40 %
Epoch 68, Train Accuracy: 96.49 %, Test Accuracy: 91.25 %
Epoch 69, Train Accuracy: 96.31 %, Test Accuracy: 90.51 %
