NODE=[HOST_668d417035] | JOB=nl1-rms-c23-s1 4832423
ARGS: --optimizer HF --alg-base RMSProp --normalizer-param-base 0.999 --weight-decay-base 0.1 --alg-meta Lion --momentum-param-meta 0.99 --Lion-beta2-meta 0.9 --weight-decay-meta 0 --dataset CIFAR10 --NN-name ResNet18 --batch-size 100 --max-time 999:00:00 --gamma 1 --meta-stepsize 1e-4 --alpha0 1e-3 --num-epochs 100 --stepsize-groups chunk2325 --seed 1 --save-directory cluster/Account1/metaopt/runs/nl1 --run-name nl1-rms-c23-s1
ENV: AUGMENT=1 BETA_CLIP=-15:-2.3026 HIER=none LAM=na ETA_RATIO=na COS_TOTAL=default COS_WARMUP=default SCHED=none SCHED_TOTAL=none SCHED_WARMUP=none SCHED_MIN=none PROBE=5 PROBE_DIR=cluster/Account1/metaopt/runs/nl1/probe_rms_c23_nl1_s1
NVIDIA A100 80GB PCIe, 81920 MiB

args_base includes unnecessary attributes {'momentum_param'} 

Files already downloaded and verified
Files already downloaded and verified
cluster/Account1/metaopt/envs/mo/lib/python3.10/site-packages/torch/nn/modules/conv.py:459: UserWarning: Applied workaround for CuDNN issue, install nvrtc.so (Triggered internally at ../aten/src/ATen/native/cudnn/Conv_v8.cpp:80.)
  return F.conv2d(input, weight, bias, self.stride,
Epoch 0, Train Accuracy: 42.85 %, Test Accuracy: 55.52 %
Epoch 1, Train Accuracy: 63.63 %, Test Accuracy: 63.90 %
Epoch 2, Train Accuracy: 72.77 %, Test Accuracy: 71.05 %
Epoch 3, Train Accuracy: 77.71 %, Test Accuracy: 77.23 %
Epoch 4, Train Accuracy: 81.06 %, Test Accuracy: 79.41 %
Epoch 5, Train Accuracy: 83.10 %, Test Accuracy: 80.23 %
Epoch 6, Train Accuracy: 85.15 %, Test Accuracy: 81.12 %
Epoch 7, Train Accuracy: 86.51 %, Test Accuracy: 85.52 %
Epoch 8, Train Accuracy: 87.77 %, Test Accuracy: 83.89 %
Epoch 9, Train Accuracy: 88.71 %, Test Accuracy: 86.01 %
Epoch 10, Train Accuracy: 89.55 %, Test Accuracy: 87.65 %
Epoch 11, Train Accuracy: 90.56 %, Test Accuracy: 87.44 %
Epoch 12, Train Accuracy: 91.34 %, Test Accuracy: 84.77 %
Epoch 13, Train Accuracy: 91.68 %, Test Accuracy: 88.02 %
Epoch 14, Train Accuracy: 92.68 %, Test Accuracy: 88.09 %
Epoch 15, Train Accuracy: 93.09 %, Test Accuracy: 88.92 %
Epoch 16, Train Accuracy: 93.55 %, Test Accuracy: 88.50 %
Epoch 17, Train Accuracy: 94.12 %, Test Accuracy: 89.17 %
Epoch 18, Train Accuracy: 94.38 %, Test Accuracy: 90.39 %
Epoch 19, Train Accuracy: 94.75 %, Test Accuracy: 90.46 %
Epoch 20, Train Accuracy: 95.25 %, Test Accuracy: 88.04 %
Epoch 21, Train Accuracy: 95.47 %, Test Accuracy: 89.95 %
Epoch 22, Train Accuracy: 95.86 %, Test Accuracy: 90.64 %
Epoch 23, Train Accuracy: 96.07 %, Test Accuracy: 89.57 %
Epoch 24, Train Accuracy: 96.26 %, Test Accuracy: 90.93 %
Epoch 25, Train Accuracy: 96.65 %, Test Accuracy: 89.85 %
Epoch 26, Train Accuracy: 96.72 %, Test Accuracy: 90.66 %
