NODE=[HOST_2739ecbbce] | JOB=m0c-001-e3-s0 4683881 | AUGMENT=1
ARGS: --optimizer HF --alg-base SGDm --momentum-param-base 0.99 --weight-decay-base 0.1 --alg-meta Lion --momentum-param-meta 0.99 --Lion-beta2-meta 0.9 --weight-decay-meta 0 --NN-name ResNet18_c100 --dataset CIFAR100 --batch-size 100 --max-time 999:00:00 --gamma 1 --meta-stepsize 1e-3 --alpha0 1e-3 --num-epochs 100 --stepsize-groups layerwise --seed 0 --save-directory cluster/Account2/metaopt/runs/m0c100 --run-name m0c-001-e3-s0
ENV: AUGMENT=1 BETA_CLIP=-15:-2.3026 HIER=shrink LAM=0.01 ETA_RATIO=na
NVIDIA GeForce RTX 2080 Ti, 11264 MiB

args_base includes unnecessary attributes {'normalizer_param'} 

Files already downloaded and verified
Files already downloaded and verified
cluster/Account2/metaopt/envs/mo/lib/python3.10/site-packages/torch/nn/modules/conv.py:459: UserWarning: Applied workaround for CuDNN issue, install nvrtc.so (Triggered internally at ../aten/src/ATen/native/cudnn/Conv_v8.cpp:80.)
  return F.conv2d(input, weight, bias, self.stride,
Epoch 0, Train Accuracy: 3.11 %, Test Accuracy: 5.67 %
Epoch 1, Train Accuracy: 7.34 %, Test Accuracy: 8.90 %
Epoch 2, Train Accuracy: 10.07 %, Test Accuracy: 11.21 %
Epoch 3, Train Accuracy: 12.21 %, Test Accuracy: 13.14 %
Epoch 4, Train Accuracy: 14.74 %, Test Accuracy: 15.53 %
Epoch 5, Train Accuracy: 16.06 %, Test Accuracy: 17.81 %
Epoch 6, Train Accuracy: 17.85 %, Test Accuracy: 18.24 %
Epoch 7, Train Accuracy: 19.76 %, Test Accuracy: 19.22 %
Epoch 8, Train Accuracy: 21.11 %, Test Accuracy: 20.31 %
Epoch 9, Train Accuracy: 21.80 %, Test Accuracy: 21.39 %
Epoch 10, Train Accuracy: 22.28 %, Test Accuracy: 22.36 %
Epoch 11, Train Accuracy: 22.73 %, Test Accuracy: 21.89 %
Epoch 12, Train Accuracy: 22.48 %, Test Accuracy: 21.74 %
Epoch 13, Train Accuracy: 21.93 %, Test Accuracy: 21.73 %
Epoch 14, Train Accuracy: 21.60 %, Test Accuracy: 21.63 %
Epoch 15, Train Accuracy: 21.20 %, Test Accuracy: 21.54 %
Epoch 16, Train Accuracy: 20.79 %, Test Accuracy: 21.30 %
Epoch 17, Train Accuracy: 20.46 %, Test Accuracy: 20.43 %
Epoch 18, Train Accuracy: 20.12 %, Test Accuracy: 19.77 %
Epoch 19, Train Accuracy: 19.71 %, Test Accuracy: 19.51 %
Epoch 20, Train Accuracy: 19.34 %, Test Accuracy: 19.94 %
Epoch 21, Train Accuracy: 19.28 %, Test Accuracy: 19.06 %
Epoch 22, Train Accuracy: 19.01 %, Test Accuracy: 19.10 %
Epoch 23, Train Accuracy: 18.85 %, Test Accuracy: 19.44 %
Epoch 24, Train Accuracy: 18.70 %, Test Accuracy: 18.81 %
Epoch 25, Train Accuracy: 18.76 %, Test Accuracy: 19.00 %
Epoch 26, Train Accuracy: 18.58 %, Test Accuracy: 18.50 %
Epoch 27, Train Accuracy: 18.40 %, Test Accuracy: 18.55 %
Epoch 28, Train Accuracy: 18.31 %, Test Accuracy: 18.18 %
Epoch 29, Train Accuracy: 18.36 %, Test Accuracy: 18.28 %
Epoch 30, Train Accuracy: 18.07 %, Test Accuracy: 18.10 %
Epoch 31, Train Accuracy: 18.00 %, Test Accuracy: 18.03 %
Epoch 32, Train Accuracy: 17.99 %, Test Accuracy: 17.87 %
Epoch 33, Train Accuracy: 17.82 %, Test Accuracy: 17.57 %
Epoch 34, Train Accuracy: 17.95 %, Test Accuracy: 17.97 %
Epoch 35, Train Accuracy: 17.93 %, Test Accuracy: 17.69 %
Epoch 36, Train Accuracy: 17.85 %, Test Accuracy: 17.57 %
Epoch 37, Train Accuracy: 17.62 %, Test Accuracy: 17.54 %
Epoch 38, Train Accuracy: 17.59 %, Test Accuracy: 17.83 %
Epoch 39, Train Accuracy: 17.64 %, Test Accuracy: 17.65 %
Epoch 40, Train Accuracy: 17.66 %, Test Accuracy: 17.50 %
Epoch 41, Train Accuracy: 17.58 %, Test Accuracy: 17.40 %
Epoch 42, Train Accuracy: 17.59 %, Test Accuracy: 17.54 %
Epoch 43, Train Accuracy: 17.51 %, Test Accuracy: 17.33 %
Epoch 44, Train Accuracy: 17.39 %, Test Accuracy: 17.59 %
Epoch 45, Train Accuracy: 17.38 %, Test Accuracy: 17.53 %
Epoch 46, Train Accuracy: 17.41 %, Test Accuracy: 17.62 %
Epoch 47, Train Accuracy: 17.43 %, Test Accuracy: 17.42 %
Epoch 48, Train Accuracy: 17.45 %, Test Accuracy: 17.44 %
Epoch 49, Train Accuracy: 17.31 %, Test Accuracy: 17.30 %
Epoch 50, Train Accuracy: 17.28 %, Test Accuracy: 17.07 %
Epoch 51, Train Accuracy: 17.22 %, Test Accuracy: 17.49 %
Epoch 52, Train Accuracy: 17.21 %, Test Accuracy: 17.12 %
Epoch 53, Train Accuracy: 17.19 %, Test Accuracy: 17.20 %
Epoch 54, Train Accuracy: 17.03 %, Test Accuracy: 17.37 %
Epoch 55, Train Accuracy: 17.21 %, Test Accuracy: 17.06 %
Epoch 56, Train Accuracy: 17.13 %, Test Accuracy: 16.89 %
Epoch 57, Train Accuracy: 17.03 %, Test Accuracy: 16.77 %
Epoch 58, Train Accuracy: 17.05 %, Test Accuracy: 17.07 %
Epoch 59, Train Accuracy: 17.05 %, Test Accuracy: 17.00 %
Epoch 60, Train Accuracy: 17.11 %, Test Accuracy: 17.02 %
Epoch 61, Train Accuracy: 16.96 %, Test Accuracy: 17.07 %
Epoch 62, Train Accuracy: 17.00 %, Test Accuracy: 16.68 %
Epoch 63, Train Accuracy: 16.86 %, Test Accuracy: 16.93 %
Epoch 64, Train Accuracy: 17.01 %, Test Accuracy: 16.48 %
Epoch 65, Train Accuracy: 16.75 %, Test Accuracy: 16.35 %
Epoch 66, Train Accuracy: 16.85 %, Test Accuracy: 16.89 %
Epoch 67, Train Accuracy: 16.79 %, Test Accuracy: 16.72 %
Epoch 68, Train Accuracy: 16.80 %, Test Accuracy: 16.50 %
Epoch 69, Train Accuracy: 16.84 %, Test Accuracy: 16.48 %
Epoch 70, Train Accuracy: 16.71 %, Test Accuracy: 16.43 %
Epoch 71, Train Accuracy: 16.69 %, Test Accuracy: 16.82 %
Epoch 72, Train Accuracy: 16.82 %, Test Accuracy: 16.67 %
Epoch 73, Train Accuracy: 16.67 %, Test Accuracy: 16.50 %
Epoch 74, Train Accuracy: 16.63 %, Test Accuracy: 16.58 %
Epoch 75, Train Accuracy: 16.62 %, Test Accuracy: 16.44 %
Epoch 76, Train Accuracy: 16.51 %, Test Accuracy: 16.59 %
Epoch 77, Train Accuracy: 16.54 %, Test Accuracy: 16.35 %
Epoch 78, Train Accuracy: 16.62 %, Test Accuracy: 16.41 %
Epoch 79, Train Accuracy: 16.58 %, Test Accuracy: 16.43 %
Epoch 80, Train Accuracy: 16.56 %, Test Accuracy: 16.46 %
Epoch 81, Train Accuracy: 16.49 %, Test Accuracy: 16.42 %
Epoch 82, Train Accuracy: 16.56 %, Test Accuracy: 16.37 %
Epoch 83, Train Accuracy: 16.60 %, Test Accuracy: 16.40 %
Epoch 84, Train Accuracy: 16.45 %, Test Accuracy: 16.39 %
Epoch 85, Train Accuracy: 16.38 %, Test Accuracy: 16.38 %
Epoch 86, Train Accuracy: 16.51 %, Test Accuracy: 16.52 %
Epoch 87, Train Accuracy: 16.56 %, Test Accuracy: 16.32 %
Epoch 88, Train Accuracy: 16.46 %, Test Accuracy: 16.43 %
Epoch 89, Train Accuracy: 16.41 %, Test Accuracy: 16.36 %
Epoch 90, Train Accuracy: 16.42 %, Test Accuracy: 16.30 %
Epoch 91, Train Accuracy: 16.39 %, Test Accuracy: 16.44 %
Epoch 92, Train Accuracy: 16.46 %, Test Accuracy: 16.20 %
Epoch 93, Train Accuracy: 16.37 %, Test Accuracy: 16.36 %
Epoch 94, Train Accuracy: 16.45 %, Test Accuracy: 16.46 %
Epoch 95, Train Accuracy: 16.50 %, Test Accuracy: 16.33 %
Epoch 96, Train Accuracy: 16.48 %, Test Accuracy: 16.39 %
Epoch 97, Train Accuracy: 16.40 %, Test Accuracy: 16.18 %
Epoch 98, Train Accuracy: 16.30 %, Test Accuracy: 16.36 %
Epoch 99, Train Accuracy: 16.29 %, Test Accuracy: 16.36 %
71  minutes
RUN_DONE
