NODE=[HOST_725a8a8fc9] | JOB=lsm1-A-r0-s1 4890993 | AUGMENT=1
ARGS: --optimizer HF --alg-base SGDm --momentum-param-base 0.99 --weight-decay-base 0.1 --alg-meta Adam --normalizer-param-meta 0.999 --momentum-param-meta 0.9 --weight-decay-meta 0 --dataset CIFAR10 --NN-name ResNet18 --batch-size 100 --max-time 999:00:00 --gamma 1 --meta-stepsize 1e-3 --alpha0 1e-6 --num-epochs 100 --stepsize-groups layerwise --seed 1 --save-directory cluster/Account2/metaopt/runs/lsm1 --run-name lsm1-A-r0-s1
ENV: AUGMENT=1 BETA_CLIP=-15:-2.3026 HIER=additive LAM=na ETA_RATIO=0 COS_TOTAL=default COS_WARMUP=default SCHED=none SCHED_TOTAL=none SCHED_WARMUP=none SCHED_MIN=none PROBE=5 PROBE_DIR=cluster/Account2/metaopt/runs/lsm1/probe_A_0_lsm1_s1 EB_RHO=na EB_LOG=0
NVIDIA A100 80GB PCIe, 81920 MiB

args_base includes unnecessary attributes {'normalizer_param'} 


args_meta includes unnecessary attributes {'Lion_beta2'} 

Files already downloaded and verified
Files already downloaded and verified
cluster/Account2/metaopt/envs/mo/lib/python3.10/site-packages/torch/nn/modules/conv.py:459: UserWarning: Applied workaround for CuDNN issue, install nvrtc.so (Triggered internally at ../aten/src/ATen/native/cudnn/Conv_v8.cpp:80.)
  return F.conv2d(input, weight, bias, self.stride,
Epoch 0, Train Accuracy: 9.66 %, Test Accuracy: 9.84 %
Epoch 1, Train Accuracy: 11.61 %, Test Accuracy: 18.30 %
Epoch 2, Train Accuracy: 28.39 %, Test Accuracy: 38.68 %
Epoch 3, Train Accuracy: 44.99 %, Test Accuracy: 48.70 %
Epoch 4, Train Accuracy: 54.55 %, Test Accuracy: 59.43 %
Epoch 5, Train Accuracy: 62.07 %, Test Accuracy: 63.16 %
Epoch 6, Train Accuracy: 67.56 %, Test Accuracy: 69.26 %
Epoch 7, Train Accuracy: 71.19 %, Test Accuracy: 70.17 %
Epoch 8, Train Accuracy: 73.57 %, Test Accuracy: 68.00 %
Epoch 9, Train Accuracy: 74.27 %, Test Accuracy: 73.32 %
Epoch 10, Train Accuracy: 75.12 %, Test Accuracy: 75.97 %
Epoch 11, Train Accuracy: 78.02 %, Test Accuracy: 77.91 %
Epoch 12, Train Accuracy: 83.48 %, Test Accuracy: 86.21 %
Epoch 13, Train Accuracy: 86.97 %, Test Accuracy: 87.72 %
Epoch 14, Train Accuracy: 88.10 %, Test Accuracy: 88.32 %
Epoch 15, Train Accuracy: 88.80 %, Test Accuracy: 88.06 %
Epoch 16, Train Accuracy: 89.39 %, Test Accuracy: 88.26 %
Epoch 17, Train Accuracy: 89.65 %, Test Accuracy: 88.84 %
Epoch 18, Train Accuracy: 90.04 %, Test Accuracy: 88.65 %
Epoch 19, Train Accuracy: 90.49 %, Test Accuracy: 88.96 %
Epoch 20, Train Accuracy: 90.60 %, Test Accuracy: 89.25 %
