NODE=[HOST_7b4dd78541] | JOB=kb-c100-r003-s1 4685571
ARGS: --optimizer HF --alg-base SGDm --momentum-param-base 0.99 --weight-decay-base 0.1 --alg-meta Lion --momentum-param-meta 0.99 --Lion-beta2-meta 0.9 --weight-decay-meta 0 --dataset CIFAR100 --NN-name ResNet18_c100 --batch-size 100 --max-time 999:00:00 --gamma 1 --meta-stepsize 1e-3 --alpha0 1e-3 --num-epochs 100 --stepsize-groups resnet18_blocks --seed 1 --save-directory cluster/Account1/metaopt/runs/kb6 --run-name kb-c100-r003-s1
ENV: AUGMENT=1 BETA_CLIP=-15:-2.3026 HIER=additive LAM=0 ETA_RATIO=0.03 COS_TOTAL=default COS_WARMUP=default
NVIDIA L4, 23034 MiB

args_base includes unnecessary attributes {'normalizer_param'} 

Files already downloaded and verified
Files already downloaded and verified
cluster/Account1/metaopt/envs/mo/lib/python3.10/site-packages/torch/nn/modules/conv.py:459: UserWarning: Applied workaround for CuDNN issue, install nvrtc.so (Triggered internally at ../aten/src/ATen/native/cudnn/Conv_v8.cpp:80.)
  return F.conv2d(input, weight, bias, self.stride,
Epoch 0, Train Accuracy: 3.06 %, Test Accuracy: 6.17 %
Epoch 1, Train Accuracy: 7.28 %, Test Accuracy: 9.24 %
Epoch 2, Train Accuracy: 10.67 %, Test Accuracy: 11.98 %
Epoch 3, Train Accuracy: 12.76 %, Test Accuracy: 13.77 %
Epoch 4, Train Accuracy: 14.66 %, Test Accuracy: 15.35 %
Epoch 5, Train Accuracy: 16.05 %, Test Accuracy: 17.05 %
Epoch 6, Train Accuracy: 17.47 %, Test Accuracy: 18.66 %
Epoch 7, Train Accuracy: 18.60 %, Test Accuracy: 18.72 %
Epoch 8, Train Accuracy: 19.66 %, Test Accuracy: 20.72 %
Epoch 9, Train Accuracy: 20.37 %, Test Accuracy: 21.10 %
Epoch 10, Train Accuracy: 21.71 %, Test Accuracy: 23.22 %
Epoch 11, Train Accuracy: 22.28 %, Test Accuracy: 22.99 %
Epoch 12, Train Accuracy: 23.36 %, Test Accuracy: 23.71 %
Epoch 13, Train Accuracy: 23.87 %, Test Accuracy: 24.57 %
Epoch 14, Train Accuracy: 24.41 %, Test Accuracy: 25.06 %
Epoch 15, Train Accuracy: 25.08 %, Test Accuracy: 25.18 %
Epoch 16, Train Accuracy: 25.74 %, Test Accuracy: 25.47 %
Epoch 17, Train Accuracy: 26.43 %, Test Accuracy: 25.87 %
Epoch 18, Train Accuracy: 26.64 %, Test Accuracy: 27.10 %
Epoch 19, Train Accuracy: 26.78 %, Test Accuracy: 27.02 %
Epoch 20, Train Accuracy: 27.03 %, Test Accuracy: 26.41 %
Epoch 21, Train Accuracy: 27.40 %, Test Accuracy: 26.76 %
Epoch 22, Train Accuracy: 27.68 %, Test Accuracy: 27.15 %
Epoch 23, Train Accuracy: 27.90 %, Test Accuracy: 27.27 %
Epoch 24, Train Accuracy: 27.88 %, Test Accuracy: 27.82 %
Epoch 25, Train Accuracy: 28.38 %, Test Accuracy: 27.62 %
Epoch 26, Train Accuracy: 28.33 %, Test Accuracy: 27.84 %
Epoch 27, Train Accuracy: 28.62 %, Test Accuracy: 27.46 %
Epoch 28, Train Accuracy: 28.67 %, Test Accuracy: 27.67 %
Epoch 29, Train Accuracy: 28.66 %, Test Accuracy: 27.65 %
Epoch 30, Train Accuracy: 28.99 %, Test Accuracy: 28.10 %
Epoch 31, Train Accuracy: 28.93 %, Test Accuracy: 27.75 %
Epoch 32, Train Accuracy: 29.23 %, Test Accuracy: 28.73 %
Epoch 33, Train Accuracy: 29.19 %, Test Accuracy: 28.28 %
Epoch 34, Train Accuracy: 29.35 %, Test Accuracy: 28.47 %
Epoch 35, Train Accuracy: 29.43 %, Test Accuracy: 28.48 %
Epoch 36, Train Accuracy: 29.76 %, Test Accuracy: 28.68 %
Epoch 37, Train Accuracy: 29.66 %, Test Accuracy: 28.67 %
Epoch 38, Train Accuracy: 29.69 %, Test Accuracy: 28.71 %
Epoch 39, Train Accuracy: 29.90 %, Test Accuracy: 28.66 %
Epoch 40, Train Accuracy: 29.87 %, Test Accuracy: 28.52 %
Epoch 41, Train Accuracy: 30.06 %, Test Accuracy: 29.02 %
Epoch 42, Train Accuracy: 30.13 %, Test Accuracy: 28.72 %
Epoch 43, Train Accuracy: 30.20 %, Test Accuracy: 28.75 %
Epoch 44, Train Accuracy: 30.32 %, Test Accuracy: 28.79 %
Epoch 45, Train Accuracy: 30.31 %, Test Accuracy: 28.66 %
Epoch 46, Train Accuracy: 30.38 %, Test Accuracy: 28.76 %
Epoch 47, Train Accuracy: 30.29 %, Test Accuracy: 28.90 %
Epoch 48, Train Accuracy: 30.49 %, Test Accuracy: 29.04 %
Epoch 49, Train Accuracy: 30.51 %, Test Accuracy: 29.00 %
Epoch 50, Train Accuracy: 30.43 %, Test Accuracy: 29.05 %
Epoch 51, Train Accuracy: 30.63 %, Test Accuracy: 29.06 %
Epoch 52, Train Accuracy: 30.63 %, Test Accuracy: 29.10 %
Epoch 53, Train Accuracy: 30.54 %, Test Accuracy: 28.80 %
Epoch 54, Train Accuracy: 30.61 %, Test Accuracy: 29.06 %
Epoch 55, Train Accuracy: 30.69 %, Test Accuracy: 28.95 %
Epoch 56, Train Accuracy: 30.61 %, Test Accuracy: 29.23 %
Epoch 57, Train Accuracy: 30.80 %, Test Accuracy: 29.44 %
Epoch 58, Train Accuracy: 30.74 %, Test Accuracy: 28.98 %
Epoch 59, Train Accuracy: 30.73 %, Test Accuracy: 29.07 %
Epoch 60, Train Accuracy: 30.83 %, Test Accuracy: 28.95 %
