NODE=[HOST_bcfd0fc19c] | JOB=p7-c100-blk6-s2 4685326
ARGS: --optimizer HF --alg-base SGDm --momentum-param-base 0.99 --weight-decay-base 0.1 --alg-meta Lion --momentum-param-meta 0.99 --Lion-beta2-meta 0.9 --weight-decay-meta 0 --dataset CIFAR100 --NN-name ResNet18_c100 --batch-size 100 --max-time 999:00:00 --gamma 1 --meta-stepsize 1e-3 --alpha0 1e-3 --num-epochs 20 --stepsize-groups resnet18_blocks --seed 2 --save-directory cluster/Account1/metaopt/runs/p7free --run-name p7-c100-blk6-s2
ENV: AUGMENT=1 BETA_CLIP=-15:-2.3026 HIER=none LAM=na ETA_RATIO=na COS_TOTAL=default COS_WARMUP=default
NVIDIA L4, 23034 MiB

args_base includes unnecessary attributes {'normalizer_param'} 

Files already downloaded and verified
Files already downloaded and verified
cluster/Account1/metaopt/envs/mo/lib/python3.10/site-packages/torch/nn/modules/conv.py:459: UserWarning: Applied workaround for CuDNN issue, install nvrtc.so (Triggered internally at ../aten/src/ATen/native/cudnn/Conv_v8.cpp:80.)
  return F.conv2d(input, weight, bias, self.stride,
Epoch 0, Train Accuracy: 2.89 %, Test Accuracy: 6.02 %
Epoch 1, Train Accuracy: 7.38 %, Test Accuracy: 9.30 %
Epoch 2, Train Accuracy: 10.88 %, Test Accuracy: 11.94 %
Epoch 3, Train Accuracy: 13.19 %, Test Accuracy: 14.40 %
Epoch 4, Train Accuracy: 15.43 %, Test Accuracy: 17.17 %
Epoch 5, Train Accuracy: 17.11 %, Test Accuracy: 16.75 %
Epoch 6, Train Accuracy: 19.36 %, Test Accuracy: 20.24 %
Epoch 7, Train Accuracy: 21.42 %, Test Accuracy: 22.06 %
Epoch 8, Train Accuracy: 24.02 %, Test Accuracy: 25.21 %
Epoch 9, Train Accuracy: 25.72 %, Test Accuracy: 25.54 %
Epoch 10, Train Accuracy: 27.70 %, Test Accuracy: 28.33 %
Epoch 11, Train Accuracy: 29.09 %, Test Accuracy: 28.65 %
Epoch 12, Train Accuracy: 30.50 %, Test Accuracy: 30.83 %
Epoch 13, Train Accuracy: 32.28 %, Test Accuracy: 32.33 %
Epoch 14, Train Accuracy: 33.91 %, Test Accuracy: 32.19 %
Epoch 15, Train Accuracy: 34.85 %, Test Accuracy: 34.98 %
Epoch 16, Train Accuracy: 36.68 %, Test Accuracy: 35.98 %
Epoch 17, Train Accuracy: 38.17 %, Test Accuracy: 36.17 %
Epoch 18, Train Accuracy: 39.43 %, Test Accuracy: 38.45 %
Epoch 19, Train Accuracy: 40.73 %, Test Accuracy: 39.20 %
8  minutes
RUN_DONE
