run,job_id,account,network,dataset,batch_size,granularity,base,meta,meta_stepsize,alpha0,gamma,augment,beta_clip,hier,lam,eta_ratio,seed,epochs_done,epochs_requested,best_test,final_test,final_train,collapsed,node,wallclock_min,provenance,dup_group,superseded,ep_to_85,ep_to_88,ep_to_90,plateau,ep_in_band_90,plateau5,auc,window_ok,complete
sc-ResNet10-add-s0,4683077,Account1,ResNet10,CIFAR10,100,layerwise,SGDm,Lion,1e-3,1e-6,1,1,-15:-2.3026,additive,na,0.06,0,100,100,91.59,91.29,96.1,0,[HOST_03eb56b6d1],21,env,,0,37,41,45,91.133,35,91.234,73.721,1,1
sc-ResNet10-layer-s0,4683076,Account1,ResNet10,CIFAR10,100,layerwise,SGDm,Lion,1e-3,1e-6,1,1,-15:-2.3026,,na,na,0,100,100,91.16,91.02,99.52,0,[HOST_b0a55dfb8c],21,env,,0,32,37,56,90.726,45,90.962,76.564,1,1
fz3-r10-lay-s0,4701789,Account1,ResNet10,CIFAR10,100,layerwise,SGDm,fixed,1e-3,1e-3,1,1,-15:-2.3026,,na,na,0,20,20,63.41,63.41,64.28,0,[HOST_3c1b003035],13,env,,0,,,,50.053,0,61.18,50.053,0,1
uc5-r10-lay-s0,4702365,Account1,ResNet10,CIFAR10,100,layerwise,SGDm,Lion,1e-3,1e-3,1,1,-30:0.0,,na,na,0,20,20,86.3,86.22,88.99,0,[HOST_e8d809bd94],4,env,,0,17,,,71.086,0,85.518,71.086,0,1
p4-r10-lay,4683366,Account1,ResNet10,CIFAR10,100,layerwise,SGDm,Lion,1e-3,1e-3,1,1,-15:-2.3026,shrink,1.0,na,0,20,20,75.97,75.97,76.12,0,[HOST_e8d809bd94],4,env,,0,,,,59.337,0,73.654,59.337,0,1
p6f-r10-lay,4683583,Account1,ResNet10,CIFAR10,100,layerwise,SGDm,Lion,1e-3,1e-3,1,1,-15:-2.3026,,na,na,0,20,20,86.81,86.81,89.21,0,[HOST_bcfd0fc19c],4,env,,0,17,,,71.282,0,85.728,71.282,0,1
ff5-r10-lay-s0,4702123,Account1,ResNet10,CIFAR10,100,layerwise,SGDm,Lion,1e-3,1e-3,1,1,-15:-2.3026,,na,na,0,20,20,86.65,86.57,89.25,0,[HOST_6dc36997e3],6,env,,0,17,,,71.342,0,85.818,71.342,0,1
sa3-ResNet10-add-s0,4683444,Account2,ResNet10,CIFAR10,100,layerwise,SGDm,Lion,1e-3,1e-3,1,1,-15:-2.3026,additive,na,0.06,0,100,100,89.53,89.42,92.51,0,[HOST_2f2f29d9e1],21,env,,0,24,41,,89.07,15,89.094,83.23,1,1
r10c-r005-s0,4684267,Account2,ResNet10,CIFAR10,100,layerwise,SGDm,Lion,1e-3,1e-3,1,1,-15:-2.3026,additive,na,0.05,0,100,100,89.26,89.26,92.06,0,[HOST_03eb56b6d1],21,env,,0,25,51,,88.681,3,88.866,82.873,1,1
r10b-r015-s0,4683619,Account2,ResNet10,CIFAR10,100,layerwise,SGDm,Lion,1e-3,1e-6,1,1,-15:-2.3026,additive,na,0.15,0,100,100,91.69,91.66,99.23,0,[HOST_2739ecbbce],62,env,,0,34,37,41,91.393,26,91.61,74.776,1,1
r10c-r01-s0,4684270,Account2,ResNet10,CIFAR10,100,layerwise,SGDm,Lion,1e-3,1e-3,1,1,-15:-2.3026,additive,na,0.1,0,100,100,90.38,90.18,94.21,0,[HOST_e8d809bd94],21,env,,0,19,27,68,89.977,51,90.084,84.485,1,1
sa3-ResNet10-layer-s0,4683443,Account2,ResNet10,CIFAR10,100,layerwise,SGDm,Lion,1e-3,1e-3,1,1,-15:-2.3026,,na,na,0,100,100,91.73,91.52,99.79,0,[HOST_03eb56b6d1],21,env,,0,17,25,36,91.398,33,91.486,86.534,1,1
r10-r005-s0,4683322,Account2,ResNet10,CIFAR10,100,layerwise,SGDm,Lion,1e-3,1e-6,1,1,-15:-2.3026,additive,na,0.05,0,100,100,90.77,90.67,95.03,0,[HOST_7b4dd78541],21,env,,0,38,41,56,90.324,54,90.344,73.152,1,1
r10-r003-s0,4683319,Account2,ResNet10,CIFAR10,100,layerwise,SGDm,Lion,1e-3,1e-6,1,1,-15:-2.3026,additive,na,0.03,0,100,100,89.82,89.4,92.53,0,[HOST_f0845cc956],21,env,,0,39,45,,89.404,32,89.502,72.267,1,1
r10b-r06-s0,4683628,Account2,ResNet10,CIFAR10,100,layerwise,SGDm,Lion,1e-3,1e-6,1,1,-15:-2.3026,additive,na,0.6,0,100,100,91.01,90.88,99.48,0,[HOST_bcfd0fc19c],21,env,,0,32,41,62,90.37,49,90.762,75.526,1,1
r10c-r05-s0,4684276,Account2,ResNet10,CIFAR10,100,layerwise,SGDm,Lion,1e-3,1e-3,1,1,-15:-2.3026,additive,na,0.5,0,100,100,91.47,91.18,99.64,0,[HOST_2f2f29d9e1],21,env,,0,15,21,37,91.097,52,91.096,86.351,1,1
r10-r006-s0,4683325,Account2,ResNet10,CIFAR10,100,layerwise,SGDm,Lion,1e-3,1e-6,1,1,-15:-2.3026,additive,na,0.06,0,100,100,91.23,91.23,95.99,0,[HOST_f0845cc956],21,env,,0,38,41,45,90.832,53,90.864,73.597,1,1
r10-r1-s0,4683337,Account2,ResNet10,CIFAR10,100,layerwise,SGDm,Lion,1e-3,1e-6,1,1,-15:-2.3026,additive,na,1,0,100,100,91.26,91.02,99.48,0,[HOST_2739ecbbce],61,env,,0,32,42,62,90.772,47,90.946,76.488,1,1
p5-r10-lay,4683378,Account2,ResNet10,CIFAR10,100,layerwise,SGDm,Lion,1e-3,1e-6,1,1,-15:-2.3026,shrink,1.0,na,0,20,20,44.99,44.99,43.09,0,[HOST_8d6ba568b8],12,env,,0,,,,22.364,0,38.598,22.364,0,1
r10c-r0-s0,4684264,Account2,ResNet10,CIFAR10,100,layerwise,SGDm,Lion,1e-3,1e-3,1,1,-15:-2.3026,additive,na,0,0,100,100,82.46,82.43,84.58,0,[HOST_03eb56b6d1],21,env,,0,,,,82.219,0,82.282,76.821,1,1
r10c-r02-s0,4684273,Account2,ResNet10,CIFAR10,100,layerwise,SGDm,Lion,1e-3,1e-3,1,1,-15:-2.3026,additive,na,0.2,0,100,100,91.43,91.11,97.97,0,[HOST_2739ecbbce],61,env,,0,16,21,32,90.674,72,90.656,85.881,1,1
r10c-r1-s0,4684279,Account2,ResNet10,CIFAR10,100,layerwise,SGDm,Lion,1e-3,1e-3,1,1,-15:-2.3026,additive,na,1,0,100,100,91.87,91.6,99.82,0,[HOST_2739ecbbce],61,env,,0,17,25,37,91.436,37,91.586,86.635,1,1
r10-r02-s0,4683334,Account2,ResNet10,CIFAR10,100,layerwise,SGDm,Lion,1e-3,1e-6,1,1,-15:-2.3026,additive,na,0.2,0,100,100,91.53,91.53,99.3,0,[HOST_3c1b003035],63,env,,0,32,36,42,91.211,43,91.384,74.955,1,1
r10-r007-s0,4683328,Account2,ResNet10,CIFAR10,100,layerwise,SGDm,Lion,1e-3,1e-6,1,1,-15:-2.3026,additive,na,0.07,0,100,100,91.44,91.41,97.12,0,[HOST_8d6ba568b8],61,env,,0,38,41,45,91.103,35,91.108,73.963,1,1
r10-r0-s0,4683316,Account2,ResNet10,CIFAR10,100,layerwise,SGDm,Lion,1e-3,1e-6,1,1,-15:-2.3026,additive,na,0,0,100,100,82.42,82.18,84.42,0,[HOST_f0845cc956],21,env,,0,,,,82.044,0,82.104,66.554,1,1
r10b-r04-s0,4683625,Account2,ResNet10,CIFAR10,100,layerwise,SGDm,Lion,1e-3,1e-6,1,1,-15:-2.3026,additive,na,0.4,0,100,100,91.05,91.05,99.43,0,[HOST_2f2f29d9e1],21,env,,0,30,42,59,90.47,48,90.74,75.1,1,1
r10-r01-s0,4683331,Account2,ResNet10,CIFAR10,100,layerwise,SGDm,Lion,1e-3,1e-6,1,1,-15:-2.3026,additive,na,0.1,0,100,100,91.93,91.71,98.68,0,[HOST_f0845cc956],21,env,,0,35,39,42,91.611,12,91.712,74.448,1,1
r10b-r008-s0,4683616,Account2,ResNet10,CIFAR10,100,layerwise,SGDm,Lion,1e-3,1e-6,1,1,-15:-2.3026,additive,na,0.08,0,100,100,91.9,91.83,97.9,0,[HOST_e8d809bd94],21,env,,0,36,40,43,91.492,9,91.45,74.285,1,1
r10b-r03-s0,4683622,Account2,ResNet10,CIFAR10,100,layerwise,SGDm,Lion,1e-3,1e-6,1,1,-15:-2.3026,additive,na,0.3,0,100,100,91.46,90.89,99.38,0,[HOST_7b4dd78541],21,env,,0,32,38,56,90.921,48,91.108,75.037,1,1
sc-ResNet10-layer-s1,4683080,Account1,ResNet10,CIFAR10,100,layerwise,SGDm,Lion,1e-3,1e-6,1,1,-15:-2.3026,,na,na,1,100,100,90.83,90.47,99.42,0,[HOST_f0845cc956],21,env,,0,33,47,66,90.316,44,90.562,75.803,1,1
