run,job_id,account,network,dataset,batch_size,granularity,base,meta,meta_stepsize,alpha0,gamma,augment,beta_clip,hier,lam,eta_ratio,seed,epochs_done,epochs_requested,best_test,final_test,final_train,collapsed,node,wallclock_min,provenance,dup_group,superseded,ep_to_85,ep_to_88,ep_to_90,plateau,ep_in_band_90,plateau5,auc,window_ok,complete
cvk1-k13-s55,5004254,Account2,VGG11_bn_c100,CIFAR100,100,"[13,13]",SGDm,Lion,1e-3,1e-6,1,1,-15:-2.3026,,na,na,55,100,100,62.29,62.1,77.7,0,[HOST_8d6ba568b8],61,env,,0,,,,61.521,0,61.972,45.516,1,1
cvk1-k13-s56,5004263,Account2,VGG11_bn_c100,CIFAR100,100,"[13,13]",SGDm,Lion,1e-3,1e-6,1,1,-15:-2.3026,,na,na,56,100,100,62.57,62.54,78.16,0,[HOST_e223b82d71],22,env,,0,,,,61.825,0,62.276,45.633,1,1
cvk1-k13-s57,5004272,Account2,VGG11_bn_c100,CIFAR100,100,"[13,13]",SGDm,Lion,1e-3,1e-6,1,1,-15:-2.3026,,na,na,57,100,100,62.11,61.91,78.33,0,[HOST_06f76743f2],27,env,,0,,,,61.394,0,61.748,45.243,1,1
cvk1-k16-s55,5004255,Account2,VGG11_bn_c100,CIFAR100,100,"[16,10]",SGDm,Lion,1e-3,1e-6,1,1,-15:-2.3026,,na,na,55,100,100,68.41,68.23,90.23,0,[HOST_8132501753],60,env,,0,,,,68.138,0,68.118,52.11,1,1
cvk1-k16-s56,5004264,Account2,VGG11_bn_c100,CIFAR100,100,"[16,10]",SGDm,Lion,1e-3,1e-6,1,1,-15:-2.3026,,na,na,56,100,100,68.71,68.52,91.09,0,[HOST_e223b82d71],22,env,,0,,,,68.409,0,68.474,52.278,1,1
cvk1-k16-s57,5004273,Account2,VGG11_bn_c100,CIFAR100,100,"[16,10]",SGDm,Lion,1e-3,1e-6,1,1,-15:-2.3026,,na,na,57,100,100,68.34,68.2,90.05,0,[HOST_06f76743f2],28,env,,0,,,,68.21,0,68.236,52.024,1,1
cvk1-k19-s55,5004256,Account2,VGG11_bn_c100,CIFAR100,100,"[19,7]",SGDm,Lion,1e-3,1e-6,1,1,-15:-2.3026,,na,na,55,100,100,69.11,68.87,82.91,0,[HOST_8132501753],60,env,,0,,,,68.935,0,68.918,54.226,1,1
cvk1-k19-s56,5004265,Account2,VGG11_bn_c100,CIFAR100,100,"[19,7]",SGDm,Lion,1e-3,1e-6,1,1,-15:-2.3026,,na,na,56,100,100,68.96,68.81,83.24,0,[HOST_2f2f29d9e1],22,env,,0,,,,68.751,0,68.694,54.152,1,1
cvk1-k19-s57,5004274,Account2,VGG11_bn_c100,CIFAR100,100,"[19,7]",SGDm,Lion,1e-3,1e-6,1,1,-15:-2.3026,,na,na,57,100,100,68.6,68.43,82.04,0,[HOST_6dc36997e3],29,env,,0,,,,68.447,0,68.468,53.761,1,1
cvk1-k20-s55,5004257,Account2,VGG11_bn_c100,CIFAR100,100,"[20,6]",SGDm,Lion,1e-3,1e-6,1,1,-15:-2.3026,,na,na,55,100,100,67.74,67.64,81.36,0,[HOST_8132501753],60,env,,0,,,,67.543,0,67.578,53.875,1,1
cvk1-k20-s56,5004266,Account2,VGG11_bn_c100,CIFAR100,100,"[20,6]",SGDm,Lion,1e-3,1e-6,1,1,-15:-2.3026,,na,na,56,100,100,67.7,67.56,81.36,0,[HOST_2f2f29d9e1],22,env,,0,,,,67.501,0,67.492,53.846,1,1
cvk1-k20-s57,5004275,Account2,VGG11_bn_c100,CIFAR100,100,"[20,6]",SGDm,Lion,1e-3,1e-6,1,1,-15:-2.3026,,na,na,57,100,100,67.11,66.89,80.3,0,[HOST_89e2c8be67],27,env,,0,,,,66.965,0,66.904,53.392,1,1
cvk1-k21-s55,5004258,Account2,VGG11_bn_c100,CIFAR100,100,"[21,5]",SGDm,Lion,1e-3,1e-6,1,1,-15:-2.3026,,na,na,55,100,100,67.85,67.65,81.77,0,[HOST_8132501753],60,env,,0,,,,67.706,0,67.748,53.898,1,1
cvk1-k21-s56,5004267,Account2,VGG11_bn_c100,CIFAR100,100,"[21,5]",SGDm,Lion,1e-3,1e-6,1,1,-15:-2.3026,,na,na,56,100,100,68.13,67.9,81.98,0,[HOST_2f2f29d9e1],22,env,,0,,,,67.979,0,67.99,54.114,1,1
cvk1-k21-s57,5004276,Account2,VGG11_bn_c100,CIFAR100,100,"[21,5]",SGDm,Lion,1e-3,1e-6,1,1,-15:-2.3026,,na,na,57,100,100,67.63,67.4,81.04,0,[HOST_af5f3a3791],26,env,,0,,,,67.428,0,67.416,53.67,1,1
cvk1-k22-s55,5004259,Account2,VGG11_bn_c100,CIFAR100,100,"[22,4]",SGDm,Lion,1e-3,1e-6,1,1,-15:-2.3026,,na,na,55,100,100,68.0,67.78,98.91,0,[HOST_e8d809bd94],22,env,,0,,,,67.721,0,67.79,54.724,1,1
cvk1-k22-s56,5004268,Account2,VGG11_bn_c100,CIFAR100,100,"[22,4]",SGDm,Lion,1e-3,1e-6,1,1,-15:-2.3026,,na,na,56,100,100,68.72,68.23,98.79,0,[HOST_2f2f29d9e1],22,env,,0,,,,68.433,0,68.382,55.044,1,1
cvk1-k22-s57,5004277,Account2,VGG11_bn_c100,CIFAR100,100,"[22,4]",SGDm,Lion,1e-3,1e-6,1,1,-15:-2.3026,,na,na,57,100,100,68.16,68.01,98.66,0,[HOST_03eb56b6d1],22,env,,0,,,,68.004,0,67.988,54.764,1,1
cvk1-k23-s55,5004260,Account2,VGG11_bn_c100,CIFAR100,100,"[23,3]",SGDm,Lion,1e-3,1e-6,1,1,-15:-2.3026,,na,na,55,100,100,35.35,35.15,35.14,0,[HOST_e8d809bd94],22,env,,0,,,,35.123,0,35.178,30.505,1,1
cvk1-k23-s56,5004269,Account2,VGG11_bn_c100,CIFAR100,100,"[23,3]",SGDm,Lion,1e-3,1e-6,1,1,-15:-2.3026,,na,na,56,100,100,35.1,34.83,34.92,0,[HOST_0315e55916],30,env,,0,,,,34.792,0,34.808,30.364,1,1
cvk1-k23-s57,5004278,Account2,VGG11_bn_c100,CIFAR100,100,"[23,3]",SGDm,Lion,1e-3,1e-6,1,1,-15:-2.3026,,na,na,57,100,100,34.95,34.78,34.79,0,[HOST_bcfd0fc19c],22,env,,0,,,,34.765,0,34.75,30.159,1,1
cvk1-kL-s55,5004253,Account2,VGG11_bn_c100,CIFAR100,100,layerwise,SGDm,Lion,1e-3,1e-6,1,1,-15:-2.3026,,na,na,55,100,100,66.57,66.23,99.41,0,[HOST_8d6ba568b8],57,env,,0,,,,66.147,0,66.356,53.81,1,1
cvk1-kL-s56,5004262,Account2,VGG11_bn_c100,CIFAR100,100,layerwise,SGDm,Lion,1e-3,1e-6,1,1,-15:-2.3026,,na,na,56,100,100,66.72,66.6,99.35,0,[HOST_e223b82d71],19,env,,0,,,,66.154,0,66.434,53.528,1,1
cvk1-kL-s57,5004271,Account2,VGG11_bn_c100,CIFAR100,100,layerwise,SGDm,Lion,1e-3,1e-6,1,1,-15:-2.3026,,na,na,57,100,100,66.23,66.01,99.38,0,[HOST_06f76743f2],26,env,,0,,,,65.867,0,66.038,53.4,1,1
cvk1-k01-s55,5004252,Account2,VGG11_bn_c100,CIFAR100,100,scalar,SGDm,Lion,1e-3,1e-6,1,1,-15:-2.3026,,na,na,55,100,100,36.08,35.58,35.6,0,[HOST_8d6ba568b8],62,env,,0,,,,35.713,0,35.758,31.056,1,1
cvk1-k01-s56,5004261,Account2,VGG11_bn_c100,CIFAR100,100,scalar,SGDm,Lion,1e-3,1e-6,1,1,-15:-2.3026,,na,na,56,100,100,35.4,35.11,35.38,0,[HOST_f0845cc956],22,env,,0,,,,35.175,0,35.22,30.694,1,1
cvk1-k01-s57,5004270,Account2,VGG11_bn_c100,CIFAR100,100,scalar,SGDm,Lion,1e-3,1e-6,1,1,-15:-2.3026,,na,na,57,100,100,35.61,35.36,35.24,0,[HOST_fd0c0ddbe6],30,env,,0,,,,35.311,0,35.366,30.684,1,1
