check,actual,expected,tolerance
additive lift,0.8213333333333281,0.821333333,0.0001
seven-rate grid mean vs cosine,3.1587380952380926,3.158738095,1e-05
tuned granularity gap,35.29066666666667,35.290666667,0.0001
cut49 minus50,18.270666666666664,18.270666667,0.0001
ResNet ISO minus matched control,46.523333333333326,46.523333333,0.0001
retention percent,99.77372345875789,99.77371521,0.001
VGG ISO minus matched control,31.303333333333335,31.303333333,0.0001
cifar100_denominator method gap,-5.699333333333328,-5.699333333333328,0.0001
unaugmented_cifar10_denominator method gap,-3.6173333333333204,-3.6173333333333204,0.0001
