batch,arm,horizon,seed,test_plateau5_pct
ciso1,k01,100,21,23.04
ciso1,k01,100,22,23.604
ciso1,k01,100,23,23.198
ciso1,k62,100,21,68.276
ciso1,k62,100,22,69.444
ciso1,k62,100,23,69.362
ciso1,ISO,100,21,69.946
ciso1,ISO,100,22,70.206
ciso1,ISO,100,23,70.482
ciso1,CTRL,100,21,23.236
ciso1,CTRL,100,22,23.388
ciso1,CTRL,100,23,23.028000000000002
ciso1,ONE,100,21,64.162
ciso1,ONE,100,22,65.398
ciso1,ONE,100,23,64.69
cdep1,k01,100,24,22.7
cdep1,k01,100,25,23.182
cdep1,k01,100,26,24.174
cdep1,k62,100,24,69.164
cdep1,k62,100,25,69.502
cdep1,k62,100,26,68.802
cdep1,ISO,100,24,69.706
cdep1,ISO,100,25,70.456
cdep1,ISO,100,26,69.97
cdep1,DEPTH,100,24,22.773999999999997
cdep1,DEPTH,100,25,23.694
cdep1,DEPTH,100,26,24.094
cdep1,DEPTH2,100,24,22.814
cdep1,DEPTH2,100,25,23.448
cdep1,DEPTH2,100,26,24.082
cdep1,ONE,100,24,64.322
cdep1,ONE,100,25,65.14999999999999
cdep1,ONE,100,26,65.008
ciso2,k01,100,31,23.05
ciso2,k01,100,32,23.136
ciso2,k01,100,33,23.006
ciso2,k62,100,31,69.73
ciso2,k62,100,32,68.63
ciso2,k62,100,33,68.884
ciso2,ISO,100,31,70.61
ciso2,ISO,100,32,69.36
ciso2,ISO,100,33,69.758
ciso2,ONE,100,31,64.88
ciso2,ONE,100,32,64.426
ciso2,ONE,100,33,65.082
ciso2,k01,250,31,23.122
ciso2,k01,250,32,23.238
ciso2,k01,250,33,23.112
ciso2,k62,250,31,70.872
ciso2,k62,250,32,69.966
ciso2,k62,250,33,70.262
ciso2,ISO,250,31,70.58
ciso2,ISO,250,32,69.414
ciso2,ISO,250,33,69.696
ciso2,ONE,250,31,64.962
ciso2,ONE,250,32,64.646
ciso2,ONE,250,33,65.224
cvi1,k01,100,41,35.542
cvi1,k01,100,42,35.333999999999996
cvi1,k01,100,43,35.826
cvi1,kL,100,41,66.248
cvi1,kL,100,42,66.106
cvi1,kL,100,43,66.556
cvi1,ISO,100,41,67.182
cvi1,ISO,100,42,66.458
cvi1,ISO,100,43,66.91199999999999
cvi1,CTL,100,41,35.566
cvi1,CTL,100,42,35.288000000000004
cvi1,CTL,100,43,35.788
