job_id,name,state,submit,start,end,elapsed_s,resources,exit_code,nodes
5004252,cvk1-k01-s55,COMPLETED,2026-09-14T16:58:00,2026-09-14T16:58:01,2026-09-14T18:00:35,3754,"billing=12,cpu=6,gres/gpu=1,mem=16G,node=1",0:0,[HOST_8d6ba568b8]
5004253,cvk1-kL-s55,COMPLETED,2026-09-14T16:58:00,2026-09-14T16:58:01,2026-09-14T17:56:02,3481,"billing=12,cpu=6,gres/gpu=1,mem=16G,node=1",0:0,[HOST_8d6ba568b8]
5004254,cvk1-k13-s55,COMPLETED,2026-09-14T16:58:01,2026-09-14T16:58:03,2026-09-14T17:59:17,3674,"billing=12,cpu=6,gres/gpu=1,mem=16G,node=1",0:0,[HOST_8d6ba568b8]
5004255,cvk1-k16-s55,COMPLETED,2026-09-14T16:58:01,2026-09-14T16:58:03,2026-09-14T17:59:00,3657,"billing=12,cpu=6,gres/gpu=1,mem=16G,node=1",0:0,[HOST_8132501753]
5004256,cvk1-k19-s55,COMPLETED,2026-09-14T16:58:01,2026-09-14T16:58:03,2026-09-14T17:58:33,3630,"billing=12,cpu=6,gres/gpu=1,mem=16G,node=1",0:0,[HOST_8132501753]
5004257,cvk1-k20-s55,COMPLETED,2026-09-14T16:58:01,2026-09-14T16:58:03,2026-09-14T17:58:27,3624,"billing=12,cpu=6,gres/gpu=1,mem=16G,node=1",0:0,[HOST_8132501753]
5004258,cvk1-k21-s55,COMPLETED,2026-09-14T16:58:01,2026-09-14T16:58:03,2026-09-14T17:58:56,3653,"billing=12,cpu=6,gres/gpu=1,mem=16G,node=1",0:0,[HOST_8132501753]
5004259,cvk1-k22-s55,COMPLETED,2026-09-14T16:58:01,2026-09-14T16:58:03,2026-09-14T17:21:01,1378,"billing=12,cpu=6,gres/gpu:l4=1,gres/gpu=1,mem=16G,node=1",0:0,[HOST_e8d809bd94]
5004260,cvk1-k23-s55,COMPLETED,2026-09-14T16:58:01,2026-09-14T16:58:03,2026-09-14T17:21:01,1378,"billing=12,cpu=6,gres/gpu:l4=1,gres/gpu=1,mem=16G,node=1",0:0,[HOST_e8d809bd94]
5004261,cvk1-k01-s56,COMPLETED,2026-09-14T16:58:01,2026-09-14T16:58:03,2026-09-14T17:20:38,1355,"billing=12,cpu=6,gres/gpu:l4=1,gres/gpu=1,mem=16G,node=1",0:0,[HOST_f0845cc956]
5004262,cvk1-kL-s56,COMPLETED,2026-09-14T16:58:01,2026-09-14T16:58:03,2026-09-14T17:17:37,1174,"billing=12,cpu=6,gres/gpu:l4=1,gres/gpu=1,mem=16G,node=1",0:0,[HOST_e223b82d71]
5004263,cvk1-k13-s56,COMPLETED,2026-09-14T16:58:01,2026-09-14T16:58:03,2026-09-14T17:20:52,1369,"billing=12,cpu=6,gres/gpu:l4=1,gres/gpu=1,mem=16G,node=1",0:0,[HOST_e223b82d71]
5004264,cvk1-k16-s56,COMPLETED,2026-09-14T16:58:01,2026-09-14T16:59:52,2026-09-14T17:22:01,1329,"billing=12,cpu=6,gres/gpu:l4=1,gres/gpu=1,mem=16G,node=1",0:0,[HOST_e223b82d71]
5004265,cvk1-k19-s56,COMPLETED,2026-09-14T16:58:01,2026-09-14T16:59:52,2026-09-14T17:22:23,1351,"billing=12,cpu=6,gres/gpu:l4=1,gres/gpu=1,mem=16G,node=1",0:0,[HOST_2f2f29d9e1]
5004266,cvk1-k20-s56,COMPLETED,2026-09-14T16:58:01,2026-09-14T16:59:52,2026-09-14T17:22:17,1345,"billing=12,cpu=6,gres/gpu:l4=1,gres/gpu=1,mem=16G,node=1",0:0,[HOST_2f2f29d9e1]
5004267,cvk1-k21-s56,COMPLETED,2026-09-14T16:58:02,2026-09-14T16:59:52,2026-09-14T17:22:07,1335,"billing=12,cpu=6,gres/gpu:l4=1,gres/gpu=1,mem=16G,node=1",0:0,[HOST_2f2f29d9e1]
5004268,cvk1-k22-s56,COMPLETED,2026-09-14T16:58:02,2026-09-14T16:59:52,2026-09-14T17:22:14,1342,"billing=12,cpu=6,gres/gpu:l4=1,gres/gpu=1,mem=16G,node=1",0:0,[HOST_2f2f29d9e1]
5004269,cvk1-k23-s56,COMPLETED,2026-09-14T16:58:02,2026-09-14T16:59:52,2026-09-14T17:30:14,1822,"billing=14,cpu=6,gres/gpu:3g.40gb=1,gres/gpu=1,mem=16G,node=1",0:0,[HOST_0315e55916]
5004270,cvk1-k01-s57,COMPLETED,2026-09-14T16:58:02,2026-09-14T16:59:52,2026-09-14T17:30:19,1827,"billing=14,cpu=6,gres/gpu:3g.40gb=1,gres/gpu=1,mem=16G,node=1",0:0,[HOST_fd0c0ddbe6]
5004271,cvk1-kL-s57,COMPLETED,2026-09-14T16:58:02,2026-09-14T16:59:52,2026-09-14T17:26:34,1602,"billing=14,cpu=6,gres/gpu:3g.40gb=1,gres/gpu=1,mem=16G,node=1",0:0,[HOST_06f76743f2]
5004272,cvk1-k13-s57,COMPLETED,2026-09-14T16:58:02,2026-09-14T16:59:52,2026-09-14T17:27:40,1668,"billing=14,cpu=6,gres/gpu:4g.40gb=1,gres/gpu=1,mem=16G,node=1",0:0,[HOST_06f76743f2]
5004273,cvk1-k16-s57,COMPLETED,2026-09-14T16:58:02,2026-09-14T16:59:52,2026-09-14T17:28:11,1699,"billing=14,cpu=6,gres/gpu:4g.40gb=1,gres/gpu=1,mem=16G,node=1",0:0,[HOST_06f76743f2]
5004274,cvk1-k19-s57,COMPLETED,2026-09-14T16:58:02,2026-09-14T17:01:52,2026-09-14T17:31:34,1782,"billing=14,cpu=6,gres/gpu:4g.40gb=1,gres/gpu=1,mem=16G,node=1",0:0,[HOST_6dc36997e3]
5004275,cvk1-k20-s57,COMPLETED,2026-09-14T16:58:02,2026-09-14T17:02:51,2026-09-14T17:29:57,1626,"billing=14,cpu=6,gres/gpu:a100=1,gres/gpu=1,mem=16G,node=1",0:0,[HOST_89e2c8be67]
5004276,cvk1-k21-s57,COMPLETED,2026-09-14T16:58:02,2026-09-14T17:08:51,2026-09-14T17:35:20,1589,"billing=14,cpu=6,gres/gpu:a100=1,gres/gpu=1,mem=16G,node=1",0:0,[HOST_af5f3a3791]
5004277,cvk1-k22-s57,COMPLETED,2026-09-14T16:58:02,2026-09-14T17:09:51,2026-09-14T17:32:03,1332,"billing=12,cpu=6,gres/gpu:l4=1,gres/gpu=1,mem=16G,node=1",0:0,[HOST_03eb56b6d1]
5004278,cvk1-k23-s57,COMPLETED,2026-09-14T16:58:02,2026-09-14T17:09:51,2026-09-14T17:32:06,1335,"billing=12,cpu=6,gres/gpu:l4=1,gres/gpu=1,mem=16G,node=1",0:0,[HOST_bcfd0fc19c]
