cell,run,seed,test_plateau5_pct,raw_plateau5_pct,raw_log,raw_log_sha256
cdn1-h2,cdn1-h2-s0,0,78.986,78.986,cdn1-h2-s0-4920429.out,e7e3a1f3a0a4980e194777324580438cbc6b1029946230b1d17d10681546de1c
cdn1-h2,cdn1-h2-s1,1,78.8,78.8,cdn1-h2-s1-4920430.out,1822497b84039d7f3a879c28a47c03ac8c8e68809ee3573610590b13adc7f5ef
cdn1-h2,cdn1-h2-s2,2,78.698,78.698,cdn1-h2-s2-4920431.out,e45353994940b98a2bb5028551d0848347de896cf84d669f2bc04395d4112077
cdn1-lr001,cdn1-lr001-s0,0,75.544,75.544,cdn1-lr001-s0-4920408.out,d77722b9d9c2b3845100578b2e0053be45fffb9922b3f29907127f68167d2587
cdn1-lr001,cdn1-lr001-s1,1,75.128,75.128,cdn1-lr001-s1-4920409.out,44ff0b87b1f726e3a6f8a457963cfdc5f553f855ebd7efd88ae055b162dba10c
cdn1-lr001,cdn1-lr001-s2,2,75.448,75.44800000000001,cdn1-lr001-s2-4920410.out,26b7d341913914b136c0ee9f2b3211ac2478cebf75b919e70adcbf37833905d6
cdn1-lr002,cdn1-lr002-s0,0,76.152,76.152,cdn1-lr002-s0-4920411.out,53b4948cfcc3f0f33738c3bd6f352046d32996a0d4199523c32f88da29432bb7
cdn1-lr002,cdn1-lr002-s1,1,76.586,76.586,cdn1-lr002-s1-4920412.out,31711ecbd51f30da48199e6c1bd1d9450c03b9967f0cb580464396be032c9cb2
cdn1-lr002,cdn1-lr002-s2,2,76.36,76.36,cdn1-lr002-s2-4920413.out,ed6cd7041fbefcf77994ad2b6d16c4828c77fe1eb41dfb0589dadce88c64f96a
cdn1-lr005,cdn1-lr005-s0,0,77.152,77.152,cdn1-lr005-s0-4920414.out,a94ce778e2c1aa291f5c88883903f9acffc49d7d38ed0403c3620831ad86927e
cdn1-lr005,cdn1-lr005-s1,1,77.172,77.172,cdn1-lr005-s1-4920415.out,86f2d7d51cf336be74b7c7e713dd79fabc4ad95f89176a1ea92168874480be89
cdn1-lr005,cdn1-lr005-s2,2,77.146,77.146,cdn1-lr005-s2-4920416.out,947c232564014d286b8bc89cc557c50b6942eb34fb20ddc0d7bf8e3564c0ef50
cdn1-lr01,cdn1-lr01-s0,0,77.526,77.526,cdn1-lr01-s0-4920417.out,81408e04e4bf98bdabc73d3cabbd8dc982ec24c8a4b617bf610aac293f680aa2
cdn1-lr01,cdn1-lr01-s1,1,78.048,78.048,cdn1-lr01-s1-4920418.out,21e9c89bf4194aa1b41b06eb31a8e7216c8de8d1d1d27c126ae656241152bb31
cdn1-lr01,cdn1-lr01-s2,2,77.204,77.204,cdn1-lr01-s2-4920419.out,d8dce3e48511eef8644e6cf0a167374e41bd77266c7a8861f971aabf344faed9
cdn1-lr02,cdn1-lr02-s0,0,76.996,76.996,cdn1-lr02-s0-4920420.out,b14963c33592053efb0c8b788aab25dd79f3716d84d733a50e5f3819894fdc38
cdn1-lr02,cdn1-lr02-s1,1,77.218,77.218,cdn1-lr02-s1-4920421.out,ca048907916694b85824393ae157d66086cf8f74113fb6c9d81fa1192083405d
cdn1-lr02,cdn1-lr02-s2,2,77.056,77.056,cdn1-lr02-s2-4920422.out,db965f6d8639aed88f5e7170239ffef26415a2e6c0de3a53104ad0283aa91280
cdn1-lr03,cdn1-lr03-s0,0,76.268,76.268,cdn1-lr03-s0-4920423.out,4c5dff69f8e459e9d30885e4dd7e68dbdadde31aacdfefb43f9398986ba5fb73
cdn1-lr03,cdn1-lr03-s1,1,76.56,76.56,cdn1-lr03-s1-4920424.out,461035e7bf63337d3cdcf8ef28bd4d167d0f64fe020dc39c988ce7c8b2812c16
cdn1-lr03,cdn1-lr03-s2,2,76.282,76.282,cdn1-lr03-s2-4920425.out,45cd4fcb0a163863869257cf75fc33047cfbc0f9b13696529a2cb24301db3665
cdn1-m,cdn1-m-s0,0,71.814,71.814,cdn1-m-s0-4920426.out,39f1c6f995ceabd1fe0ef448983996895610ca0f08011bfc44c001a0b92d784a
cdn1-m,cdn1-m-s1,1,71.958,71.958,cdn1-m-s1-4920427.out,78db6a8350fe89684a10089591a7d6eb930cd3ea3c0bd765904eb24b9b8a4106
cdn1-m,cdn1-m-s2,2,71.908,71.908,cdn1-m-s2-4920428.out,9ba0ce2ed08d1f2d86fccbcadfb9ad02db51cc8c53fc6a77f2c6c78855f67bbc
cau1-lr0005,cau1-lr0005-s50,50,85.49,85.49,cau1-lr0005-s50-4945786.out,0777024285bf99133b681918d1940e4d21311b63f1f4bc9d046b6a4bffdfb508
cau1-lr0005,cau1-lr0005-s51,51,85.14,85.14,cau1-lr0005-s51-4945795.out,30e5bc4135ddf9937699f761b7a2a14204495c5b56e6e88f339b0f739b159854
cau1-lr0005,cau1-lr0005-s52,52,85.524,85.524,cau1-lr0005-s52-4945840.out,b0db23ec1d9c231475decdcada623a4e0c8831576911be81d2a4e7693566e040
cau1-lr001,cau1-lr001-s50,50,87.504,87.504,cau1-lr001-s50-4945787.out,0dbf0d29d823c7a24711d1b943f5c05839896c5fcc0ab0e0dbee227f726c2d66
cau1-lr001,cau1-lr001-s51,51,86.762,86.762,cau1-lr001-s51-4945832.out,dd58fbe2e56778b57890974c6f2b748388b46647dd809943e2418ff35ae0b8de
cau1-lr001,cau1-lr001-s52,52,86.988,86.988,cau1-lr001-s52-4945841.out,18512e35f633ad36d70536542a1ec250d93d2c4ba9fe8d6b2ed51f52d7cf6a38
cau1-lr002,cau1-lr002-s50,50,88.796,88.796,cau1-lr002-s50-4945788.out,393eb861770bfbc721dc209432ae7a7c34147b9147090090e8333fd871990eca
cau1-lr002,cau1-lr002-s51,51,88.296,88.296,cau1-lr002-s51-4945833.out,0171ffaae2e5d0f760088734e13323cb970914f830ab32ca30d06548056d185f
cau1-lr002,cau1-lr002-s52,52,88.136,88.136,cau1-lr002-s52-4945842.out,b9133576775bcc17d5aaac5501232a878dc103c2d2dafcc440d17f2b10ca8bf2
cau1-lr005,cau1-lr005-s50,50,89.058,89.058,cau1-lr005-s50-4945789.out,b24505cb63082874159005efab36614f1105620a92893c9f5bbcc6f7b5625a05
cau1-lr005,cau1-lr005-s51,51,88.75,88.75,cau1-lr005-s51-4945834.out,1dd7d9bde84604d5abc2dc1353c5278d6a0730b801834d18f0900c6063ef55f5
cau1-lr005,cau1-lr005-s52,52,88.588,88.588,cau1-lr005-s52-4945843.out,8d982d6850675ed40033ae92d5bc56e7baab99e9c3d2a581a4c911f94fa87d32
cau1-lr01,cau1-lr01-s50,50,89.216,89.21600000000001,cau1-lr01-s50-4945790.out,c87184b60d758df3ec40546e1e8645703f15868c2df0a2b735822a9ed06f5d2b
