arm,partition,cut,n,test_accuracy_percent,test_sd_pp,test_seed_se_pp,train_accuracy_percent,in_registered_peak_set,best_observed_cut,dataset,network,epochs,alpha0,meta_stepsize,augment,seeds,primary_window,scope
k01,Scalar anchor (one group),,3,35.448,0.2782157436235432,0.16062793447384457,35.44733333333333,,,CIFAR100,VGG11_bn_c100,100,1e-6,1e-3,1,55;56;57,epochs95-99,"VGG11_bn/CIFAR-100, augmented, 100 epochs, shared meta-step 1e-3; nine arms × three fresh seeds 55–57; one submission. Every sweep arm has exactly two contiguous tensor groups."
kL,Layerwise anchor (26 groups),,3,66.276,0.20977130404323646,0.1211115188576214,99.35,,,CIFAR100,VGG11_bn_c100,100,1e-6,1e-3,1,55;56;57,epochs95-99,"VGG11_bn/CIFAR-100, augmented, 100 epochs, shared meta-step 1e-3; nine arms × three fresh seeds 55–57; one submission. Every sweep arm has exactly two contiguous tensor groups."
k13,Two groups: first 13 tensors / last 13 tensors,13,3,61.998666666666665,0.2650081759745062,0.15300254173633288,77.65533333333333,False,False,CIFAR100,VGG11_bn_c100,100,1e-6,1e-3,1,55;56;57,epochs95-99,"VGG11_bn/CIFAR-100, augmented, 100 epochs, shared meta-step 1e-3; nine arms × three fresh seeds 55–57; one submission. Every sweep arm has exactly two contiguous tensor groups."
k16,Two groups: first 16 tensors / last 10 tensors,16,3,68.276,0.18133946068079437,0.1046963864387582,90.382,True,False,CIFAR100,VGG11_bn_c100,100,1e-6,1e-3,1,55;56;57,epochs95-99,"VGG11_bn/CIFAR-100, augmented, 100 epochs, shared meta-step 1e-3; nine arms × three fresh seeds 55–57; one submission. Every sweep arm has exactly two contiguous tensor groups."
k19,Two groups: first 19 tensors / last 7 tensors,19,3,68.69333333333334,0.22500074073952284,0.1299042382338287,82.73133333333334,True,True,CIFAR100,VGG11_bn_c100,100,1e-6,1e-3,1,55;56;57,epochs95-99,"VGG11_bn/CIFAR-100, augmented, 100 epochs, shared meta-step 1e-3; nine arms × three fresh seeds 55–57; one submission. Every sweep arm has exactly two contiguous tensor groups."
k20,Two groups: first 20 tensors / last 6 tensors,20,3,67.32466666666667,0.3668369301656205,0.21179340037981698,80.998,False,False,CIFAR100,VGG11_bn_c100,100,1e-6,1e-3,1,55;56;57,epochs95-99,"VGG11_bn/CIFAR-100, augmented, 100 epochs, shared meta-step 1e-3; nine arms × three fresh seeds 55–57; one submission. Every sweep arm has exactly two contiguous tensor groups."
k21,Two groups: first 21 tensors / last 5 tensors,21,3,67.718,0.28817355881482876,0.16637708175507385,81.57066666666667,False,False,CIFAR100,VGG11_bn_c100,100,1e-6,1e-3,1,55;56;57,epochs95-99,"VGG11_bn/CIFAR-100, augmented, 100 epochs, shared meta-step 1e-3; nine arms × three fresh seeds 55–57; one submission. Every sweep arm has exactly two contiguous tensor groups."
k22,Two groups: first 22 tensors / last 4 tensors,22,3,68.05333333333333,0.3013591434374227,0.17398978258635106,98.78866666666667,True,False,CIFAR100,VGG11_bn_c100,100,1e-6,1e-3,1,55;56;57,epochs95-99,"VGG11_bn/CIFAR-100, augmented, 100 epochs, shared meta-step 1e-3; nine arms × three fresh seeds 55–57; one submission. Every sweep arm has exactly two contiguous tensor groups."
k23,Two groups: first 23 tensors / last 3 tensors,23,3,34.912,0.23218096390531498,0.1340497420114404,34.97533333333333,False,False,CIFAR100,VGG11_bn_c100,100,1e-6,1e-3,1,55;56;57,epochs95-99,"VGG11_bn/CIFAR-100, augmented, 100 epochs, shared meta-step 1e-3; nine arms × three fresh seeds 55–57; one submission. Every sweep arm has exactly two contiguous tensor groups."
