cell,network,dataset,batch_size,granularity,base,meta,meta_stepsize,alpha0,gamma,augment,beta_clip,hier,lam,eta_ratio,epochs_requested,n,mean_pct,sd_pct,sem_pct
cdn1-h2,ResNet18_c100,CIFAR100,100,?,SGD,?,,0.1,,1,none,,na,na,200,3,78.828,0.14602739469018003,0.08430895563343517
cdn1-lr001,ResNet18_c100,CIFAR100,100,?,SGD,?,,0.01,,1,none,,na,na,100,3,75.37333333333333,0.21781949713772705,0.12575814530721563
cdn1-lr002,ResNet18_c100,CIFAR100,100,?,SGD,?,,0.02,,1,none,,na,na,100,3,76.366,0.21706220306630875,0.12532092137122658
cdn1-lr005,ResNet18_c100,CIFAR100,100,?,SGD,?,,0.05,,1,none,,na,na,100,3,77.15666666666667,0.013613718571105939,0.007859884081699822
cdn1-lr01,ResNet18_c100,CIFAR100,100,?,SGD,?,,0.1,,1,none,,na,na,100,3,77.59266666666666,0.42593113684413464,0.24591145651320448
cdn1-lr02,ResNet18_c100,CIFAR100,100,?,SGD,?,,0.2,,1,none,,na,na,100,3,77.09,0.1148390177596491,0.06630233781700562
cdn1-lr03,ResNet18_c100,CIFAR100,100,?,SGD,?,,0.3,,1,none,,na,na,100,3,76.37,0.16469365500832348,0.09508592605287892
cdn1-m,ResNet18_c100,CIFAR100,100,chunk771,SGDm,Lion,1e-4,1e-3,1,1,-15:-2.3026,,na,na,100,3,71.89333333333333,0.07311178655547823,0.04221110964873982
cau1-lr0005,ResNet18,CIFAR10,100,?,SGD,?,,0.005,,0,none,,na,na,100,3,85.38466666666666,0.21256842035761753,0.12272643471468402
cau1-lr001,ResNet18,CIFAR10,100,?,SGD,?,,0.01,,0,none,,na,na,100,3,87.08466666666666,0.3803279286791009,0.21958243200321173
cau1-lr002,ResNet18,CIFAR10,100,?,SGD,?,,0.02,,0,none,,na,na,100,3,88.40933333333334,0.3442867022313471,0.19877402021167678
cau1-lr005,ResNet18,CIFAR10,100,?,SGD,?,,0.05,,0,none,,na,na,100,3,88.79866666666666,0.23874952006933212,0.13784209968092287
cau1-lr01,ResNet18,CIFAR10,100,?,SGD,?,,0.1,,0,none,,na,na,100,3,89.48933333333333,0.24193663082165703,0.1396821789317148
cau1-lr02,ResNet18,CIFAR10,100,?,SGD,?,,0.2,,0,none,,na,na,100,3,89.61533333333333,0.2231979689274387,0.12886340744283448
