panel_id,occurrence_id,cell_label,selection_context,source_pointer,inherited_context,batch_family_counts,excluded_duplicate_aliases,cell_id,metric,split,units,network,dataset,batch_size,granularity,base,meta,meta_stepsize,alpha0,gamma,augment,beta_clip,hier,lam,eta_ratio,epochs_requested,start_epoch_index,end_epoch_index_exclusive,window_records,actual_epochs_parsed,terminal_window,n,accuracy_mean,accuracy_sd_pp,accuracy_se_pp,accuracy_min,accuracy_max,n_unique_runs,n_unique_seed_labels,n_runs_with_recorded_raw_hash,summary_origin,uncertainty_note,labels,panels,occurrences,source_pointers,measurement_ids,occurrence_count,independence_note
long_trajectory_pooling,OCC-5a57a6774c6bca23,ResNet18|CIFAR10|100|layerwise|SGDm|Lion|1e-3|1e-3|1|1|-15:-2.3026|shrink|0.1|na|300,trajectory window on existing runs,/panels/long_trajectory_pooling/e300/0/cells/0,"{""end_epoch"":100,""scope"":""Within each family, three endpoint windows on the SAME 300-epoch runs, n=2 per arm. e300 a0=1e-3; e3a a0=1e-6. Keep additive and shrink distinct.""}","{""e300"":2}",,CELL-bc77610bcaa4f85c,plateau5,test,accuracy_percent,ResNet18,CIFAR10,100,layerwise,SGDm,Lion,1e-3,1e-3,1,1,-15:-2.3026,shrink,0.1,na,300,95,100,5,300,False,2,92.19,0.08202438661764933,0.058000000000006935,92.13199999999999,92.248,2,2,2,reported summary; checked against inline per-run observations,sample SD; SE=SD/sqrt(n); excludes batch/selection uncertainty,"[""ResNet18|CIFAR10|100|layerwise|SGDm|Lion|1e-3|1e-3|1|1|-15:-2.3026|shrink|0.1|na|300""]","[""long_trajectory_pooling""]","[""OCC-5a57a6774c6bca23""]","[""/panels/long_trajectory_pooling/e300/0/cells/0""]","[""MEAS-c9ac6acfe3557e34"",""MEAS-fb942c17897ebedf""]",1,n counts this cell's named runs; repeated cells/seed labels/trajectory windows are not additional independent replicates
long_trajectory_pooling,OCC-cfc53daa32ed3411,ResNet18|CIFAR10|100|layerwise|SGDm|Lion|1e-3|1e-3|1|1|-15:-2.3026||na|na|300,trajectory window on existing runs,/panels/long_trajectory_pooling/e300/0/cells/1,"{""end_epoch"":100,""scope"":""Within each family, three endpoint windows on the SAME 300-epoch runs, n=2 per arm. e300 a0=1e-3; e3a a0=1e-6. Keep additive and shrink distinct.""}","{""e300"":2}",,CELL-0d7eb1f09b45cfee,plateau5,test,accuracy_percent,ResNet18,CIFAR10,100,layerwise,SGDm,Lion,1e-3,1e-3,1,1,-15:-2.3026,,na,na,300,95,100,5,300,False,2,91.50800000000001,0.3761808075912408,0.26599999999999824,91.242,91.774,2,2,2,reported summary; checked against inline per-run observations,sample SD; SE=SD/sqrt(n); excludes batch/selection uncertainty,"[""ResNet18|CIFAR10|100|layerwise|SGDm|Lion|1e-3|1e-3|1|1|-15:-2.3026||na|na|300""]","[""long_trajectory_pooling""]","[""OCC-cfc53daa32ed3411""]","[""/panels/long_trajectory_pooling/e300/0/cells/1""]","[""MEAS-b7b0b10925e56e6a"",""MEAS-c7961431409f3efd""]",1,n counts this cell's named runs; repeated cells/seed labels/trajectory windows are not additional independent replicates
long_trajectory_pooling,OCC-5fe4728c6d837bec,ResNet18|CIFAR10|100|scalar|SGDm|Lion|1e-3|1e-3|1|1|-15:-2.3026||na|na|300,trajectory window on existing runs,/panels/long_trajectory_pooling/e300/0/cells/2,"{""end_epoch"":100,""scope"":""Within each family, three endpoint windows on the SAME 300-epoch runs, n=2 per arm. e300 a0=1e-3; e3a a0=1e-6. Keep additive and shrink distinct.""}","{""e300"":2}",,CELL-d8bc09a76a378f40,plateau5,test,accuracy_percent,ResNet18,CIFAR10,100,scalar,SGDm,Lion,1e-3,1e-3,1,1,-15:-2.3026,,na,na,300,95,100,5,300,False,2,88.003,0.21354624791833204,0.15099999999999625,87.852,88.154,2,2,2,reported summary; checked against inline per-run observations,sample SD; SE=SD/sqrt(n); excludes batch/selection uncertainty,"[""ResNet18|CIFAR10|100|scalar|SGDm|Lion|1e-3|1e-3|1|1|-15:-2.3026||na|na|300""]","[""long_trajectory_pooling""]","[""OCC-5fe4728c6d837bec""]","[""/panels/long_trajectory_pooling/e300/0/cells/2""]","[""MEAS-550c78b796a08263"",""MEAS-5c8dfec5619288be""]",1,n counts this cell's named runs; repeated cells/seed labels/trajectory windows are not additional independent replicates
long_trajectory_pooling,OCC-3150f96fa0b58915,ResNet18|CIFAR10|100|layerwise|SGDm|Lion|1e-3|1e-3|1|1|-15:-2.3026|shrink|0.1|na|300,trajectory window on existing runs,/panels/long_trajectory_pooling/e300/1/cells/0,"{""end_epoch"":205,""scope"":""Within each family, three endpoint windows on the SAME 300-epoch runs, n=2 per arm. e300 a0=1e-3; e3a a0=1e-6. Keep additive and shrink distinct.""}","{""e300"":2}",,CELL-1d5032855894a1ba,plateau5,test,accuracy_percent,ResNet18,CIFAR10,100,layerwise,SGDm,Lion,1e-3,1e-3,1,1,-15:-2.3026,shrink,0.1,na,300,200,205,5,300,False,2,91.99000000000001,0.09050966799187816,0.06400000000000006,91.926,92.054,2,2,2,reported summary; checked against inline per-run observations,sample SD; SE=SD/sqrt(n); excludes batch/selection uncertainty,"[""ResNet18|CIFAR10|100|layerwise|SGDm|Lion|1e-3|1e-3|1|1|-15:-2.3026|shrink|0.1|na|300""]","[""long_trajectory_pooling""]","[""OCC-3150f96fa0b58915""]","[""/panels/long_trajectory_pooling/e300/1/cells/0""]","[""MEAS-0bc49dcc1724f6ab"",""MEAS-adb5f1778f875666""]",1,n counts this cell's named runs; repeated cells/seed labels/trajectory windows are not additional independent replicates
long_trajectory_pooling,OCC-5ddd01e660851fa2,ResNet18|CIFAR10|100|layerwise|SGDm|Lion|1e-3|1e-3|1|1|-15:-2.3026||na|na|300,trajectory window on existing runs,/panels/long_trajectory_pooling/e300/1/cells/1,"{""end_epoch"":205,""scope"":""Within each family, three endpoint windows on the SAME 300-epoch runs, n=2 per arm. e300 a0=1e-3; e3a a0=1e-6. Keep additive and shrink distinct.""}","{""e300"":2}",,CELL-625463562e7fa9ce,plateau5,test,accuracy_percent,ResNet18,CIFAR10,100,layerwise,SGDm,Lion,1e-3,1e-3,1,1,-15:-2.3026,,na,na,300,200,205,5,300,False,2,91.719,0.4087077195258165,0.2889999999999944,91.43,92.008,2,2,2,reported summary; checked against inline per-run observations,sample SD; SE=SD/sqrt(n); excludes batch/selection uncertainty,"[""ResNet18|CIFAR10|100|layerwise|SGDm|Lion|1e-3|1e-3|1|1|-15:-2.3026||na|na|300""]","[""long_trajectory_pooling""]","[""OCC-5ddd01e660851fa2""]","[""/panels/long_trajectory_pooling/e300/1/cells/1""]","[""MEAS-282f9de54835a616"",""MEAS-95f5cb725f8f9784""]",1,n counts this cell's named runs; repeated cells/seed labels/trajectory windows are not additional independent replicates
long_trajectory_pooling,OCC-9f58da16569f3ef0,ResNet18|CIFAR10|100|scalar|SGDm|Lion|1e-3|1e-3|1|1|-15:-2.3026||na|na|300,trajectory window on existing runs,/panels/long_trajectory_pooling/e300/1/cells/2,"{""end_epoch"":205,""scope"":""Within each family, three endpoint windows on the SAME 300-epoch runs, n=2 per arm. e300 a0=1e-3; e3a a0=1e-6. Keep additive and shrink distinct.""}","{""e300"":2}",,CELL-4336533b0f5a933e,plateau5,test,accuracy_percent,ResNet18,CIFAR10,100,scalar,SGDm,Lion,1e-3,1e-3,1,1,-15:-2.3026,,na,na,300,200,205,5,300,False,2,88.233,0.08626702730475871,0.060999999999999936,88.172,88.294,2,2,2,reported summary; checked against inline per-run observations,sample SD; SE=SD/sqrt(n); excludes batch/selection uncertainty,"[""ResNet18|CIFAR10|100|scalar|SGDm|Lion|1e-3|1e-3|1|1|-15:-2.3026||na|na|300""]","[""long_trajectory_pooling""]","[""OCC-9f58da16569f3ef0""]","[""/panels/long_trajectory_pooling/e300/1/cells/2""]","[""MEAS-3627b52a2813940b"",""MEAS-db7237daee940baf""]",1,n counts this cell's named runs; repeated cells/seed labels/trajectory windows are not additional independent replicates
long_trajectory_pooling,OCC-f4271e844d0f102a,ResNet18|CIFAR10|100|layerwise|SGDm|Lion|1e-3|1e-3|1|1|-15:-2.3026|shrink|0.1|na|300,trajectory window on existing runs,/panels/long_trajectory_pooling/e300/2/cells/0,"{""end_epoch"":300,""scope"":""Within each family, three endpoint windows on the SAME 300-epoch runs, n=2 per arm. e300 a0=1e-3; e3a a0=1e-6. Keep additive and shrink distinct.""}","{""e300"":2}",,CELL-ee5d8e77cf5ddc12,plateau5,test,accuracy_percent,ResNet18,CIFAR10,100,layerwise,SGDm,Lion,1e-3,1e-3,1,1,-15:-2.3026,shrink,0.1,na,300,295,300,5,300,True,2,91.88900000000001,0.07495331880578023,0.05300000000000437,91.836,91.94200000000001,2,2,2,reported summary; checked against inline per-run observations,sample SD; SE=SD/sqrt(n); excludes batch/selection uncertainty,"[""ResNet18|CIFAR10|100|layerwise|SGDm|Lion|1e-3|1e-3|1|1|-15:-2.3026|shrink|0.1|na|300""]","[""long_trajectory_pooling""]","[""OCC-f4271e844d0f102a""]","[""/panels/long_trajectory_pooling/e300/2/cells/0""]","[""MEAS-271dd64128c8bf92"",""MEAS-43498c1287a8591f""]",1,n counts this cell's named runs; repeated cells/seed labels/trajectory windows are not additional independent replicates
long_trajectory_pooling,OCC-1ef41d22eb99ea8f,ResNet18|CIFAR10|100|layerwise|SGDm|Lion|1e-3|1e-3|1|1|-15:-2.3026||na|na|300,trajectory window on existing runs,/panels/long_trajectory_pooling/e300/2/cells/1,"{""end_epoch"":300,""scope"":""Within each family, three endpoint windows on the SAME 300-epoch runs, n=2 per arm. e300 a0=1e-3; e3a a0=1e-6. Keep additive and shrink distinct.""}","{""e300"":2}",,CELL-bcd83e623d1f23f6,plateau5,test,accuracy_percent,ResNet18,CIFAR10,100,layerwise,SGDm,Lion,1e-3,1e-3,1,1,-15:-2.3026,,na,na,300,295,300,5,300,True,2,91.731,0.35496760415564355,0.2509999999999976,91.48,91.982,2,2,2,reported summary; checked against inline per-run observations,sample SD; SE=SD/sqrt(n); excludes batch/selection uncertainty,"[""ResNet18|CIFAR10|100|layerwise|SGDm|Lion|1e-3|1e-3|1|1|-15:-2.3026||na|na|300""]","[""long_trajectory_pooling""]","[""OCC-1ef41d22eb99ea8f""]","[""/panels/long_trajectory_pooling/e300/2/cells/1""]","[""MEAS-5bdaa9273405530d"",""MEAS-e316f205c33c5d10""]",1,n counts this cell's named runs; repeated cells/seed labels/trajectory windows are not additional independent replicates
long_trajectory_pooling,OCC-dcc5bea25fa9b9bb,ResNet18|CIFAR10|100|scalar|SGDm|Lion|1e-3|1e-3|1|1|-15:-2.3026||na|na|300,trajectory window on existing runs,/panels/long_trajectory_pooling/e300/2/cells/2,"{""end_epoch"":300,""scope"":""Within each family, three endpoint windows on the SAME 300-epoch runs, n=2 per arm. e300 a0=1e-3; e3a a0=1e-6. Keep additive and shrink distinct.""}","{""e300"":2}",,CELL-dc86041c09ab0e2f,plateau5,test,accuracy_percent,ResNet18,CIFAR10,100,scalar,SGDm,Lion,1e-3,1e-3,1,1,-15:-2.3026,,na,na,300,295,300,5,300,True,2,88.318,0.14707821048680075,0.10399999999999919,88.214,88.422,2,2,2,reported summary; checked against inline per-run observations,sample SD; SE=SD/sqrt(n); excludes batch/selection uncertainty,"[""ResNet18|CIFAR10|100|scalar|SGDm|Lion|1e-3|1e-3|1|1|-15:-2.3026||na|na|300""]","[""long_trajectory_pooling""]","[""OCC-dcc5bea25fa9b9bb""]","[""/panels/long_trajectory_pooling/e300/2/cells/2""]","[""MEAS-0f28d58a5467a8e0"",""MEAS-f63398b12692298e""]",1,n counts this cell's named runs; repeated cells/seed labels/trajectory windows are not additional independent replicates
long_trajectory_pooling,OCC-8ce591dbdd6c32c6,ResNet18|CIFAR10|100|layerwise|SGDm|Lion|1e-3|1e-6|1|1|-15:-2.3026|additive|na|0.1|300,trajectory window on existing runs,/panels/long_trajectory_pooling/e3a/0/cells/0,"{""end_epoch"":100,""scope"":""Within each family, three endpoint windows on the SAME 300-epoch runs, n=2 per arm. e300 a0=1e-3; e3a a0=1e-6. Keep additive and shrink distinct.""}","{""e3a"":2}",,CELL-ed3987f2ed025ccc,plateau5,test,accuracy_percent,ResNet18,CIFAR10,100,layerwise,SGDm,Lion,1e-3,1e-6,1,1,-15:-2.3026,additive,na,0.1,300,95,100,5,300,False,2,93.131,0.2870853531617425,0.20300000000000296,92.928,93.334,2,2,2,reported summary; checked against inline per-run observations,sample SD; SE=SD/sqrt(n); excludes batch/selection uncertainty,"[""ResNet18|CIFAR10|100|layerwise|SGDm|Lion|1e-3|1e-6|1|1|-15:-2.3026|additive|na|0.1|300""]","[""long_trajectory_pooling""]","[""OCC-8ce591dbdd6c32c6""]","[""/panels/long_trajectory_pooling/e3a/0/cells/0""]","[""MEAS-0fce59466c925da5"",""MEAS-6cead0cd60ae8db1""]",1,n counts this cell's named runs; repeated cells/seed labels/trajectory windows are not additional independent replicates
