file,rows,columns,sha256
aggregate_values_legacy_plateau20.csv,6,14,90ea4a7664dc7300de14db9100c04b2bc2b671498b122b5c471566f7d1c6eddf
aggregate_values_plateau5.csv,6,14,52bb09a5d11e678c3da18e336be96e50bad8f325f535a043beade3aae10a21f3
cell_auxiliary_statistics.csv,226,12,f3022d9ceeca2433cf166610aa9e5ece439ed89134334391962e211470f26295
cell_contexts.csv,414,11,62d3855ad485de4e1284cc6d5748c9ea979b9d5f7d140b829ec49af86d26e4e0
cell_memberships.csv,2378,10,5d7d0da283b5dfb61d288364fba3585c063524e76035190a02762d9d0fbe858b
cells_legacy_plateau20.csv,344,42,a47e0ac0af4767beb69c1bf3fbb3b4cedd321258e0035af8fa360cfd7d229614
cells_plateau5.csv,398,42,772dd30bc9d4c4390620dfa06cf38b216d8dd0275ce4337f43b5e6f4ed0cc164
contrasts_plateau5.csv,31,23,d34ea5721cdc58294e5e82782f9f4d6f44819ab54a7f360aa4db803cb979465b
historical_source_corrections.csv,10,3,665c53e70a6062524a42e4f9653010845c3243e8cc1b9d9343c3f8a0da7a98c6
paired_seed_contrasts_plateau5.csv,42,9,e52e4d443a32d1e929e692470a268fad4b6d90af83fcbdc2e4ad3f0a846b74f8
panel_index.csv,20,15,6c3318327f176cb18ca06d9a0962bbfe744e42479214a16c15bccd92d1b6ce71
panel_metadata.csv,509,4,7d190f85a3627e910746adf7f089689c439abeb0bf4f5ec3a77379757b4161d6
panels/01_alpha0_robustness__cells_legacy_plateau20.csv,21,50,486238b97cb539f89ac5e19bdf803f3cef563402504ca054d4d914a1de9ce5d9
panels/01_alpha0_robustness__cells_plateau5.csv,21,50,44a5aa54dd3b1fefac47f5b0af19636e31b17e8db88f2fc3b24d09c846f58a12
panels/02_alpha0_300_extremes__cells_legacy_plateau20.csv,8,50,9898d4f728c54a7e39d846ab1d623602c0a658521c2705784f6286b7ead9f530
panels/02_alpha0_300_extremes__cells_plateau5.csv,8,50,a51f45a7f89c5077881e7786f018b5f97fa7ca0ac9f4fac3b689b874c4e3dc55
panels/03_schedule_controls__cells_legacy_plateau20.csv,18,50,2c6b5233df49bbde92fb997b155deb7c9b2f09120d9e97b90b88f70af6226969
panels/03_schedule_controls__cells_plateau5.csv,18,50,17da5ab22eed9fc79d98d0ca4e933c3846a8aa1eedb4f5fa2d1e8d7cb3a277ef
panels/03_schedule_controls__contrasts_plateau5.csv,2,23,ceffcf5b6dacdaabb1c8185ddb90c2d73c9e0e5d8af57842bf5682884eefc8e2
panels/04_baseline_model_transfer__cells_legacy_plateau20.csv,4,50,1d7bf9d31c0f2fa08a05e3fdc11099d7cba498dd7444e215fd40f928f28e0121
