panel_id,run_id,split,epoch_index,completed_epochs,accuracy_percent,raw_sha256,source_pointer
cau1,RUN-4945786,test,0,1,53.13,0777024285bf99133b681918d1940e4d21311b63f1f4bc9d046b6a4bffdfb508,/panels/cau1/cells/0/runs/0/test_curve/0
cau1,RUN-4945786,test,1,2,62.92,0777024285bf99133b681918d1940e4d21311b63f1f4bc9d046b6a4bffdfb508,/panels/cau1/cells/0/runs/0/test_curve/1
cau1,RUN-4945786,test,2,3,73.14,0777024285bf99133b681918d1940e4d21311b63f1f4bc9d046b6a4bffdfb508,/panels/cau1/cells/0/runs/0/test_curve/2
cau1,RUN-4945786,test,3,4,75.09,0777024285bf99133b681918d1940e4d21311b63f1f4bc9d046b6a4bffdfb508,/panels/cau1/cells/0/runs/0/test_curve/3
cau1,RUN-4945786,test,4,5,75.43,0777024285bf99133b681918d1940e4d21311b63f1f4bc9d046b6a4bffdfb508,/panels/cau1/cells/0/runs/0/test_curve/4
cau1,RUN-4945786,test,5,6,79.11,0777024285bf99133b681918d1940e4d21311b63f1f4bc9d046b6a4bffdfb508,/panels/cau1/cells/0/runs/0/test_curve/5
cau1,RUN-4945786,test,6,7,79.15,0777024285bf99133b681918d1940e4d21311b63f1f4bc9d046b6a4bffdfb508,/panels/cau1/cells/0/runs/0/test_curve/6
cau1,RUN-4945786,test,7,8,78.74,0777024285bf99133b681918d1940e4d21311b63f1f4bc9d046b6a4bffdfb508,/panels/cau1/cells/0/runs/0/test_curve/7
cau1,RUN-4945786,test,8,9,79.74,0777024285bf99133b681918d1940e4d21311b63f1f4bc9d046b6a4bffdfb508,/panels/cau1/cells/0/runs/0/test_curve/8
cau1,RUN-4945786,test,9,10,81.07,0777024285bf99133b681918d1940e4d21311b63f1f4bc9d046b6a4bffdfb508,/panels/cau1/cells/0/runs/0/test_curve/9
cau1,RUN-4945786,test,10,11,81.26,0777024285bf99133b681918d1940e4d21311b63f1f4bc9d046b6a4bffdfb508,/panels/cau1/cells/0/runs/0/test_curve/10
cau1,RUN-4945786,test,11,12,82.62,0777024285bf99133b681918d1940e4d21311b63f1f4bc9d046b6a4bffdfb508,/panels/cau1/cells/0/runs/0/test_curve/11
cau1,RUN-4945786,test,12,13,83.4,0777024285bf99133b681918d1940e4d21311b63f1f4bc9d046b6a4bffdfb508,/panels/cau1/cells/0/runs/0/test_curve/12
cau1,RUN-4945786,test,13,14,84.33,0777024285bf99133b681918d1940e4d21311b63f1f4bc9d046b6a4bffdfb508,/panels/cau1/cells/0/runs/0/test_curve/13
cau1,RUN-4945786,test,14,15,84.68,0777024285bf99133b681918d1940e4d21311b63f1f4bc9d046b6a4bffdfb508,/panels/cau1/cells/0/runs/0/test_curve/14
cau1,RUN-4945786,test,15,16,84.8,0777024285bf99133b681918d1940e4d21311b63f1f4bc9d046b6a4bffdfb508,/panels/cau1/cells/0/runs/0/test_curve/15
cau1,RUN-4945786,test,16,17,84.92,0777024285bf99133b681918d1940e4d21311b63f1f4bc9d046b6a4bffdfb508,/panels/cau1/cells/0/runs/0/test_curve/16
cau1,RUN-4945786,test,17,18,84.95,0777024285bf99133b681918d1940e4d21311b63f1f4bc9d046b6a4bffdfb508,/panels/cau1/cells/0/runs/0/test_curve/17
cau1,RUN-4945786,test,18,19,84.96,0777024285bf99133b681918d1940e4d21311b63f1f4bc9d046b6a4bffdfb508,/panels/cau1/cells/0/runs/0/test_curve/18
cau1,RUN-4945786,test,19,20,84.96,0777024285bf99133b681918d1940e4d21311b63f1f4bc9d046b6a4bffdfb508,/panels/cau1/cells/0/runs/0/test_curve/19
cau1,RUN-4945786,test,20,21,85.06,0777024285bf99133b681918d1940e4d21311b63f1f4bc9d046b6a4bffdfb508,/panels/cau1/cells/0/runs/0/test_curve/20
