measurement_id,run_id,metric,split,units,value,start_epoch_index,end_epoch_index_exclusive,window_records,window_basis,actual_epochs_parsed,terminal_window,job_id,seed,raw_sha256,raw_paths,source_fields,source_pointers,contexts,panels
MEAS-84b0f812d8650499,RUN-4887071,legacy_plateau20,test,accuracy_percent,90.77,80,100,20,parsed raw epoch count; legacy terminal CSV window,100,True,4887071,1,b52f7688d63d5b12ddc16e9d9818d34935dffc2d744d84acf8ef5fd7dc4a2eeb,"[""archive/Account2/runs/tn1-c10lay-s1-4887071.out""]","[""plateau20""]","[""/panels/granularity_dataset_network_extensions/tinyimagenet/0/runs/1/plateau20""]","[""OCC-d37036b21d81755a""]","[""granularity_dataset_network_extensions""]"
MEAS-ede7951afb411620,RUN-4887075,legacy_plateau20,test,accuracy_percent,90.879,80,100,20,parsed raw epoch count; legacy terminal CSV window,100,True,4887075,2,4735cecd867fdc86f058f1a7636bc9a7e4d942b9dadea0e7abcbef30b951d1d6,"[""archive/Account2/runs/tn1-c10lay-s2-4887075.out""]","[""plateau20""]","[""/panels/granularity_dataset_network_extensions/tinyimagenet/0/runs/2/plateau20""]","[""OCC-d37036b21d81755a""]","[""granularity_dataset_network_extensions""]"
MEAS-dfc207147ce5e548,RUN-4887065,legacy_plateau20,test,accuracy_percent,50.826,80,100,20,parsed raw epoch count; legacy terminal CSV window,100,True,4887065,0,387b991da45ba98f353b85301e91c199aa50020461ecbc872e720de9c8bfcc70,"[""archive/Account2/runs/tn1-lay-s0-4887065.out""]","[""plateau20""]","[""/panels/granularity_dataset_network_extensions/tinyimagenet/1/runs/0/plateau20""]","[""OCC-91fdc95b3aa6c060""]","[""granularity_dataset_network_extensions""]"
MEAS-8b5a3f4f233a00a8,RUN-4887069,legacy_plateau20,test,accuracy_percent,50.748,80,100,20,parsed raw epoch count; legacy terminal CSV window,100,True,4887069,1,53f0bb86571e61a18dc1021584d06d5d2103178578a32ffa76692513f695c5c7,"[""archive/Account2/runs/tn1-lay-s1-4887069.out""]","[""plateau20""]","[""/panels/granularity_dataset_network_extensions/tinyimagenet/1/runs/1/plateau20""]","[""OCC-91fdc95b3aa6c060""]","[""granularity_dataset_network_extensions""]"
MEAS-1b35f21359aa68db,RUN-4887073,legacy_plateau20,test,accuracy_percent,51.227,80,100,20,parsed raw epoch count; legacy terminal CSV window,100,True,4887073,2,b4b01bc85c6bfc41f851566bfb3e4b976e535467d6b8bdb3fe258e527feb9b64,"[""archive/Account2/runs/tn1-lay-s2-4887073.out""]","[""plateau20""]","[""/panels/granularity_dataset_network_extensions/tinyimagenet/1/runs/2/plateau20""]","[""OCC-91fdc95b3aa6c060""]","[""granularity_dataset_network_extensions""]"
MEAS-d8af9035934090a2,RUN-4887066,legacy_plateau20,test,accuracy_percent,52.97,80,100,20,parsed raw epoch count; legacy terminal CSV window,100,True,4887066,0,7e6f074cb9c9fc1a0286eab2de64d4b6976625fa45d4dae885986ce8f5eef5cd,"[""archive/Account2/runs/tn1-node-s0-4887066.out""]","[""plateau20""]","[""/panels/granularity_dataset_network_extensions/tinyimagenet/2/runs/0/plateau20""]","[""OCC-ccb6a5598c6e2dda""]","[""granularity_dataset_network_extensions""]"
MEAS-63809e5e82cca099,RUN-4887070,legacy_plateau20,test,accuracy_percent,53.26,80,100,20,parsed raw epoch count; legacy terminal CSV window,100,True,4887070,1,3e237f80624c938252a1a13c663512861103c49b5dda5a938a2c8953cc5d489d,"[""archive/Account2/runs/tn1-node-s1-4887070.out""]","[""plateau20""]","[""/panels/granularity_dataset_network_extensions/tinyimagenet/2/runs/1/plateau20""]","[""OCC-ccb6a5598c6e2dda""]","[""granularity_dataset_network_extensions""]"
MEAS-3fef3041e5e8c299,RUN-4887074,legacy_plateau20,test,accuracy_percent,53.102,80,100,20,parsed raw epoch count; legacy terminal CSV window,100,True,4887074,2,ff92f8f581b75092659f5e5fe90582f5b27b2c94a1fbf368aa7060281664899c,"[""archive/Account2/runs/tn1-node-s2-4887074.out""]","[""plateau20""]","[""/panels/granularity_dataset_network_extensions/tinyimagenet/2/runs/2/plateau20""]","[""OCC-ccb6a5598c6e2dda""]","[""granularity_dataset_network_extensions""]"
MEAS-0a53b427d7c326b5,RUN-4887064,legacy_plateau20,test,accuracy_percent,9.884,80,100,20,parsed raw epoch count; legacy terminal CSV window,100,True,4887064,0,cedcac635ed9dc7bd285ac2e0cbba83b0d68d4b4e9e306e9ab3729ea8579616e,"[""archive/Account2/runs/tn1-scal-s0-4887064.out""]","[""plateau20""]","[""/panels/granularity_dataset_network_extensions/tinyimagenet/3/runs/0/plateau20""]","[""OCC-3a1acf2f15837f64""]","[""granularity_dataset_network_extensions""]"
MEAS-ad3e6d6425034c93,RUN-4887068,legacy_plateau20,test,accuracy_percent,9.864,80,100,20,parsed raw epoch count; legacy terminal CSV window,100,True,4887068,1,a03a0f5f0933550ba4b2b810732afe47636ad01b997894f592b791435fd8ebae,"[""archive/Account2/runs/tn1-scal-s1-4887068.out""]","[""plateau20""]","[""/panels/granularity_dataset_network_extensions/tinyimagenet/3/runs/1/plateau20""]","[""OCC-3a1acf2f15837f64""]","[""granularity_dataset_network_extensions""]"
