measurement_id,run_id,metric,split,units,value,start_epoch_index,end_epoch_index_exclusive,window_records,window_basis,actual_epochs_parsed,terminal_window,job_id,seed,raw_sha256,raw_paths,source_fields,source_pointers,contexts,panels
MEAS-6e4696ce8fa1541b,RUN-4700620,plateau5,test,accuracy_percent,69.908,95,100,5,parsed raw epoch count,100,True,4700620,0,08450ea72ab304dd1d64b851ecc24244852ad80d9fc578312cb6e8d9f5cb4ef9,"[""archive/Account1/runs/i3a-1e6-s0-4700620.out""]","[""plateau5""]","[""/panels/alpha0_robustness/cells/0/runs/0/plateau5""]","[""OCC-3311fb016ed3c778""]","[""alpha0_robustness""]"
MEAS-6900fd86f2d7118d,RUN-4700634,plateau5,test,accuracy_percent,68.91,95,100,5,parsed raw epoch count,100,True,4700634,1,544c2f8c7e22adf440e57492b2fcd105de403ae04cf6f7dd34dd8ab584ba0194,"[""archive/Account1/runs/i3a-1e6-s1-4700634.out""]","[""plateau5""]","[""/panels/alpha0_robustness/cells/0/runs/1/plateau5""]","[""OCC-3311fb016ed3c778""]","[""alpha0_robustness""]"
MEAS-5735e3236a46edd3,RUN-4700648,plateau5,test,accuracy_percent,69.674,95,100,5,parsed raw epoch count,100,True,4700648,2,4c29c41d9cb9e4929f754a7560fd3a95774c3302abe12ea8699744398d8f197b,"[""archive/Account2/runs/i3a-1e6-s2-4700648.out""]","[""plateau5""]","[""/panels/alpha0_robustness/cells/0/runs/2/plateau5""]","[""OCC-3311fb016ed3c778""]","[""alpha0_robustness""]"
MEAS-a20068866ae7d4bf,RUN-4700622,plateau5,test,accuracy_percent,84.934,95,100,5,parsed raw epoch count,100,True,4700622,0,0aa1bb8bc2ef84da524ae797e79820bde42849c0450678d6e73cbbb14803fe8d,"[""archive/Account1/runs/i3a-1e5-s0-4700622.out""]","[""plateau5""]","[""/panels/alpha0_robustness/cells/1/runs/0/plateau5""]","[""OCC-fecc20cb16692397""]","[""alpha0_robustness""]"
MEAS-0abff73e06bed8c4,RUN-4700636,plateau5,test,accuracy_percent,84.712,95,100,5,parsed raw epoch count,100,True,4700636,1,7becfe18f15982f224a7ac5769e15f4161b16acf38db96818fe4f10d8f643535,"[""archive/Account1/runs/i3a-1e5-s1-4700636.out""]","[""plateau5""]","[""/panels/alpha0_robustness/cells/1/runs/1/plateau5""]","[""OCC-fecc20cb16692397""]","[""alpha0_robustness""]"
MEAS-ef5dfdb4c98f9cf9,RUN-4700650,plateau5,test,accuracy_percent,84.296,95,100,5,parsed raw epoch count,100,True,4700650,2,e74e253e2b783b4ca0774656629ab035520114db2951d4c1e1d54351bab72cfd,"[""archive/Account2/runs/i3a-1e5-s2-4700650.out""]","[""plateau5""]","[""/panels/alpha0_robustness/cells/1/runs/2/plateau5""]","[""OCC-fecc20cb16692397""]","[""alpha0_robustness""]"
MEAS-f2d856d029849768,RUN-4700624,plateau5,test,accuracy_percent,91.43,95,100,5,parsed raw epoch count,100,True,4700624,0,22a7a9370823008650e172588e3926f3d22f2e915aabe7399f2a0890062658d3,"[""archive/Account1/runs/i3a-1e4-s0-4700624.out""]","[""plateau5""]","[""/panels/alpha0_robustness/cells/2/runs/0/plateau5""]","[""OCC-ce5bede7195505a2""]","[""alpha0_robustness""]"
MEAS-131cf2519fb9e4d4,RUN-4700638,plateau5,test,accuracy_percent,91.448,95,100,5,parsed raw epoch count,100,True,4700638,1,dbc1f33370860a13f594f7338f25515c602f5b2166cbf75c82dd23a2898af59d,"[""archive/Account1/runs/i3a-1e4-s1-4700638.out""]","[""plateau5""]","[""/panels/alpha0_robustness/cells/2/runs/1/plateau5""]","[""OCC-ce5bede7195505a2""]","[""alpha0_robustness""]"
MEAS-8a3ba408a9a5b11e,RUN-4700652,plateau5,test,accuracy_percent,91.296,95,100,5,parsed raw epoch count,100,True,4700652,2,a9ad1d4e7887d120fd58f0afca8de3fc24552c60fd882b08cf47b9bf98dead9b,"[""archive/Account2/runs/i3a-1e4-s2-4700652.out""]","[""plateau5""]","[""/panels/alpha0_robustness/cells/2/runs/2/plateau5""]","[""OCC-ce5bede7195505a2""]","[""alpha0_robustness""]"
MEAS-caf30261095a499f,RUN-4700626,plateau5,test,accuracy_percent,91.732,95,100,5,parsed raw epoch count,100,True,4700626,0,6f3f9b33467e9e2c1eeac7ea179ea103dcfaf33cd8745b7621e75dfc1a6cb249,"[""archive/Account1/runs/i3a-3e4-s0-4700626.out""]","[""plateau5""]","[""/panels/alpha0_robustness/cells/3/runs/0/plateau5"",""/panels/schedule_controls/verified_counterweight/cells/0/runs/0/plateau5""]","[""OCC-d04e325f093de499"",""OCC-d172ad0bfaf038b7""]","[""alpha0_robustness"",""schedule_controls""]"
