check_kind,source_pointer,field,reported,recomputed,absolute_difference,tolerance,status
cell_statistics,/panels/alpha0_robustness/cells/0/plateau5,n,3,3,0,1e-09,PASS
cell_statistics,/panels/alpha0_robustness/cells/0/plateau5,mean,69.49733333333333,69.49733333333333,0.0,1e-09,PASS
cell_statistics,/panels/alpha0_robustness/cells/0/plateau5,sd,0.5219284753041714,0.5219284753041714,0.0,1e-09,PASS
cell_statistics,/panels/alpha0_robustness/cells/0/plateau5,sem,0.3013355457145943,0.3013355457145943,0.0,1e-09,PASS
cell_statistics,/panels/alpha0_robustness/cells/0/plateau5,min,68.91,68.91,0.0,1e-09,PASS
cell_statistics,/panels/alpha0_robustness/cells/0/plateau5,max,69.908,69.908,0.0,1e-09,PASS
cell_statistics,/panels/alpha0_robustness/cells/0/plateau20,n,3,3,0,1e-09,PASS
cell_statistics,/panels/alpha0_robustness/cells/0/plateau20,mean,68.68,68.68,0.0,1e-09,PASS
cell_statistics,/panels/alpha0_robustness/cells/0/plateau20,sd,0.5302565416852548,0.5302565416852548,0.0,1e-09,PASS
cell_statistics,/panels/alpha0_robustness/cells/0/plateau20,sem,0.3061437570815419,0.3061437570815419,0.0,1e-09,PASS
cell_statistics,/panels/alpha0_robustness/cells/0/plateau20,min,68.112,68.112,0.0,1e-09,PASS
cell_statistics,/panels/alpha0_robustness/cells/0/plateau20,max,69.162,69.162,0.0,1e-09,PASS
auxiliary_cell_statistics,/panels/alpha0_robustness/cells/0/train_plateau5,n,3,3,0,1e-09,PASS
auxiliary_cell_statistics,/panels/alpha0_robustness/cells/0/train_plateau5,mean,70.52733333333333,70.52733333333333,0.0,1e-09,PASS
auxiliary_cell_statistics,/panels/alpha0_robustness/cells/0/train_plateau5,sd,0.46266330450267334,0.46266330450267334,0.0,1e-09,PASS
auxiliary_cell_statistics,/panels/alpha0_robustness/cells/0/train_plateau5,sem,0.26711878339878026,0.26711878339878026,0.0,1e-09,PASS
auxiliary_cell_statistics,/panels/alpha0_robustness/cells/0/train_plateau5,min,70.112,70.112,0.0,1e-09,PASS
auxiliary_cell_statistics,/panels/alpha0_robustness/cells/0/train_plateau5,max,71.026,71.026,0.0,1e-09,PASS
auxiliary_cell_statistics,/panels/alpha0_robustness/cells/0/auc_raw,n,3,3,0,1e-09,PASS
auxiliary_cell_statistics,/panels/alpha0_robustness/cells/0/auc_raw,mean,59.029266666666665,59.029266666666665,0.0,1e-09,PASS
auxiliary_cell_statistics,/panels/alpha0_robustness/cells/0/auc_raw,sd,2.2225359262188173,2.2225359262188173,0.0,1e-09,PASS
auxiliary_cell_statistics,/panels/alpha0_robustness/cells/0/auc_raw,sem,1.2831817152860485,1.2831817152860485,0.0,1e-09,PASS
auxiliary_cell_statistics,/panels/alpha0_robustness/cells/0/auc_raw,min,56.4861,56.4861,0.0,1e-09,PASS
auxiliary_cell_statistics,/panels/alpha0_robustness/cells/0/auc_raw,max,60.599000000000004,60.599000000000004,0.0,1e-09,PASS
cell_statistics,/panels/alpha0_robustness/cells/1/plateau5,n,3,3,0,1e-09,PASS
cell_statistics,/panels/alpha0_robustness/cells/1/plateau5,mean,84.64733333333334,84.64733333333334,0.0,1e-09,PASS
cell_statistics,/panels/alpha0_robustness/cells/1/plateau5,sd,0.32387857807105824,0.32387857807105824,0.0,1e-09,PASS
cell_statistics,/panels/alpha0_robustness/cells/1/plateau5,sem,0.1869913842340787,0.1869913842340787,0.0,1e-09,PASS
cell_statistics,/panels/alpha0_robustness/cells/1/plateau5,min,84.296,84.296,0.0,1e-09,PASS
cell_statistics,/panels/alpha0_robustness/cells/1/plateau5,max,84.934,84.934,0.0,1e-09,PASS
cell_statistics,/panels/alpha0_robustness/cells/1/plateau20,n,3,3,0,1e-09,PASS
cell_statistics,/panels/alpha0_robustness/cells/1/plateau20,mean,84.51833333333333,84.51833333333333,0.0,1e-09,PASS
cell_statistics,/panels/alpha0_robustness/cells/1/plateau20,sd,0.23336737846866026,0.23336737846866026,0.0,1e-09,PASS
cell_statistics,/panels/alpha0_robustness/cells/1/plateau20,sem,0.1347347187789583,0.1347347187789583,0.0,1e-09,PASS
cell_statistics,/panels/alpha0_robustness/cells/1/plateau20,min,84.366,84.366,0.0,1e-09,PASS
cell_statistics,/panels/alpha0_robustness/cells/1/plateau20,max,84.787,84.787,0.0,1e-09,PASS
auxiliary_cell_statistics,/panels/alpha0_robustness/cells/1/train_plateau5,n,3,3,0,1e-09,PASS
auxiliary_cell_statistics,/panels/alpha0_robustness/cells/1/train_plateau5,mean,97.448,97.448,0.0,1e-09,PASS
auxiliary_cell_statistics,/panels/alpha0_robustness/cells/1/train_plateau5,sd,0.3845672893005839,0.3845672893005839,0.0,1e-09,PASS
auxiliary_cell_statistics,/panels/alpha0_robustness/cells/1/train_plateau5,sem,0.22203002799921684,0.22203002799921684,0.0,1e-09,PASS
auxiliary_cell_statistics,/panels/alpha0_robustness/cells/1/train_plateau5,min,97.006,97.006,0.0,1e-09,PASS
auxiliary_cell_statistics,/panels/alpha0_robustness/cells/1/train_plateau5,max,97.706,97.706,0.0,1e-09,PASS
auxiliary_cell_statistics,/panels/alpha0_robustness/cells/1/auc_raw,n,3,3,0,1e-09,PASS
auxiliary_cell_statistics,/panels/alpha0_robustness/cells/1/auc_raw,mean,78.57833333333333,78.57833333333333,0.0,1e-09,PASS
auxiliary_cell_statistics,/panels/alpha0_robustness/cells/1/auc_raw,sd,2.31415821700534,2.31415821700534,0.0,1e-09,PASS
