contrast_id,panel_id,family,seed,a_run_id,b_run_id,difference_pp,end_epoch_index_exclusive,source_pointer
CONTRAST-2f1f220d125284c1,horizon_reversal,br6,0,RUN-4702521,RUN-4702517,-4.195999999999998,10,/panels/horizon_reversal/shared_ms/0/paired_within_family_differences/0
CONTRAST-2f1f220d125284c1,horizon_reversal,br6,1,RUN-4702522,RUN-4702518,-3.451999999999998,10,/panels/horizon_reversal/shared_ms/0/paired_within_family_differences/1
CONTRAST-2f1f220d125284c1,horizon_reversal,br6,2,RUN-4702523,RUN-4702519,-4.078000000000003,10,/panels/horizon_reversal/shared_ms/0/paired_within_family_differences/2
CONTRAST-2f1f220d125284c1,horizon_reversal,br6,3,RUN-4702524,RUN-4702520,-3.2660000000000053,10,/panels/horizon_reversal/shared_ms/0/paired_within_family_differences/3
CONTRAST-2f1f220d125284c1,horizon_reversal,bl5,0,RUN-4702454,RUN-4702451,-5.219999999999999,10,/panels/horizon_reversal/shared_ms/0/paired_within_family_differences/4
CONTRAST-2f1f220d125284c1,horizon_reversal,bl5,1,RUN-4702455,RUN-4702452,-4.52000000000001,10,/panels/horizon_reversal/shared_ms/0/paired_within_family_differences/5
CONTRAST-2f1f220d125284c1,horizon_reversal,bl5,2,RUN-4702456,RUN-4702453,-2.891999999999996,10,/panels/horizon_reversal/shared_ms/0/paired_within_family_differences/6
CONTRAST-6182b4788b9acd46,horizon_reversal,br6,0,RUN-4702521,RUN-4702517,-1.5999999999999943,15,/panels/horizon_reversal/shared_ms/1/paired_within_family_differences/0
CONTRAST-6182b4788b9acd46,horizon_reversal,br6,1,RUN-4702522,RUN-4702518,-1.0300000000000011,15,/panels/horizon_reversal/shared_ms/1/paired_within_family_differences/1
CONTRAST-6182b4788b9acd46,horizon_reversal,br6,2,RUN-4702523,RUN-4702519,-1.5300000000000011,15,/panels/horizon_reversal/shared_ms/1/paired_within_family_differences/2
CONTRAST-6182b4788b9acd46,horizon_reversal,br6,3,RUN-4702524,RUN-4702520,-1.2780000000000058,15,/panels/horizon_reversal/shared_ms/1/paired_within_family_differences/3
CONTRAST-6182b4788b9acd46,horizon_reversal,bl5,0,RUN-4702454,RUN-4702451,-0.9639999999999986,15,/panels/horizon_reversal/shared_ms/1/paired_within_family_differences/4
CONTRAST-6182b4788b9acd46,horizon_reversal,bl5,1,RUN-4702455,RUN-4702452,-0.9519999999999982,15,/panels/horizon_reversal/shared_ms/1/paired_within_family_differences/5
CONTRAST-6182b4788b9acd46,horizon_reversal,bl5,2,RUN-4702456,RUN-4702453,-1.0020000000000095,15,/panels/horizon_reversal/shared_ms/1/paired_within_family_differences/6
CONTRAST-aad82b0204fc4ca7,horizon_reversal,br6,0,RUN-4702521,RUN-4702517,-0.09999999999999432,20,/panels/horizon_reversal/shared_ms/2/paired_within_family_differences/0
CONTRAST-aad82b0204fc4ca7,horizon_reversal,br6,1,RUN-4702522,RUN-4702518,0.055999999999997385,20,/panels/horizon_reversal/shared_ms/2/paired_within_family_differences/1
CONTRAST-aad82b0204fc4ca7,horizon_reversal,br6,2,RUN-4702523,RUN-4702519,0.4660000000000082,20,/panels/horizon_reversal/shared_ms/2/paired_within_family_differences/2
CONTRAST-aad82b0204fc4ca7,horizon_reversal,br6,3,RUN-4702524,RUN-4702520,-0.19400000000000261,20,/panels/horizon_reversal/shared_ms/2/paired_within_family_differences/3
CONTRAST-aad82b0204fc4ca7,horizon_reversal,bl5,0,RUN-4702454,RUN-4702451,-0.38400000000001455,20,/panels/horizon_reversal/shared_ms/2/paired_within_family_differences/4
CONTRAST-aad82b0204fc4ca7,horizon_reversal,bl5,1,RUN-4702455,RUN-4702452,0.24400000000001398,20,/panels/horizon_reversal/shared_ms/2/paired_within_family_differences/5
CONTRAST-aad82b0204fc4ca7,horizon_reversal,bl5,2,RUN-4702456,RUN-4702453,0.1599999999999966,20,/panels/horizon_reversal/shared_ms/2/paired_within_family_differences/6
CONTRAST-5e34be791115802d,horizon_reversal,br6,0,RUN-4702521,RUN-4702517,0.4679999999999893,25,/panels/horizon_reversal/shared_ms/3/paired_within_family_differences/0
CONTRAST-5e34be791115802d,horizon_reversal,br6,1,RUN-4702522,RUN-4702518,0.5039999999999907,25,/panels/horizon_reversal/shared_ms/3/paired_within_family_differences/1
CONTRAST-5e34be791115802d,horizon_reversal,br6,2,RUN-4702523,RUN-4702519,0.6760000000000019,25,/panels/horizon_reversal/shared_ms/3/paired_within_family_differences/2
CONTRAST-5e34be791115802d,horizon_reversal,br6,3,RUN-4702524,RUN-4702520,0.5099999999999909,25,/panels/horizon_reversal/shared_ms/3/paired_within_family_differences/3
CONTRAST-5e34be791115802d,horizon_reversal,bl5,0,RUN-4702454,RUN-4702451,0.5579999999999927,25,/panels/horizon_reversal/shared_ms/3/paired_within_family_differences/4
CONTRAST-5e34be791115802d,horizon_reversal,bl5,1,RUN-4702455,RUN-4702452,1.2139999999999986,25,/panels/horizon_reversal/shared_ms/3/paired_within_family_differences/5
CONTRAST-5e34be791115802d,horizon_reversal,bl5,2,RUN-4702456,RUN-4702453,1.141999999999996,25,/panels/horizon_reversal/shared_ms/3/paired_within_family_differences/6
CONTRAST-0fdcb7831664c496,horizon_reversal,br6,0,RUN-4702521,RUN-4702517,1.181999999999988,30,/panels/horizon_reversal/shared_ms/4/paired_within_family_differences/0
CONTRAST-0fdcb7831664c496,horizon_reversal,br6,1,RUN-4702522,RUN-4702518,1.0300000000000011,30,/panels/horizon_reversal/shared_ms/4/paired_within_family_differences/1
CONTRAST-0fdcb7831664c496,horizon_reversal,br6,2,RUN-4702523,RUN-4702519,1.0339999999999918,30,/panels/horizon_reversal/shared_ms/4/paired_within_family_differences/2
CONTRAST-0fdcb7831664c496,horizon_reversal,br6,3,RUN-4702524,RUN-4702520,0.9060000000000059,30,/panels/horizon_reversal/shared_ms/4/paired_within_family_differences/3
CONTRAST-0fdcb7831664c496,horizon_reversal,bl5,0,RUN-4702454,RUN-4702451,0.681999999999988,30,/panels/horizon_reversal/shared_ms/4/paired_within_family_differences/4
CONTRAST-0fdcb7831664c496,horizon_reversal,bl5,1,RUN-4702455,RUN-4702452,1.3599999999999994,30,/panels/horizon_reversal/shared_ms/4/paired_within_family_differences/5
CONTRAST-0fdcb7831664c496,horizon_reversal,bl5,2,RUN-4702456,RUN-4702453,1.2719999999999914,30,/panels/horizon_reversal/shared_ms/4/paired_within_family_differences/6
CONTRAST-d64190d1cd79f712,horizon_reversal,br6,0,RUN-4702521,RUN-4702517,1.2860000000000014,40,/panels/horizon_reversal/shared_ms/5/paired_within_family_differences/0
CONTRAST-d64190d1cd79f712,horizon_reversal,br6,1,RUN-4702522,RUN-4702518,1.088000000000008,40,/panels/horizon_reversal/shared_ms/5/paired_within_family_differences/1
CONTRAST-d64190d1cd79f712,horizon_reversal,br6,2,RUN-4702523,RUN-4702519,1.2480000000000047,40,/panels/horizon_reversal/shared_ms/5/paired_within_family_differences/2
CONTRAST-d64190d1cd79f712,horizon_reversal,br6,3,RUN-4702524,RUN-4702520,1.3900000000000006,40,/panels/horizon_reversal/shared_ms/5/paired_within_family_differences/3
CONTRAST-d64190d1cd79f712,horizon_reversal,bl5,0,RUN-4702454,RUN-4702451,0.9839999999999947,40,/panels/horizon_reversal/shared_ms/5/paired_within_family_differences/4
CONTRAST-d64190d1cd79f712,horizon_reversal,bl5,1,RUN-4702455,RUN-4702452,1.6200000000000045,40,/panels/horizon_reversal/shared_ms/5/paired_within_family_differences/5
CONTRAST-d64190d1cd79f712,horizon_reversal,bl5,2,RUN-4702456,RUN-4702453,1.1899999999999977,40,/panels/horizon_reversal/shared_ms/5/paired_within_family_differences/6
