occurrence_id,panel_id,source_pointer,run_id,run_label_in_context,primary_measurement_id,legacy_measurement_id,inline_raw_hash_present,resolved_raw_sha256,raw_hash_origin,recorded_scalar_fields
OCC-3311fb016ed3c778,alpha0_robustness,/panels/alpha0_robustness/cells/0/runs/0,RUN-4700620,i3a-1e6-s0,MEAS-6e4696ce8fa1541b,MEAS-e2a38de3c7469f16,True,08450ea72ab304dd1d64b851ecc24244852ad80d9fc578312cb6e8d9f5cb4ef9,same occurrence,"{""auc_csv"":60.599,""auc_raw"":60.599000000000004,""epoch_train99"":null,""epochs_parsed"":100,""final_train"":71.22,""gpu_h_inrun"":0.5166666666666667,""job_id"":""4700620"",""plateau20"":69.162,""plateau5"":69.908,""raw_path"":""archive/Account1/runs/i3a-1e6-s0-4700620.out"",""raw_plateau5"":69.908,""raw_sha256"":""08450ea72ab304dd1d64b851ecc24244852ad80d9fc578312cb6e8d9f5cb4ef9"",""run"":""i3a-1e6-s0"",""run_done"":true,""seed"":0,""train_plateau5"":71.026}"
OCC-3311fb016ed3c778,alpha0_robustness,/panels/alpha0_robustness/cells/0/runs/1,RUN-4700634,i3a-1e6-s1,MEAS-6900fd86f2d7118d,MEAS-8c06c7d253fae5da,True,544c2f8c7e22adf440e57492b2fcd105de403ae04cf6f7dd34dd8ab584ba0194,same occurrence,"{""auc_csv"":60.003,""auc_raw"":60.0027,""epoch_train99"":null,""epochs_parsed"":100,""final_train"":70.99,""gpu_h_inrun"":0.5166666666666667,""job_id"":""4700634"",""plateau20"":68.112,""plateau5"":68.91,""raw_path"":""archive/Account1/runs/i3a-1e6-s1-4700634.out"",""raw_plateau5"":68.91,""raw_sha256"":""544c2f8c7e22adf440e57492b2fcd105de403ae04cf6f7dd34dd8ab584ba0194"",""run"":""i3a-1e6-s1"",""run_done"":true,""seed"":1,""train_plateau5"":70.444}"
OCC-3311fb016ed3c778,alpha0_robustness,/panels/alpha0_robustness/cells/0/runs/2,RUN-4700648,i3a-1e6-s2,MEAS-5735e3236a46edd3,MEAS-b5d50762c2e60d9d,True,4c29c41d9cb9e4929f754a7560fd3a95774c3302abe12ea8699744398d8f197b,same occurrence,"{""auc_csv"":56.486,""auc_raw"":56.4861,""epoch_train99"":null,""epochs_parsed"":100,""final_train"":70.37,""gpu_h_inrun"":1.15,""job_id"":""4700648"",""plateau20"":68.766,""plateau5"":69.674,""raw_path"":""archive/Account2/runs/i3a-1e6-s2-4700648.out"",""raw_plateau5"":69.674,""raw_sha256"":""4c29c41d9cb9e4929f754a7560fd3a95774c3302abe12ea8699744398d8f197b"",""run"":""i3a-1e6-s2"",""run_done"":true,""seed"":2,""train_plateau5"":70.112}"
OCC-fecc20cb16692397,alpha0_robustness,/panels/alpha0_robustness/cells/1/runs/0,RUN-4700622,i3a-1e5-s0,MEAS-a20068866ae7d4bf,MEAS-93fa56a52e73a3ac,True,0aa1bb8bc2ef84da524ae797e79820bde42849c0450678d6e73cbbb14803fe8d,same occurrence,"{""auc_csv"":80.133,""auc_raw"":80.1328,""epoch_train99"":null,""epochs_parsed"":100,""final_train"":97.67,""gpu_h_inrun"":0.5166666666666667,""job_id"":""4700622"",""plateau20"":84.787,""plateau5"":84.934,""raw_path"":""archive/Account1/runs/i3a-1e5-s0-4700622.out"",""raw_plateau5"":84.934,""raw_sha256"":""0aa1bb8bc2ef84da524ae797e79820bde42849c0450678d6e73cbbb14803fe8d"",""run"":""i3a-1e5-s0"",""run_done"":true,""seed"":0,""train_plateau5"":97.63199999999999}"
OCC-fecc20cb16692397,alpha0_robustness,/panels/alpha0_robustness/cells/1/runs/1,RUN-4700636,i3a-1e5-s1,MEAS-0abff73e06bed8c4,MEAS-7a17f9e3fc857eb0,True,7becfe18f15982f224a7ac5769e15f4161b16acf38db96818fe4f10d8f643535,same occurrence,"{""auc_csv"":79.683,""auc_raw"":79.6834,""epoch_train99"":null,""epochs_parsed"":100,""final_train"":97.67,""gpu_h_inrun"":0.5166666666666667,""job_id"":""4700636"",""plateau20"":84.402,""plateau5"":84.712,""raw_path"":""archive/Account1/runs/i3a-1e5-s1-4700636.out"",""raw_plateau5"":84.712,""raw_sha256"":""7becfe18f15982f224a7ac5769e15f4161b16acf38db96818fe4f10d8f643535"",""run"":""i3a-1e5-s1"",""run_done"":true,""seed"":1,""train_plateau5"":97.706}"
OCC-fecc20cb16692397,alpha0_robustness,/panels/alpha0_robustness/cells/1/runs/2,RUN-4700650,i3a-1e5-s2,MEAS-ef5dfdb4c98f9cf9,MEAS-5066615357258ded,True,e74e253e2b783b4ca0774656629ab035520114db2951d4c1e1d54351bab72cfd,same occurrence,"{""auc_csv"":75.919,""auc_raw"":75.9188,""epoch_train99"":null,""epochs_parsed"":100,""final_train"":97.22,""gpu_h_inrun"":1.1666666666666667,""job_id"":""4700650"",""plateau20"":84.366,""plateau5"":84.296,""raw_path"":""archive/Account2/runs/i3a-1e5-s2-4700650.out"",""raw_plateau5"":84.29599999999999,""raw_sha256"":""e74e253e2b783b4ca0774656629ab035520114db2951d4c1e1d54351bab72cfd"",""run"":""i3a-1e5-s2"",""run_done"":true,""seed"":2,""train_plateau5"":97.006}"
OCC-ce5bede7195505a2,alpha0_robustness,/panels/alpha0_robustness/cells/2/runs/0,RUN-4700624,i3a-1e4-s0,MEAS-f2d856d029849768,MEAS-9ae317e41c61f2a0,True,22a7a9370823008650e172588e3926f3d22f2e915aabe7399f2a0890062658d3,same occurrence,"{""auc_csv"":88.973,""auc_raw"":88.9732,""epoch_train99"":83,""epochs_parsed"":100,""final_train"":99.04,""gpu_h_inrun"":0.5166666666666667,""job_id"":""4700624"",""plateau20"":91.375,""plateau5"":91.43,""raw_path"":""archive/Account1/runs/i3a-1e4-s0-4700624.out"",""raw_plateau5"":91.43,""raw_sha256"":""22a7a9370823008650e172588e3926f3d22f2e915aabe7399f2a0890062658d3"",""run"":""i3a-1e4-s0"",""run_done"":true,""seed"":0,""train_plateau5"":99.076}"
OCC-ce5bede7195505a2,alpha0_robustness,/panels/alpha0_robustness/cells/2/runs/1,RUN-4700638,i3a-1e4-s1,MEAS-131cf2519fb9e4d4,MEAS-a940291466b3d50e,True,dbc1f33370860a13f594f7338f25515c602f5b2166cbf75c82dd23a2898af59d,same occurrence,"{""auc_csv"":88.843,""auc_raw"":88.8425,""epoch_train99"":80,""epochs_parsed"":100,""final_train"":99.12,""gpu_h_inrun"":0.5166666666666667,""job_id"":""4700638"",""plateau20"":91.406,""plateau5"":91.448,""raw_path"":""archive/Account1/runs/i3a-1e4-s1-4700638.out"",""raw_plateau5"":91.448,""raw_sha256"":""dbc1f33370860a13f594f7338f25515c602f5b2166cbf75c82dd23a2898af59d"",""run"":""i3a-1e4-s1"",""run_done"":true,""seed"":1,""train_plateau5"":99.076}"
OCC-ce5bede7195505a2,alpha0_robustness,/panels/alpha0_robustness/cells/2/runs/2,RUN-4700652,i3a-1e4-s2,MEAS-8a3ba408a9a5b11e,MEAS-89cbd9c4155ee5c0,True,a9ad1d4e7887d120fd58f0afca8de3fc24552c60fd882b08cf47b9bf98dead9b,same occurrence,"{""auc_csv"":85.961,""auc_raw"":85.9612,""epoch_train99"":94,""epochs_parsed"":100,""final_train"":98.96,""gpu_h_inrun"":0.5166666666666667,""job_id"":""4700652"",""plateau20"":91.256,""plateau5"":91.296,""raw_path"":""archive/Account2/runs/i3a-1e4-s2-4700652.out"",""raw_plateau5"":91.29599999999999,""raw_sha256"":""a9ad1d4e7887d120fd58f0afca8de3fc24552c60fd882b08cf47b9bf98dead9b"",""run"":""i3a-1e4-s2"",""run_done"":true,""seed"":2,""train_plateau5"":98.978}"
OCC-d172ad0bfaf038b7,alpha0_robustness,/panels/alpha0_robustness/cells/3/runs/0,RUN-4700626,i3a-3e4-s0,MEAS-caf30261095a499f,MEAS-75728a90550c39c0,True,6f3f9b33467e9e2c1eeac7ea179ea103dcfaf33cd8745b7621e75dfc1a6cb249,same occurrence,"{""auc_csv"":89.686,""auc_raw"":89.6865,""epoch_train99"":null,""epochs_parsed"":100,""final_train"":98.76,""gpu_h_inrun"":0.5166666666666667,""job_id"":""4700626"",""plateau20"":91.662,""plateau5"":91.732,""raw_path"":""archive/Account1/runs/i3a-3e4-s0-4700626.out"",""raw_plateau5"":91.732,""raw_sha256"":""6f3f9b33467e9e2c1eeac7ea179ea103dcfaf33cd8745b7621e75dfc1a6cb249"",""run"":""i3a-3e4-s0"",""run_done"":true,""seed"":0,""train_plateau5"":98.752}"
