cell_id,metric,run_id,measurement_id,value,seed,job_id,start_epoch_index,end_epoch_index_exclusive,raw_sha256
CELL-9716fedd6d53d5fc,plateau5,RUN-4700620,MEAS-6e4696ce8fa1541b,69.908,0,4700620,95,100,08450ea72ab304dd1d64b851ecc24244852ad80d9fc578312cb6e8d9f5cb4ef9
CELL-9716fedd6d53d5fc,plateau5,RUN-4700634,MEAS-6900fd86f2d7118d,68.91,1,4700634,95,100,544c2f8c7e22adf440e57492b2fcd105de403ae04cf6f7dd34dd8ab584ba0194
CELL-9716fedd6d53d5fc,plateau5,RUN-4700648,MEAS-5735e3236a46edd3,69.674,2,4700648,95,100,4c29c41d9cb9e4929f754a7560fd3a95774c3302abe12ea8699744398d8f197b
CELL-fda1cf8b7f26c009,legacy_plateau20,RUN-4700620,MEAS-e2a38de3c7469f16,69.162,0,4700620,80,100,08450ea72ab304dd1d64b851ecc24244852ad80d9fc578312cb6e8d9f5cb4ef9
CELL-fda1cf8b7f26c009,legacy_plateau20,RUN-4700634,MEAS-8c06c7d253fae5da,68.112,1,4700634,80,100,544c2f8c7e22adf440e57492b2fcd105de403ae04cf6f7dd34dd8ab584ba0194
CELL-fda1cf8b7f26c009,legacy_plateau20,RUN-4700648,MEAS-b5d50762c2e60d9d,68.766,2,4700648,80,100,4c29c41d9cb9e4929f754a7560fd3a95774c3302abe12ea8699744398d8f197b
CELL-9836c2bbcc048bc8,plateau5,RUN-4700622,MEAS-a20068866ae7d4bf,84.934,0,4700622,95,100,0aa1bb8bc2ef84da524ae797e79820bde42849c0450678d6e73cbbb14803fe8d
CELL-9836c2bbcc048bc8,plateau5,RUN-4700636,MEAS-0abff73e06bed8c4,84.712,1,4700636,95,100,7becfe18f15982f224a7ac5769e15f4161b16acf38db96818fe4f10d8f643535
CELL-9836c2bbcc048bc8,plateau5,RUN-4700650,MEAS-ef5dfdb4c98f9cf9,84.296,2,4700650,95,100,e74e253e2b783b4ca0774656629ab035520114db2951d4c1e1d54351bab72cfd
CELL-7e84cc158bb49c0e,legacy_plateau20,RUN-4700622,MEAS-93fa56a52e73a3ac,84.787,0,4700622,80,100,0aa1bb8bc2ef84da524ae797e79820bde42849c0450678d6e73cbbb14803fe8d
CELL-7e84cc158bb49c0e,legacy_plateau20,RUN-4700636,MEAS-7a17f9e3fc857eb0,84.402,1,4700636,80,100,7becfe18f15982f224a7ac5769e15f4161b16acf38db96818fe4f10d8f643535
CELL-7e84cc158bb49c0e,legacy_plateau20,RUN-4700650,MEAS-5066615357258ded,84.366,2,4700650,80,100,e74e253e2b783b4ca0774656629ab035520114db2951d4c1e1d54351bab72cfd
CELL-11fa4e6e89234849,plateau5,RUN-4700624,MEAS-f2d856d029849768,91.43,0,4700624,95,100,22a7a9370823008650e172588e3926f3d22f2e915aabe7399f2a0890062658d3
CELL-11fa4e6e89234849,plateau5,RUN-4700638,MEAS-131cf2519fb9e4d4,91.448,1,4700638,95,100,dbc1f33370860a13f594f7338f25515c602f5b2166cbf75c82dd23a2898af59d
CELL-11fa4e6e89234849,plateau5,RUN-4700652,MEAS-8a3ba408a9a5b11e,91.296,2,4700652,95,100,a9ad1d4e7887d120fd58f0afca8de3fc24552c60fd882b08cf47b9bf98dead9b
CELL-cf81840fb544603b,legacy_plateau20,RUN-4700624,MEAS-9ae317e41c61f2a0,91.375,0,4700624,80,100,22a7a9370823008650e172588e3926f3d22f2e915aabe7399f2a0890062658d3
CELL-cf81840fb544603b,legacy_plateau20,RUN-4700638,MEAS-a940291466b3d50e,91.406,1,4700638,80,100,dbc1f33370860a13f594f7338f25515c602f5b2166cbf75c82dd23a2898af59d
CELL-cf81840fb544603b,legacy_plateau20,RUN-4700652,MEAS-89cbd9c4155ee5c0,91.256,2,4700652,80,100,a9ad1d4e7887d120fd58f0afca8de3fc24552c60fd882b08cf47b9bf98dead9b
CELL-c61b239053bb12d3,plateau5,RUN-4700626,MEAS-caf30261095a499f,91.732,0,4700626,95,100,6f3f9b33467e9e2c1eeac7ea179ea103dcfaf33cd8745b7621e75dfc1a6cb249
CELL-c61b239053bb12d3,plateau5,RUN-4700640,MEAS-0c09c34b67da7138,91.62,1,4700640,95,100,ff8584e18ebde2f94bfa6f04a2268877cf145e271bb319278bfcbc5092e98da4
CELL-c61b239053bb12d3,plateau5,RUN-4700654,MEAS-ab85fe44d69bcacf,91.948,2,4700654,95,100,c1a025096982265f178ef69c1d1b5741ca0d354f3b1ec60641967c0d81a89071
CELL-bede4e0f8c26e04e,legacy_plateau20,RUN-4700626,MEAS-75728a90550c39c0,91.662,0,4700626,80,100,6f3f9b33467e9e2c1eeac7ea179ea103dcfaf33cd8745b7621e75dfc1a6cb249
CELL-bede4e0f8c26e04e,legacy_plateau20,RUN-4700640,MEAS-f66a53875b3e2e4f,91.739,1,4700640,80,100,ff8584e18ebde2f94bfa6f04a2268877cf145e271bb319278bfcbc5092e98da4
CELL-bede4e0f8c26e04e,legacy_plateau20,RUN-4700654,MEAS-8ceea3863055c575,91.987,2,4700654,80,100,c1a025096982265f178ef69c1d1b5741ca0d354f3b1ec60641967c0d81a89071
CELL-e3bce970571cb7b2,plateau5,RUN-4700628,MEAS-045f41684ed79f3c,88.852,0,4700628,95,100,49ef8f1d0a89fa50e995817add6a6fd37a49c66eba4b3dd2e7811ad6d440a040
CELL-e3bce970571cb7b2,plateau5,RUN-4700642,MEAS-09f8ad45bd0827bc,89.248,1,4700642,95,100,389b1ab81141fe2e8ffc7cec39914ad61283a167b50313f28bdcde382c326e6d
CELL-e3bce970571cb7b2,plateau5,RUN-4700656,MEAS-bc52f4e92cbfa4a2,90.158,2,4700656,95,100,235f9d734eeedfddb77de1666b76adb6b063ab44b62b2979560beae8aca07155
CELL-d6c5b6d09036670c,legacy_plateau20,RUN-4700628,MEAS-a54e70b642d5643d,89.694,0,4700628,80,100,49ef8f1d0a89fa50e995817add6a6fd37a49c66eba4b3dd2e7811ad6d440a040
CELL-d6c5b6d09036670c,legacy_plateau20,RUN-4700642,MEAS-0321c67de7588b03,89.702,1,4700642,80,100,389b1ab81141fe2e8ffc7cec39914ad61283a167b50313f28bdcde382c326e6d
CELL-d6c5b6d09036670c,legacy_plateau20,RUN-4700656,MEAS-0a2d1ccd33ff8a85,90.242,2,4700656,80,100,235f9d734eeedfddb77de1666b76adb6b063ab44b62b2979560beae8aca07155
CELL-e73f7db5e8f43c0d,plateau5,RUN-4700630,MEAS-ff59fd3d01805bbe,68.59,0,4700630,95,100,f423159bdb0117151b8e6c46599180d1c82df14bc9e14945612751c627839e14
CELL-e73f7db5e8f43c0d,plateau5,RUN-4700644,MEAS-56d44422dfae69b7,68.548,1,4700644,95,100,dcc6b2ae1e03299e2ca2193d8bd9d4fc0fa4a3e59d7dab13a92c3e63d89b1ad4
CELL-e73f7db5e8f43c0d,plateau5,RUN-4700658,MEAS-d6e3cb690f8ae082,74.466,2,4700658,95,100,4faaae28ec11cac3919a2d1b1af5b9c06c6fc0a4be9cc446b9d3709cb6492bfb
CELL-b8c531a724ed6e51,legacy_plateau20,RUN-4700630,MEAS-2c44c303b392a5c2,68.181,0,4700630,80,100,f423159bdb0117151b8e6c46599180d1c82df14bc9e14945612751c627839e14
CELL-b8c531a724ed6e51,legacy_plateau20,RUN-4700644,MEAS-8b2f6c01391fea24,71.828,1,4700644,80,100,dcc6b2ae1e03299e2ca2193d8bd9d4fc0fa4a3e59d7dab13a92c3e63d89b1ad4
