panel_id,occurrence_id,run_id,metric,units,value,start_epoch_index,end_epoch_index_exclusive,window_records,window_basis,actual_epochs_parsed,terminal_window,raw_sha256,source_pointer,note
alpha0_robustness,OCC-3311fb016ed3c778,RUN-4700620,train_plateau5,accuracy_percent,71.026,95,100,5,parsed raw epoch count,100,True,08450ea72ab304dd1d64b851ecc24244852ad80d9fc578312cb6e8d9f5cb4ef9,/panels/alpha0_robustness/cells/0/runs/0/train_plateau5,csv/raw terminal references are not intermediate trajectory-window values
alpha0_robustness,OCC-3311fb016ed3c778,RUN-4700620,raw_plateau5,accuracy_percent,69.908,95,100,5,parsed raw epoch count; legacy terminal CSV window,100,True,08450ea72ab304dd1d64b851ecc24244852ad80d9fc578312cb6e8d9f5cb4ef9,/panels/alpha0_robustness/cells/0/runs/0/raw_plateau5,csv/raw terminal references are not intermediate trajectory-window values
alpha0_robustness,OCC-3311fb016ed3c778,RUN-4700620,auc_raw,accuracy_percent,60.599000000000004,0,100,100,parsed raw epoch count; legacy terminal CSV window,100,True,08450ea72ab304dd1d64b851ecc24244852ad80d9fc578312cb6e8d9f5cb4ef9,/panels/alpha0_robustness/cells/0/runs/0/auc_raw,csv/raw terminal references are not intermediate trajectory-window values
alpha0_robustness,OCC-3311fb016ed3c778,RUN-4700620,auc_csv,accuracy_percent,60.599,0,100,100,parsed raw epoch count; legacy terminal CSV window,100,True,08450ea72ab304dd1d64b851ecc24244852ad80d9fc578312cb6e8d9f5cb4ef9,/panels/alpha0_robustness/cells/0/runs/0/auc_csv,csv/raw terminal references are not intermediate trajectory-window values
alpha0_robustness,OCC-3311fb016ed3c778,RUN-4700620,final_train,accuracy_percent,71.22,,,,,,,08450ea72ab304dd1d64b851ecc24244852ad80d9fc578312cb6e8d9f5cb4ef9,/panels/alpha0_robustness/cells/0/runs/0/final_train,csv/raw terminal references are not intermediate trajectory-window values
alpha0_robustness,OCC-3311fb016ed3c778,RUN-4700620,gpu_h_inrun,GPU_hours,0.5166666666666667,,,,,,,08450ea72ab304dd1d64b851ecc24244852ad80d9fc578312cb6e8d9f5cb4ef9,/panels/alpha0_robustness/cells/0/runs/0/gpu_h_inrun,csv/raw terminal references are not intermediate trajectory-window values
alpha0_robustness,OCC-3311fb016ed3c778,RUN-4700620,epoch_train99,recorded_epoch_index,,,,,,,,08450ea72ab304dd1d64b851ecc24244852ad80d9fc578312cb6e8d9f5cb4ef9,/panels/alpha0_robustness/cells/0/runs/0/epoch_train99,csv/raw terminal references are not intermediate trajectory-window values
alpha0_robustness,OCC-3311fb016ed3c778,RUN-4700634,train_plateau5,accuracy_percent,70.444,95,100,5,parsed raw epoch count,100,True,544c2f8c7e22adf440e57492b2fcd105de403ae04cf6f7dd34dd8ab584ba0194,/panels/alpha0_robustness/cells/0/runs/1/train_plateau5,csv/raw terminal references are not intermediate trajectory-window values
alpha0_robustness,OCC-3311fb016ed3c778,RUN-4700634,raw_plateau5,accuracy_percent,68.91,95,100,5,parsed raw epoch count; legacy terminal CSV window,100,True,544c2f8c7e22adf440e57492b2fcd105de403ae04cf6f7dd34dd8ab584ba0194,/panels/alpha0_robustness/cells/0/runs/1/raw_plateau5,csv/raw terminal references are not intermediate trajectory-window values
alpha0_robustness,OCC-3311fb016ed3c778,RUN-4700634,auc_raw,accuracy_percent,60.0027,0,100,100,parsed raw epoch count; legacy terminal CSV window,100,True,544c2f8c7e22adf440e57492b2fcd105de403ae04cf6f7dd34dd8ab584ba0194,/panels/alpha0_robustness/cells/0/runs/1/auc_raw,csv/raw terminal references are not intermediate trajectory-window values
