k,mode,capture_fraction_from_cpk1,seed,disagree,determinate,indeterminate,rate,source_ids,scope,units
1,primary,,15,180,499,0,0.360721442885772,S0578,"**ZERO GPU**, from probe traces on disk; nothing submitted or ingested | cru1 layerwise seeds 15,16,17; virtual regrouping, not 61 executed two-group runs.",fraction of determinate windows; counts are windows
1,primary,,16,203,499,0,0.406813627254509,S0579,"**ZERO GPU**, from probe traces on disk; nothing submitted or ingested | cru1 layerwise seeds 15,16,17; virtual regrouping, not 61 executed two-group runs.",fraction of determinate windows; counts are windows
1,primary,,17,191,499,0,0.382765531062124,S0580,"**ZERO GPU**, from probe traces on disk; nothing submitted or ingested | cru1 layerwise seeds 15,16,17; virtual regrouping, not 61 executed two-group runs.",fraction of determinate windows; counts are windows
1,numel_control,,15,207,499,0,0.414829659318637,S0578,"**ZERO GPU**, from probe traces on disk; nothing submitted or ingested | cru1 layerwise seeds 15,16,17; virtual regrouping, not 61 executed two-group runs.",fraction of determinate windows; counts are windows
1,numel_control,,16,200,497,2,0.402414486921529,S0579,"**ZERO GPU**, from probe traces on disk; nothing submitted or ingested | cru1 layerwise seeds 15,16,17; virtual regrouping, not 61 executed two-group runs.",fraction of determinate windows; counts are windows
1,numel_control,,17,188,498,1,0.377510040160643,S0580,"**ZERO GPU**, from probe traces on disk; nothing submitted or ingested | cru1 layerwise seeds 15,16,17; virtual regrouping, not 61 executed two-group runs.",fraction of determinate windows; counts are windows
2,primary,,15,178,499,0,0.356713426853707,S0578,"**ZERO GPU**, from probe traces on disk; nothing submitted or ingested | cru1 layerwise seeds 15,16,17; virtual regrouping, not 61 executed two-group runs.",fraction of determinate windows; counts are windows
2,primary,,16,200,499,0,0.400801603206413,S0579,"**ZERO GPU**, from probe traces on disk; nothing submitted or ingested | cru1 layerwise seeds 15,16,17; virtual regrouping, not 61 executed two-group runs.",fraction of determinate windows; counts are windows
2,primary,,17,192,499,0,0.384769539078156,S0580,"**ZERO GPU**, from probe traces on disk; nothing submitted or ingested | cru1 layerwise seeds 15,16,17; virtual regrouping, not 61 executed two-group runs.",fraction of determinate windows; counts are windows
2,numel_control,,15,207,499,0,0.414829659318637,S0578,"**ZERO GPU**, from probe traces on disk; nothing submitted or ingested | cru1 layerwise seeds 15,16,17; virtual regrouping, not 61 executed two-group runs.",fraction of determinate windows; counts are windows
2,numel_control,,16,199,497,2,0.400402414486922,S0579,"**ZERO GPU**, from probe traces on disk; nothing submitted or ingested | cru1 layerwise seeds 15,16,17; virtual regrouping, not 61 executed two-group runs.",fraction of determinate windows; counts are windows
2,numel_control,,17,189,498,1,0.379518072289157,S0580,"**ZERO GPU**, from probe traces on disk; nothing submitted or ingested | cru1 layerwise seeds 15,16,17; virtual regrouping, not 61 executed two-group runs.",fraction of determinate windows; counts are windows
3,primary,,15,178,499,0,0.356713426853707,S0578,"**ZERO GPU**, from probe traces on disk; nothing submitted or ingested | cru1 layerwise seeds 15,16,17; virtual regrouping, not 61 executed two-group runs.",fraction of determinate windows; counts are windows
3,primary,,16,200,499,0,0.400801603206413,S0579,"**ZERO GPU**, from probe traces on disk; nothing submitted or ingested | cru1 layerwise seeds 15,16,17; virtual regrouping, not 61 executed two-group runs.",fraction of determinate windows; counts are windows
3,primary,,17,192,499,0,0.384769539078156,S0580,"**ZERO GPU**, from probe traces on disk; nothing submitted or ingested | cru1 layerwise seeds 15,16,17; virtual regrouping, not 61 executed two-group runs.",fraction of determinate windows; counts are windows
3,numel_control,,15,207,499,0,0.414829659318637,S0578,"**ZERO GPU**, from probe traces on disk; nothing submitted or ingested | cru1 layerwise seeds 15,16,17; virtual regrouping, not 61 executed two-group runs.",fraction of determinate windows; counts are windows
3,numel_control,,16,199,497,2,0.400402414486922,S0579,"**ZERO GPU**, from probe traces on disk; nothing submitted or ingested | cru1 layerwise seeds 15,16,17; virtual regrouping, not 61 executed two-group runs.",fraction of determinate windows; counts are windows
3,numel_control,,17,189,498,1,0.379518072289157,S0580,"**ZERO GPU**, from probe traces on disk; nothing submitted or ingested | cru1 layerwise seeds 15,16,17; virtual regrouping, not 61 executed two-group runs.",fraction of determinate windows; counts are windows
4,primary,,15,173,499,0,0.346693386773547,S0578,"**ZERO GPU**, from probe traces on disk; nothing submitted or ingested | cru1 layerwise seeds 15,16,17; virtual regrouping, not 61 executed two-group runs.",fraction of determinate windows; counts are windows
4,primary,,16,190,499,0,0.380761523046092,S0579,"**ZERO GPU**, from probe traces on disk; nothing submitted or ingested | cru1 layerwise seeds 15,16,17; virtual regrouping, not 61 executed two-group runs.",fraction of determinate windows; counts are windows
4,primary,,17,188,499,0,0.376753507014028,S0580,"**ZERO GPU**, from probe traces on disk; nothing submitted or ingested | cru1 layerwise seeds 15,16,17; virtual regrouping, not 61 executed two-group runs.",fraction of determinate windows; counts are windows
4,numel_control,,15,193,499,0,0.386773547094188,S0578,"**ZERO GPU**, from probe traces on disk; nothing submitted or ingested | cru1 layerwise seeds 15,16,17; virtual regrouping, not 61 executed two-group runs.",fraction of determinate windows; counts are windows
4,numel_control,,16,216,496,3,0.435483870967742,S0579,"**ZERO GPU**, from probe traces on disk; nothing submitted or ingested | cru1 layerwise seeds 15,16,17; virtual regrouping, not 61 executed two-group runs.",fraction of determinate windows; counts are windows
4,numel_control,,17,190,497,2,0.382293762575453,S0580,"**ZERO GPU**, from probe traces on disk; nothing submitted or ingested | cru1 layerwise seeds 15,16,17; virtual regrouping, not 61 executed two-group runs.",fraction of determinate windows; counts are windows
5,primary,,15,164,498,1,0.329317269076305,S0578,"**ZERO GPU**, from probe traces on disk; nothing submitted or ingested | cru1 layerwise seeds 15,16,17; virtual regrouping, not 61 executed two-group runs.",fraction of determinate windows; counts are windows
5,primary,,16,177,499,0,0.354709418837675,S0579,"**ZERO GPU**, from probe traces on disk; nothing submitted or ingested | cru1 layerwise seeds 15,16,17; virtual regrouping, not 61 executed two-group runs.",fraction of determinate windows; counts are windows
