arm,m,observed_percent,independence_expectation_percent,source_ids,scope,units,observed_low_percent,observed_high_percent
Layerwise,62,53.1,55.07,S0607,Historical correction example. Observed range is not a confidence interval; no error bars are inferred.,percent,,
Weightwise,11173962,,50.012,S0607,Historical correction example. Observed range is not a confidence interval; no error bars are inferred.,percent,50.005,50.028
