batch,arm,label,horizon,group_count,normalized_tensor_count_entropy,r,meta_stepsize,meta_optimizer,capture_fraction,plateau_window_start_epoch,plateau_window_end_epoch,config_network,config_dataset,config_batch_size,config_granularity,config_base,config_meta,config_meta_stepsize,config_alpha0,config_gamma,config_augment,config_beta_clip,config_hier,config_lam,config_eta_ratio,config_epochs_requested,test_percent_n,test_percent_mean,test_percent_sd,test_percent_se,test_percent_min,test_percent_max,train_percent_n,train_percent_mean,train_percent_sd,train_percent_se,train_percent_min,train_percent_max,source_ids,scope,units
in489g1,scalar,scalar,80,,,,,,,75,79,resnet18,?,256,scalar,SGDm,Lion,1e-3,1e-6,1,1,-15:-2.3026,,na,na,84,3,1.03066666666667,0.123811684962823,0.071482709642107,0.888,1.11,3,1.04066666666667,0.120935244380343,0.0698219958975043,0.906,1.14,S0058 | S0059 | S0060,"`in489g1`, 12 runs, ImageNet-489 | `in489g2`, 14 runs, ImageNet-489",test accuracy percent; differences and SD/SE in percentage points
in489g1,resnet18_blocks,resnet18_blocks,80,,,,,,,75,79,resnet18,?,256,resnet18_blocks,SGDm,Lion,1e-3,1e-6,1,1,-15:-2.3026,,na,na,84,3,1.44333333333333,0.10980588933811,0.0633964597679643,1.342,1.56,3,1.41733333333333,0.101278493932983,0.0584731657353278,1.312,1.514,S0061 | S0062 | S0063,"`in489g1`, 12 runs, ImageNet-489 | `in489g2`, 14 runs, ImageNet-489",test accuracy percent; differences and SD/SE in percentage points
in489g1,layerwise,layerwise,80,,,,,,,75,79,resnet18,?,256,layerwise,SGDm,Lion,1e-3,1e-6,1,1,-15:-2.3026,,na,na,84,3,48.878,0.100179838290945,0.0578388566046501,48.792,48.988,3,44.512,0.0503189825016384,0.029051678092669,44.48,44.57,S0064 | S0065 | S0066,"`in489g1`, 12 runs, ImageNet-489 | `in489g2`, 14 runs, ImageNet-489",test accuracy percent; differences and SD/SE in percentage points
in489g1,nodewise,nodewise,80,,,,,,,75,79,resnet18,?,256,nodewise,SGDm,Lion,1e-3,1e-6,1,1,-15:-2.3026,,na,na,84,3,51.3866666666667,0.175023807904332,0.101050042608159,51.21,51.56,3,47.63,0.150691738326958,0.0870019156877217,47.494,47.792,S0067 | S0068 | S0069,"`in489g1`, 12 runs, ImageNet-489 | `in489g2`, 14 runs, ImageNet-489",test accuracy percent; differences and SD/SE in percentage points
in489g2,g01,g01,84,1,,,,,0,79,83,resnet18,?,256,scalar,SGDm,Lion,1e-3,1e-6,1,1,-15:-2.3026,,na,na,84,2,0.961,0.131521861300698,0.093,0.868,1.054,2,0.996,0.175362481734264,0.124,0.872,1.12,S0070 | S0071,"`in489g1`, 12 runs, ImageNet-489 | `in489g2`, 14 runs, ImageNet-489",test accuracy percent; differences and SD/SE in percentage points
in489g2,g08,g08,84,8,,,,,0.00795278036657347,79,83,resnet18,?,256,"[8,8,8,8,8,8,7,7]",SGDm,Lion,1e-3,1e-6,1,1,-15:-2.3026,,na,na,84,2,1.345,0.0325269119345812,0.023,1.322,1.368,2,1.406,0.0395979797464467,0.028,1.378,1.434,S0072 | S0073,"`in489g1`, 12 runs, ImageNet-489 | `in489g2`, 14 runs, ImageNet-489",test accuracy percent; differences and SD/SE in percentage points
in489g2,g16,g16,84,16,,,,,0.0250181215698457,79,83,resnet18,?,256,"[4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3]",SGDm,Lion,1e-3,1e-6,1,1,-15:-2.3026,,na,na,84,2,2.169,0.301227488785469,0.213,1.956,2.382,2,2.231,0.2786000717875,0.197,2.034,2.428,S0074 | S0075,"`in489g1`, 12 runs, ImageNet-489 | `in489g2`, 14 runs, ImageNet-489",test accuracy percent; differences and SD/SE in percentage points
in489g2,g32,g32,84,32,,,,,0.45662213938076,79,83,resnet18,?,256,"[2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1]",SGDm,Lion,1e-3,1e-6,1,1,-15:-2.3026,,na,na,84,2,23.009,0.270114790413262,0.191000000000001,22.818,23.2,2,20.901,0.026870057685089,0.0190000000000001,20.882,20.92,S0076 | S0077,"`in489g1`, 12 runs, ImageNet-489 | `in489g2`, 14 runs, ImageNet-489",test accuracy percent; differences and SD/SE in percentage points
in489g2,g45,g45,84,45,,,,,0.8762348555452,79,83,resnet18,?,256,"[2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1]",SGDm,Lion,1e-3,1e-6,1,1,-15:-2.3026,,na,na,84,2,43.27,0.217788888605457,0.154,43.116,43.424,2,39.543,0.179605122421381,0.126999999999999,39.416,39.67,S0078 | S0079,"`in489g1`, 12 runs, ImageNet-489 | `in489g2`, 14 runs, ImageNet-489",test accuracy percent; differences and SD/SE in percentage points
in489g2,g62,g62,84,62,,,,,1,79,83,resnet18,?,256,layerwise,SGDm,Lion,1e-3,1e-6,1,1,-15:-2.3026,,na,na,84,2,49.246,0.0282842712474613,0.0199999999999996,49.226,49.266,2,44.856,0.130107647738323,0.0919999999999987,44.764,44.948,S0080 | S0081,"`in489g1`, 12 runs, ImageNet-489 | `in489g2`, 14 runs, ImageNet-489",test accuracy percent; differences and SD/SE in percentage points
in489g2,p08,p08,84,8,,,,,0.149653101377239,79,83,resnet18,?,256,"[45,3,3,3,2,2,2,2]",SGDm,Lion,1e-3,1e-6,1,1,-15:-2.3026,,na,na,84,2,8.187,0.516187950266179,0.365,7.822,8.552,2,7.578,0.444063058585152,0.314,7.264,7.892,S0082 | S0083,"`in489g1`, 12 runs, ImageNet-489 | `in489g2`, 14 runs, ImageNet-489",test accuracy percent; differences and SD/SE in percentage points
