k,seed,disagreement,source_ids,scope,units
17,15,0.3233,S0581 | S0582 | S0583 | S0584,"**ZERO GPU**, from probe traces on disk; nothing submitted or ingested",fraction
17,16,0.3447,S0581 | S0582 | S0583 | S0584,"**ZERO GPU**, from probe traces on disk; nothing submitted or ingested",fraction
17,17,0.3307,S0581 | S0582 | S0583 | S0584,"**ZERO GPU**, from probe traces on disk; nothing submitted or ingested",fraction
24,15,0.3273,S0581 | S0582 | S0583 | S0584,"**ZERO GPU**, from probe traces on disk; nothing submitted or ingested",fraction
24,16,0.3267,S0581 | S0582 | S0583 | S0584,"**ZERO GPU**, from probe traces on disk; nothing submitted or ingested",fraction
24,17,0.3246,S0581 | S0582 | S0583 | S0584,"**ZERO GPU**, from probe traces on disk; nothing submitted or ingested",fraction
31,15,0.2892,S0581 | S0582 | S0583 | S0584,"**ZERO GPU**, from probe traces on disk; nothing submitted or ingested",fraction
31,16,0.2986,S0581 | S0582 | S0583 | S0584,"**ZERO GPU**, from probe traces on disk; nothing submitted or ingested",fraction
31,17,0.3126,S0581 | S0582 | S0583 | S0584,"**ZERO GPU**, from probe traces on disk; nothing submitted or ingested",fraction
38,15,0.1122,S0581 | S0582 | S0583 | S0584,"**ZERO GPU**, from probe traces on disk; nothing submitted or ingested",fraction
38,16,0.1142,S0581 | S0582 | S0583 | S0584,"**ZERO GPU**, from probe traces on disk; nothing submitted or ingested",fraction
38,17,0.0942,S0581 | S0582 | S0583 | S0584,"**ZERO GPU**, from probe traces on disk; nothing submitted or ingested",fraction
42,15,0.0762,S0581 | S0582 | S0583 | S0584,"**ZERO GPU**, from probe traces on disk; nothing submitted or ingested",fraction
42,16,0.0802,S0581 | S0582 | S0583 | S0584,"**ZERO GPU**, from probe traces on disk; nothing submitted or ingested",fraction
42,17,0.0621,S0581 | S0582 | S0583 | S0584,"**ZERO GPU**, from probe traces on disk; nothing submitted or ingested",fraction
45,15,0.0741,S0581 | S0582 | S0583 | S0584,"**ZERO GPU**, from probe traces on disk; nothing submitted or ingested",fraction
45,16,0.0802,S0581 | S0582 | S0583 | S0584,"**ZERO GPU**, from probe traces on disk; nothing submitted or ingested",fraction
45,17,0.0621,S0581 | S0582 | S0583 | S0584,"**ZERO GPU**, from probe traces on disk; nothing submitted or ingested",fraction
47,15,0.0681,S0581 | S0582 | S0583 | S0584,"**ZERO GPU**, from probe traces on disk; nothing submitted or ingested",fraction
47,16,0.0701,S0581 | S0582 | S0583 | S0584,"**ZERO GPU**, from probe traces on disk; nothing submitted or ingested",fraction
47,17,0.0521,S0581 | S0582 | S0583 | S0584,"**ZERO GPU**, from probe traces on disk; nothing submitted or ingested",fraction
49,15,0.0641,S0581 | S0582 | S0583 | S0584,"**ZERO GPU**, from probe traces on disk; nothing submitted or ingested",fraction
49,16,0.0762,S0581 | S0582 | S0583 | S0584,"**ZERO GPU**, from probe traces on disk; nothing submitted or ingested",fraction
49,17,0.0441,S0581 | S0582 | S0583 | S0584,"**ZERO GPU**, from probe traces on disk; nothing submitted or ingested",fraction
52,15,0.0541,S0581 | S0582 | S0583 | S0584,"**ZERO GPU**, from probe traces on disk; nothing submitted or ingested",fraction
52,16,0.0482,S0581 | S0582 | S0583 | S0584,"**ZERO GPU**, from probe traces on disk; nothing submitted or ingested",fraction
52,17,0.0321,S0581 | S0582 | S0583 | S0584,"**ZERO GPU**, from probe traces on disk; nothing submitted or ingested",fraction
55,15,0.0541,S0581 | S0582 | S0583 | S0584,"**ZERO GPU**, from probe traces on disk; nothing submitted or ingested",fraction
55,16,0.0441,S0581 | S0582 | S0583 | S0584,"**ZERO GPU**, from probe traces on disk; nothing submitted or ingested",fraction
55,17,0.0341,S0581 | S0582 | S0583 | S0584,"**ZERO GPU**, from probe traces on disk; nothing submitted or ingested",fraction
60,15,0.0501,S0581 | S0582 | S0583 | S0584,"**ZERO GPU**, from probe traces on disk; nothing submitted or ingested",fraction
60,16,0.0461,S0581 | S0582 | S0583 | S0584,"**ZERO GPU**, from probe traces on disk; nothing submitted or ingested",fraction
60,17,0.0421,S0581 | S0582 | S0583 | S0584,"**ZERO GPU**, from probe traces on disk; nothing submitted or ingested",fraction
