family,profile_fall,layerwise_overprediction,n_seeds_per_arm,source_ids,scope,units
R10,264.6,127,2,S0614,"Frozen beta, 20 epochs, n=2 per arm. This temporal-correlation profile is distinct from the marginal-sign kernel curve E(u).",fold
R18,69.3,45.4,2,S0614,"Frozen beta, 20 epochs, n=2 per arm. This temporal-correlation profile is distinct from the marginal-sign kernel curve E(u).",fold
C100,23.3,18.5,2,S0614,"Frozen beta, 20 epochs, n=2 per arm. This temporal-correlation profile is distinct from the marginal-sign kernel curve E(u).",fold
R34,16.6,13.6,2,S0614,"Frozen beta, 20 epochs, n=2 per arm. This temporal-correlation profile is distinct from the marginal-sign kernel curve E(u).",fold
