batch,seed,n_seeds,executed_partition_k,is_executed_partition,k,disagree,determinate,rate,window_disagree,window_determinate,window_rate,source_ids,scope,units
crn1 reduction probe,0,1,49,false,1,1939,5999,0.323220536756126,0,60,0,S0585 | S0586,"**ZERO GPU**, from probe traces on disk; nothing submitted or ingested | Descriptive cross-check only: one seed,12epochs; primary evidence remains the100-epoch window analysis. Onlyk49is the directly executed partition; otherks virtually regroup its recorded trajectory.",step/window counts; corresponding determinate fraction
crn1 reduction probe,0,1,49,false,2,1993,5999,0.332222037006168,0,60,0,S0585 | S0586,"**ZERO GPU**, from probe traces on disk; nothing submitted or ingested | Descriptive cross-check only: one seed,12epochs; primary evidence remains the100-epoch window analysis. Onlyk49is the directly executed partition; otherks virtually regroup its recorded trajectory.",step/window counts; corresponding determinate fraction
crn1 reduction probe,0,1,49,false,3,1993,5999,0.332222037006168,0,60,0,S0585 | S0586,"**ZERO GPU**, from probe traces on disk; nothing submitted or ingested | Descriptive cross-check only: one seed,12epochs; primary evidence remains the100-epoch window analysis. Onlyk49is the directly executed partition; otherks virtually regroup its recorded trajectory.",step/window counts; corresponding determinate fraction
crn1 reduction probe,0,1,49,false,4,1368,5999,0.228038006334389,0,60,0,S0585 | S0586,"**ZERO GPU**, from probe traces on disk; nothing submitted or ingested | Descriptive cross-check only: one seed,12epochs; primary evidence remains the100-epoch window analysis. Onlyk49is the directly executed partition; otherks virtually regroup its recorded trajectory.",step/window counts; corresponding determinate fraction
crn1 reduction probe,0,1,49,false,5,1367,5999,0.227871311885314,0,60,0,S0585 | S0586,"**ZERO GPU**, from probe traces on disk; nothing submitted or ingested | Descriptive cross-check only: one seed,12epochs; primary evidence remains the100-epoch window analysis. Onlyk49is the directly executed partition; otherks virtually regroup its recorded trajectory.",step/window counts; corresponding determinate fraction
crn1 reduction probe,0,1,49,false,6,1367,5999,0.227871311885314,0,60,0,S0585 | S0586,"**ZERO GPU**, from probe traces on disk; nothing submitted or ingested | Descriptive cross-check only: one seed,12epochs; primary evidence remains the100-epoch window analysis. Onlyk49is the directly executed partition; otherks virtually regroup its recorded trajectory.",step/window counts; corresponding determinate fraction
crn1 reduction probe,0,1,49,false,7,1062,5999,0.177029504917486,0,60,0,S0585 | S0586,"**ZERO GPU**, from probe traces on disk; nothing submitted or ingested | Descriptive cross-check only: one seed,12epochs; primary evidence remains the100-epoch window analysis. Onlyk49is the directly executed partition; otherks virtually regroup its recorded trajectory.",step/window counts; corresponding determinate fraction
crn1 reduction probe,0,1,49,false,8,1071,5999,0.17852975495916,0,60,0,S0585 | S0586,"**ZERO GPU**, from probe traces on disk; nothing submitted or ingested | Descriptive cross-check only: one seed,12epochs; primary evidence remains the100-epoch window analysis. Onlyk49is the directly executed partition; otherks virtually regroup its recorded trajectory.",step/window counts; corresponding determinate fraction
crn1 reduction probe,0,1,49,false,9,1071,5999,0.17852975495916,0,60,0,S0585 | S0586,"**ZERO GPU**, from probe traces on disk; nothing submitted or ingested | Descriptive cross-check only: one seed,12epochs; primary evidence remains the100-epoch window analysis. Onlyk49is the directly executed partition; otherks virtually regroup its recorded trajectory.",step/window counts; corresponding determinate fraction
crn1 reduction probe,0,1,49,false,10,908,5999,0.15135855975996,0,60,0,S0585 | S0586,"**ZERO GPU**, from probe traces on disk; nothing submitted or ingested | Descriptive cross-check only: one seed,12epochs; primary evidence remains the100-epoch window analysis. Onlyk49is the directly executed partition; otherks virtually regroup its recorded trajectory.",step/window counts; corresponding determinate fraction
