setting,meta_stepsize,b,suppression_k1,neff_fraction,valid,n_seeds_per_rung,source_ids,scope,units,exclusion
Frozen,0,0.343,1,0.042,true,3,S0612,"R18/C10, 20 epochs, n=3 per rung. Frozen beta is an anchor, not a logarithmic zero. Show the invalid 1e-2 rung separately or omit it.",dimensionless,
1e-4,0.0001,0.219,3.37,0.129,true,3,S0612,"R18/C10, 20 epochs, n=3 per rung. Frozen beta is an anchor, not a logarithmic zero. Show the invalid 1e-2 rung separately or omit it.",dimensionless,
1e-3,0.001,0.081,21.09,0.481,true,3,S0612,"R18/C10, 20 epochs, n=3 per rung. Frozen beta is an anchor, not a logarithmic zero. Show the invalid 1e-2 rung separately or omit it.",dimensionless,
1e-2 — excluded,0.01,0.328,,0.05,false,3,S0612,"R18/C10, 20 epochs, n=3 per rung. Frozen beta is an anchor, not a logarithmic zero. Show the invalid 1e-2 rung separately or omit it.",dimensionless,Guard dominated; not part of the dial verdict
