batch,arm,label,seed,run,epoch,test_accuracy_percent,train_accuracy_percent,source_ids,registered_horizon_epochs,in_registered_plateau5_window,scope,units
cpg1,k01,Scalar,12,cpg1-k01-s12,0,0.98,1,S0326,100,false,"`cpg1`, 15 runs, 100 ep | `CONV2` check, **ZERO GPU**, nothing scored or ingested; corpus 2,638 | Full available curve retained; registered_horizon and in_registered_plateau5_window identify the primary endpoint. Epoch observations are not independent seeds.",accuracy percent; epoch is the raw zero-based epoch index
cpg1,k01,Scalar,12,cpg1-k01-s12,1,0.89,0.99,S0326,100,false,"`cpg1`, 15 runs, 100 ep | `CONV2` check, **ZERO GPU**, nothing scored or ingested; corpus 2,638 | Full available curve retained; registered_horizon and in_registered_plateau5_window identify the primary endpoint. Epoch observations are not independent seeds.",accuracy percent; epoch is the raw zero-based epoch index
cpg1,k01,Scalar,12,cpg1-k01-s12,2,0.87,0.99,S0326,100,false,"`cpg1`, 15 runs, 100 ep | `CONV2` check, **ZERO GPU**, nothing scored or ingested; corpus 2,638 | Full available curve retained; registered_horizon and in_registered_plateau5_window identify the primary endpoint. Epoch observations are not independent seeds.",accuracy percent; epoch is the raw zero-based epoch index
cpg1,k01,Scalar,12,cpg1-k01-s12,3,0.89,1.06,S0326,100,false,"`cpg1`, 15 runs, 100 ep | `CONV2` check, **ZERO GPU**, nothing scored or ingested; corpus 2,638 | Full available curve retained; registered_horizon and in_registered_plateau5_window identify the primary endpoint. Epoch observations are not independent seeds.",accuracy percent; epoch is the raw zero-based epoch index
cpg1,k01,Scalar,12,cpg1-k01-s12,4,0.96,1.11,S0326,100,false,"`cpg1`, 15 runs, 100 ep | `CONV2` check, **ZERO GPU**, nothing scored or ingested; corpus 2,638 | Full available curve retained; registered_horizon and in_registered_plateau5_window identify the primary endpoint. Epoch observations are not independent seeds.",accuracy percent; epoch is the raw zero-based epoch index
cpg1,k01,Scalar,12,cpg1-k01-s12,5,0.97,1.01,S0326,100,false,"`cpg1`, 15 runs, 100 ep | `CONV2` check, **ZERO GPU**, nothing scored or ingested; corpus 2,638 | Full available curve retained; registered_horizon and in_registered_plateau5_window identify the primary endpoint. Epoch observations are not independent seeds.",accuracy percent; epoch is the raw zero-based epoch index
cpg1,k01,Scalar,12,cpg1-k01-s12,6,1.09,1.15,S0326,100,false,"`cpg1`, 15 runs, 100 ep | `CONV2` check, **ZERO GPU**, nothing scored or ingested; corpus 2,638 | Full available curve retained; registered_horizon and in_registered_plateau5_window identify the primary endpoint. Epoch observations are not independent seeds.",accuracy percent; epoch is the raw zero-based epoch index
cpg1,k01,Scalar,12,cpg1-k01-s12,7,1.65,1.49,S0326,100,false,"`cpg1`, 15 runs, 100 ep | `CONV2` check, **ZERO GPU**, nothing scored or ingested; corpus 2,638 | Full available curve retained; registered_horizon and in_registered_plateau5_window identify the primary endpoint. Epoch observations are not independent seeds.",accuracy percent; epoch is the raw zero-based epoch index
cpg1,k01,Scalar,12,cpg1-k01-s12,8,2.33,1.87,S0326,100,false,"`cpg1`, 15 runs, 100 ep | `CONV2` check, **ZERO GPU**, nothing scored or ingested; corpus 2,638 | Full available curve retained; registered_horizon and in_registered_plateau5_window identify the primary endpoint. Epoch observations are not independent seeds.",accuracy percent; epoch is the raw zero-based epoch index
cpg1,k01,Scalar,12,cpg1-k01-s12,9,3.26,2.69,S0326,100,false,"`cpg1`, 15 runs, 100 ep | `CONV2` check, **ZERO GPU**, nothing scored or ingested; corpus 2,638 | Full available curve retained; registered_horizon and in_registered_plateau5_window identify the primary endpoint. Epoch observations are not independent seeds.",accuracy percent; epoch is the raw zero-based epoch index
cpg1,k01,Scalar,12,cpg1-k01-s12,10,4.19,3.64,S0326,100,false,"`cpg1`, 15 runs, 100 ep | `CONV2` check, **ZERO GPU**, nothing scored or ingested; corpus 2,638 | Full available curve retained; registered_horizon and in_registered_plateau5_window identify the primary endpoint. Epoch observations are not independent seeds.",accuracy percent; epoch is the raw zero-based epoch index
cpg1,k01,Scalar,12,cpg1-k01-s12,11,6.11,4.9,S0326,100,false,"`cpg1`, 15 runs, 100 ep | `CONV2` check, **ZERO GPU**, nothing scored or ingested; corpus 2,638 | Full available curve retained; registered_horizon and in_registered_plateau5_window identify the primary endpoint. Epoch observations are not independent seeds.",accuracy percent; epoch is the raw zero-based epoch index
cpg1,k01,Scalar,12,cpg1-k01-s12,12,7.81,6.75,S0326,100,false,"`cpg1`, 15 runs, 100 ep | `CONV2` check, **ZERO GPU**, nothing scored or ingested; corpus 2,638 | Full available curve retained; registered_horizon and in_registered_plateau5_window identify the primary endpoint. Epoch observations are not independent seeds.",accuracy percent; epoch is the raw zero-based epoch index
cpg1,k01,Scalar,12,cpg1-k01-s12,13,10.07,8.58,S0326,100,false,"`cpg1`, 15 runs, 100 ep | `CONV2` check, **ZERO GPU**, nothing scored or ingested; corpus 2,638 | Full available curve retained; registered_horizon and in_registered_plateau5_window identify the primary endpoint. Epoch observations are not independent seeds.",accuracy percent; epoch is the raw zero-based epoch index
cpg1,k01,Scalar,12,cpg1-k01-s12,14,11.08,10.17,S0326,100,false,"`cpg1`, 15 runs, 100 ep | `CONV2` check, **ZERO GPU**, nothing scored or ingested; corpus 2,638 | Full available curve retained; registered_horizon and in_registered_plateau5_window identify the primary endpoint. Epoch observations are not independent seeds.",accuracy percent; epoch is the raw zero-based epoch index
cpg1,k01,Scalar,12,cpg1-k01-s12,15,12.8,11.96,S0326,100,false,"`cpg1`, 15 runs, 100 ep | `CONV2` check, **ZERO GPU**, nothing scored or ingested; corpus 2,638 | Full available curve retained; registered_horizon and in_registered_plateau5_window identify the primary endpoint. Epoch observations are not independent seeds.",accuracy percent; epoch is the raw zero-based epoch index
