batch,arm,label,horizon,group_count,normalized_tensor_count_entropy,r,meta_stepsize,meta_optimizer,capture_fraction,plateau_window_start_epoch,plateau_window_end_epoch,config_network,config_dataset,config_batch_size,config_granularity,config_base,config_meta,config_meta_stepsize,config_alpha0,config_gamma,config_augment,config_beta_clip,config_hier,config_lam,config_eta_ratio,config_epochs_requested,test_percent_n,test_percent_mean,test_percent_sd,test_percent_se,test_percent_min,test_percent_max,train_percent_n,train_percent_mean,train_percent_sd,train_percent_se,train_percent_min,train_percent_max,source_ids,scope,units
eb1,lay,lay,100,,,,,,,95,99,ResNet18,CIFAR10,100,layerwise,SGDm,Lion,1e-3,1e-6,1,1,-15:-2.3026,,na,na,100,3,90.8946666666667,0.14702834193901,0.0848868527969918,90.728,91.006,3,99.642,0.0277848879789003,0.0160416125540217,99.61,99.66,S0223 | S0224 | S0225,"`eb1`, 18 runs, 100 ep",test accuracy percent; differences and SD/SE in percentage points
eb1,a1,a1,100,,,,,,,95,99,ResNet18,CIFAR10,100,layerwise,SGDm,Lion,1e-3,1e-6,1,1,-15:-2.3026,additive,na,1,100,3,91.0233333333333,0.0360185137579761,0.0207952986139777,90.982,91.048,3,99.6586666666667,0.00757187779439586,0.0043716256828654,99.65,99.664,S0226 | S0227 | S0228,"`eb1`, 18 runs, 100 ep",test accuracy percent; differences and SD/SE in percentage points
eb1,a06,a06,100,,,,,,,95,99,ResNet18,CIFAR10,100,layerwise,SGDm,Lion,1e-3,1e-6,1,1,-15:-2.3026,additive,na,0.06,100,3,93.328,0.161752897964766,0.0933880791821596,93.15,93.466,3,99.7313333333333,0.0303534731675533,0.017524585904127,99.704,99.764,S0229 | S0230 | S0231,"`eb1`, 18 runs, 100 ep",test accuracy percent; differences and SD/SE in percentage points
eb1,ebjs,ebjs,100,,,,,,,95,99,ResNet18,CIFAR10,100,layerwise,SGDm,Lion,1e-3,1e-6,1,1,-15:-2.3026,ebjs,na,na,100,3,91.0646666666667,0.188640752048253,0.108911788975193,90.85,91.204,3,99.678,0.0279999999999987,0.0161658075373088,99.65,99.706,S0232 | S0233 | S0234,"`eb1`, 18 runs, 100 ep",test accuracy percent; differences and SD/SE in percentage points
eb1,ebjr,ebjr,100,,,,,,,95,99,ResNet18,CIFAR10,100,layerwise,SGDm,Lion,1e-3,1e-6,1,1,-15:-2.3026,ebjs,na,na,100,3,91.078,0.227921038958666,0.131590273196765,90.874,91.324,3,99.6153333333333,0.0130128141972935,0.00751295177972198,99.602,99.628,S0235 | S0236 | S0237,"`eb1`, 18 runs, 100 ep",test accuracy percent; differences and SD/SE in percentage points
eb1,ebjz,ebjz,100,,,,,,,95,99,ResNet18,CIFAR10,100,layerwise,SGDm,Lion,1e-3,1e-6,1,1,-15:-2.3026,ebjz,na,na,100,3,90.8546666666667,0.215641678098961,0.124500780898938,90.656,91.084,3,99.64,0.00871779788708548,0.00503322295684955,99.63,99.646,S0238 | S0239 | S0240,"`eb1`, 18 runs, 100 ep",test accuracy percent; differences and SD/SE in percentage points
