batch,arm,label,horizon,group_count,normalized_tensor_count_entropy,r,meta_stepsize,meta_optimizer,capture_fraction,plateau_window_start_epoch,plateau_window_end_epoch,config_network,config_dataset,config_batch_size,config_granularity,config_base,config_meta,config_meta_stepsize,config_alpha0,config_gamma,config_augment,config_beta_clip,config_hier,config_lam,config_eta_ratio,config_epochs_requested,test_percent_n,test_percent_mean,test_percent_sd,test_percent_se,test_percent_min,test_percent_max,train_percent_n,train_percent_mean,train_percent_sd,train_percent_se,train_percent_min,train_percent_max,source_ids,scope,units
c100,1e3-blk6,1e3-blk6,100,,,,,,,95,99,ResNet18_c100,CIFAR100,100,resnet18_blocks,SGDm,Lion,1e-3,1e-3,1,1,-15:-2.3026,,na,na,100,2,51.534,1.08611601590254,0.768000000000001,50.766,52.302,2,62.239,1.17521147033204,0.831,61.408,63.07,S0451 | S0452,"`cU1`, **ZERO GPU**, corpus unchanged at 2,573",test accuracy percent; differences and SD/SE in percentage points
c100,1e3-layer,1e3-layer,100,,,,,,,95,99,ResNet18_c100,CIFAR100,100,layerwise,SGDm,Lion,1e-3,1e-3,1,1,-15:-2.3026,,na,na,100,2,70.19,0.0989949493661171,0.0700000000000003,70.12,70.26,2,99.243,0.148492424049181,0.105000000000004,99.138,99.348,S0453 | S0454,"`cU1`, **ZERO GPU**, corpus unchanged at 2,573",test accuracy percent; differences and SD/SE in percentage points
c100,1e3-scal,1e3-scal,100,,,,,,,95,99,ResNet18_c100,CIFAR100,100,scalar,SGDm,Lion,1e-3,1e-3,1,1,-15:-2.3026,,na,na,100,2,22.432,0.356381817718021,0.252000000000001,22.18,22.684,2,22.238,0.206475180106473,0.146000000000001,22.092,22.384,S0455 | S0456,"`cU1`, **ZERO GPU**, corpus unchanged at 2,573",test accuracy percent; differences and SD/SE in percentage points
c100,1e6-blk6,1e6-blk6,100,,,,,,,95,99,ResNet18_c100,CIFAR100,100,resnet18_blocks,SGDm,Lion,1e-3,1e-6,1,1,-15:-2.3026,,na,na,100,2,53.382,0.299813275223096,0.212,53.17,53.594,2,64.476,0.568513852073986,0.402000000000001,64.074,64.878,S0457 | S0458,"`cU1`, **ZERO GPU**, corpus unchanged at 2,573",test accuracy percent; differences and SD/SE in percentage points
c100,1e6-layer,1e6-layer,100,,,,,,,95,99,ResNet18_c100,CIFAR100,100,layerwise,SGDm,Lion,1e-3,1e-6,1,1,-15:-2.3026,,na,na,100,2,69.955,0.210717820793592,0.149000000000001,69.806,70.104,2,99.009,0.111722871427465,0.0789999999999935,98.93,99.088,S0459 | S0460,"`cU1`, **ZERO GPU**, corpus unchanged at 2,573",test accuracy percent; differences and SD/SE in percentage points
c100,1e6-scal,1e6-scal,100,,,,,,,95,99,ResNet18_c100,CIFAR100,100,scalar,SGDm,Lion,1e-3,1e-6,1,1,-15:-2.3026,,na,na,100,2,22.274,0.820243866176395,0.58,21.694,22.854,2,22.59,0.543058007951269,0.384,22.206,22.974,S0461 | S0462,"`cU1`, **ZERO GPU**, corpus unchanged at 2,573",test accuracy percent; differences and SD/SE in percentage points
c100b,1e3-blk6,1e3-blk6,100,,,,,,,95,99,ResNet18_c100,CIFAR100,100,resnet18_blocks,SGDm,Lion,1e-3,1e-3,1,1,-15:-2.3026,,na,na,100,3,51.6166666666667,0.0271538824725525,0.0156773013550716,51.588,51.642,3,63.444,0.495334230595868,0.28598135137336,62.874,63.77,S0463 | S0464 | S0465,"`cU1`, **ZERO GPU**, corpus unchanged at 2,573",test accuracy percent; differences and SD/SE in percentage points
c100b,1e3-layer,1e3-layer,100,,,,,,,95,99,ResNet18_c100,CIFAR100,100,layerwise,SGDm,Lion,1e-3,1e-3,1,1,-15:-2.3026,,na,na,100,3,69.2966666666667,0.310550049643098,0.179296154758294,68.976,69.596,3,99.2293333333333,0.103040445133616,0.0594904287353119,99.128,99.334,S0466 | S0467 | S0468,"`cU1`, **ZERO GPU**, corpus unchanged at 2,573",test accuracy percent; differences and SD/SE in percentage points
c100b,1e3-scal,1e3-scal,100,,,,,,,95,99,ResNet18_c100,CIFAR100,100,scalar,SGDm,Lion,1e-3,1e-3,1,1,-15:-2.3026,,na,na,100,3,22.6453333333333,0.58334323801115,0.336793375495685,21.972,22.998,3,22.71,0.500947102995915,0.289221944764455,22.134,23.044,S0469 | S0470 | S0471,"`cU1`, **ZERO GPU**, corpus unchanged at 2,573",test accuracy percent; differences and SD/SE in percentage points
c100b,1e6-blk6,1e6-blk6,100,,,,,,,95,99,ResNet18_c100,CIFAR100,100,resnet18_blocks,SGDm,Lion,1e-3,1e-6,1,1,-15:-2.3026,,na,na,100,3,52.7786666666667,0.21168215166455,0.122214747246167,52.616,53.018,3,63.7913333333333,0.475101392687222,0.274299916960334,63.264,64.186,S0472 | S0473 | S0474,"`cU1`, **ZERO GPU**, corpus unchanged at 2,573",test accuracy percent; differences and SD/SE in percentage points
